event_id,session_date,direction,first_price,strong_price,raw_price_difference,entry_disadvantage,delay_minutes,entry_comparison,first_mfe,strong_mfe,first_mae,strong_mae,first_eod_move,strong_eod_move,mfe_lost,mae_improvement,same_pair_excursions_available,first_minutes_to_reclaim,strong_minutes_to_reclaim,first_timestamp,first_reclaim_timestamp,first_0.25_0.25_result,first_0.25_0.25_favorable_hit,first_0.25_0.25_adverse_hit,first_0.50_0.25_result,first_0.50_0.25_favorable_hit,first_0.50_0.25_adverse_hit,first_0.75_0.25_result,first_0.75_0.25_favorable_hit,first_0.75_0.25_adverse_hit,first_1.00_0.25_result,first_1.00_0.25_favorable_hit,first_1.00_0.25_adverse_hit,first_0.50_0.30_result,first_0.50_0.30_favorable_hit,first_0.50_0.30_adverse_hit,first_0.75_0.30_result,first_0.75_0.30_favorable_hit,first_0.75_0.30_adverse_hit,first_1.00_0.30_result,first_1.00_0.30_favorable_hit,first_1.00_0.30_adverse_hit,first_1.50_0.30_result,first_1.50_0.30_favorable_hit,first_1.50_0.30_adverse_hit,first_2.00_0.30_result,first_2.00_0.30_favorable_hit,first_2.00_0.30_adverse_hit,strong_timestamp,strong_reclaim_timestamp,strong_0.25_0.25_result,strong_0.25_0.25_favorable_hit,strong_0.25_0.25_adverse_hit,strong_0.50_0.25_result,strong_0.50_0.25_favorable_hit,strong_0.50_0.25_adverse_hit,strong_0.75_0.25_result,strong_0.75_0.25_favorable_hit,strong_0.75_0.25_adverse_hit,strong_1.00_0.25_result,strong_1.00_0.25_favorable_hit,strong_1.00_0.25_adverse_hit,strong_0.50_0.30_result,strong_0.50_0.30_favorable_hit,strong_0.50_0.30_adverse_hit,strong_0.75_0.30_result,strong_0.75_0.30_favorable_hit,strong_0.75_0.30_adverse_hit,strong_1.00_0.30_result,strong_1.00_0.30_favorable_hit,strong_1.00_0.30_adverse_hit,strong_1.50_0.30_result,strong_1.50_0.30_favorable_hit,strong_1.50_0.30_adverse_hit,strong_2.00_0.30_result,strong_2.00_0.30_favorable_hit,strong_2.00_0.30_adverse_hit
SPY:2026-01-02:LONG:2026-01-02T14:50:00+00:00:v1,2026-01-02,LONG,686.200000000000,686.190000000000,-0.010000000000,-0.010000000000,5,UNCHANGED_WITHIN_ONE_CENT,0.670000000000,0.680000000000,6.380000000000,6.370000000000,-3.030000000000,-3.020000000000,-0.010000000000,0.010000000000,True,15,10,2026-01-02T14:55:00Z,2026-01-02T15:10:00Z,FAVORABLE_FIRST,2026-01-02T14:56:00Z,2026-01-02T15:07:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:07:00Z,ADVERSE_FIRST,,2026-01-02T15:07:00Z,ADVERSE_FIRST,,2026-01-02T15:07:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,2026-01-02T15:00:00Z,2026-01-02T15:10:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:08:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z
SPY:2026-01-02:SHORT:2026-01-02T15:14:00+00:00:v1,2026-01-02,SHORT,684.350000000000,683.850000000000,-0.500000000000,0.500000000000,5,WORSE,4.530000000000,4.030000000000,0.240000000000,0.740000000000,1.180000000000,0.680000000000,0.500000000000,-0.500000000000,True,,,2026-01-02T15:15:00Z,,FAVORABLE_FIRST,2026-01-02T15:16:00Z,,FAVORABLE_FIRST,2026-01-02T15:16:00Z,,FAVORABLE_FIRST,2026-01-02T15:17:00Z,,FAVORABLE_FIRST,2026-01-02T15:20:00Z,,FAVORABLE_FIRST,2026-01-02T15:16:00Z,,FAVORABLE_FIRST,2026-01-02T15:17:00Z,,FAVORABLE_FIRST,2026-01-02T15:20:00Z,,FAVORABLE_FIRST,2026-01-02T15:21:00Z,,FAVORABLE_FIRST,2026-01-02T15:22:00Z,,2026-01-02T15:20:00Z,,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:22:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:25:00Z,2026-01-02T15:42:00Z
SPY:2026-01-05:LONG:2026-01-05T15:03:00+00:00:v1,2026-01-05,LONG,687.660000000000,687.689900000000,0.029900000000,0.029900000000,5,WORSE,1.770000000000,1.740100000000,0.500000000000,0.529900000000,0.070000000000,0.040100000000,0.029900000000,-0.029900000000,True,10,5,2026-01-05T15:05:00Z,2026-01-05T15:15:00Z,ADVERSE_FIRST,2026-01-05T15:19:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T16:49:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,,2026-01-05T15:06:00Z,2026-01-05T15:10:00Z,2026-01-05T15:15:00Z,ADVERSE_FIRST,2026-01-05T15:20:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,2026-01-05T16:49:00Z,2026-01-05T15:11:00Z,ADVERSE_FIRST,,2026-01-05T15:11:00Z
SPY:2026-01-05:LONG:2026-01-05T15:15:00+00:00:v1,2026-01-05,LONG,687.900000000000,688.090000000000,0.190000000000,0.190000000000,5,WORSE,1.530000000000,1.340000000000,0.740000000000,0.930000000000,-0.170000000000,-0.360000000000,0.190000000000,-0.190000000000,True,275,270,2026-01-05T15:20:00Z,2026-01-05T19:55:00Z,FAVORABLE_FIRST,2026-01-05T15:27:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T15:27:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T15:30:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T16:38:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T15:27:00Z,2026-01-05T19:40:00Z,FAVORABLE_FIRST,2026-01-05T15:30:00Z,2026-01-05T19:40:00Z,FAVORABLE_FIRST,2026-01-05T16:38:00Z,2026-01-05T19:40:00Z,FAVORABLE_FIRST,2026-01-05T16:51:00Z,2026-01-05T19:40:00Z,ADVERSE_FIRST,,2026-01-05T19:40:00Z,2026-01-05T15:25:00Z,2026-01-05T19:55:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:26:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:26:00Z,ADVERSE_FIRST,2026-01-05T16:25:00Z,2026-01-05T15:26:00Z,ADVERSE_FIRST,2026-01-05T16:48:00Z,2026-01-05T15:26:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:26:00Z,ADVERSE_FIRST,2026-01-05T16:25:00Z,2026-01-05T15:26:00Z,ADVERSE_FIRST,2026-01-05T16:48:00Z,2026-01-05T15:26:00Z,ADVERSE_FIRST,,2026-01-05T15:26:00Z,ADVERSE_FIRST,,2026-01-05T15:26:00Z
SPY:2026-01-05:LONG:2026-01-05T20:05:00+00:00:v1,2026-01-05,LONG,687.960000000000,688.130000000000,0.170000000000,0.170000000000,5,WORSE,0.280000000000,0,0.800000000000,0.970000000000,-0.230000000000,-0.400000000000,0.280000000000,-0.170000000000,True,45,40,2026-01-05T20:10:00Z,2026-01-05T20:55:00Z,FAVORABLE_FIRST,2026-01-05T20:12:00Z,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,2026-01-05T20:15:00Z,2026-01-05T20:55:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z
SPY:2026-01-06:LONG:2026-01-06T14:45:00+00:00:v1,2026-01-06,LONG,689.235000000000,689.720100000000,0.485100000000,0.485100000000,5,WORSE,3.080000000000,2.594900000000,0.935000000000,1.420100000000,2.565000000000,2.079900000000,0.485100000000,-0.485100000000,True,75,70,2026-01-06T14:50:00Z,2026-01-06T16:05:00Z,FAVORABLE_FIRST,2026-01-06T14:51:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:51:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:57:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:51:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:57:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T15:25:00Z,2026-01-06T15:55:00Z,ADVERSE_FIRST,2026-01-06T18:43:00Z,2026-01-06T15:55:00Z,2026-01-06T14:55:00Z,2026-01-06T16:05:00Z,FAVORABLE_FIRST,2026-01-06T14:57:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:06:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:25:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:06:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:25:00Z,2026-01-06T15:52:00Z,ADVERSE_FIRST,2026-01-06T18:43:00Z,2026-01-06T15:52:00Z,ADVERSE_FIRST,2026-01-06T18:59:00Z,2026-01-06T15:52:00Z
SPY:2026-01-06:LONG:2026-01-06T16:05:00+00:00:v1,2026-01-06,LONG,688.855000000000,688.865000000000,0.010000000000,0.010000000000,5,UNCHANGED_WITHIN_ONE_CENT,3.460000000000,3.450000000000,0.235000000000,0.245000000000,2.945000000000,2.935000000000,0.010000000000,-0.010000000000,True,,,2026-01-06T16:10:00Z,,FAVORABLE_FIRST,2026-01-06T16:12:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T17:22:00Z,,FAVORABLE_FIRST,2026-01-06T17:38:00Z,,2026-01-06T16:15:00Z,,FAVORABLE_FIRST,2026-01-06T16:22:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T17:22:00Z,,FAVORABLE_FIRST,2026-01-06T17:38:00Z,
SPY:2026-01-07:LONG:2026-01-07T14:40:00+00:00:v1,2026-01-07,LONG,692.741300000000,692.690000000000,-0.051300000000,-0.051300000000,5,BETTER,1.218700000000,1.270000000000,3.421300000000,3.370000000000,-3.151300000000,-3.100000000000,-0.051300000000,0.051300000000,True,20,15,2026-01-07T14:45:00Z,2026-01-07T15:05:00Z,FAVORABLE_FIRST,2026-01-07T14:46:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:05:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:05:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z,2026-01-07T14:50:00Z,2026-01-07T15:05:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:55:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:55:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z
SPY:2026-01-07:SHORT:2026-01-07T15:11:00+00:00:v1,2026-01-07,SHORT,691.620000000000,691.250000000000,-0.370000000000,0.370000000000,5,WORSE,2.300000000000,1.930000000000,2.340000000000,2.710000000000,2.030000000000,1.660000000000,0.370000000000,-0.370000000000,True,20,15,2026-01-07T15:15:00Z,2026-01-07T15:35:00Z,FAVORABLE_FIRST,2026-01-07T15:16:00Z,2026-01-07T15:28:00Z,FAVORABLE_FIRST,2026-01-07T15:17:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:13:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:28:00Z,FAVORABLE_FIRST,2026-01-07T15:17:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:13:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:28:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:35:00Z,2026-01-07T15:28:00Z,2026-01-07T15:20:00Z,2026-01-07T15:35:00Z,ADVERSE_FIRST,2026-01-07T15:39:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:14:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:27:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:14:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:27:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:34:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,,2026-01-07T15:21:00Z
SPY:2026-01-07:LONG:2026-01-07T15:55:00+00:00:v1,2026-01-07,LONG,692.505000000000,692.720000000000,0.215000000000,0.215000000000,5,WORSE,1.455000000000,1.240000000000,3.185000000000,3.400000000000,-2.915000000000,-3.130000000000,0.215000000000,-0.215000000000,True,25,20,2026-01-07T16:00:00Z,2026-01-07T16:25:00Z,FAVORABLE_FIRST,2026-01-07T16:03:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:45:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:45:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,,2026-01-07T16:25:00Z,ADVERSE_FIRST,,2026-01-07T16:25:00Z,2026-01-07T16:05:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:56:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:56:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,,2026-01-07T16:11:00Z,ADVERSE_FIRST,,2026-01-07T16:11:00Z
