event_id,session_date,direction,first_price,strong_price,entry_disadvantage,first_entry_timestamp,strong_entry_timestamp,delay_minutes,entry_comparison,first_mfe,strong_mfe,first_mae,strong_mae,first_eod_move,strong_eod_move,mfe_lost,mae_improvement,same_pair_excursions_available,first_minutes_to_reclaim,strong_minutes_to_reclaim,first_entry_status,strong_entry_status,first_signal_known_at,strong_signal_known_at,first_outcome.0.25/0.25,first_outcome.0.25/0.25.favorable_hit,first_outcome.0.25/0.25.adverse_hit,first_outcome.0.50/0.25,first_outcome.0.50/0.25.favorable_hit,first_outcome.0.50/0.25.adverse_hit,first_outcome.0.75/0.25,first_outcome.0.75/0.25.favorable_hit,first_outcome.0.75/0.25.adverse_hit,first_outcome.1.00/0.25,first_outcome.1.00/0.25.favorable_hit,first_outcome.1.00/0.25.adverse_hit,first_outcome.0.50/0.30,first_outcome.0.50/0.30.favorable_hit,first_outcome.0.50/0.30.adverse_hit,first_outcome.0.75/0.30,first_outcome.0.75/0.30.favorable_hit,first_outcome.0.75/0.30.adverse_hit,first_outcome.1.00/0.30,first_outcome.1.00/0.30.favorable_hit,first_outcome.1.00/0.30.adverse_hit,first_outcome.1.50/0.30,first_outcome.1.50/0.30.favorable_hit,first_outcome.1.50/0.30.adverse_hit,first_outcome.2.00/0.30,first_outcome.2.00/0.30.favorable_hit,first_outcome.2.00/0.30.adverse_hit,strong_outcome.0.25/0.25,strong_outcome.0.25/0.25.favorable_hit,strong_outcome.0.25/0.25.adverse_hit,strong_outcome.0.50/0.25,strong_outcome.0.50/0.25.favorable_hit,strong_outcome.0.50/0.25.adverse_hit,strong_outcome.0.75/0.25,strong_outcome.0.75/0.25.favorable_hit,strong_outcome.0.75/0.25.adverse_hit,strong_outcome.1.00/0.25,strong_outcome.1.00/0.25.favorable_hit,strong_outcome.1.00/0.25.adverse_hit,strong_outcome.0.50/0.30,strong_outcome.0.50/0.30.favorable_hit,strong_outcome.0.50/0.30.adverse_hit,strong_outcome.0.75/0.30,strong_outcome.0.75/0.30.favorable_hit,strong_outcome.0.75/0.30.adverse_hit,strong_outcome.1.00/0.30,strong_outcome.1.00/0.30.favorable_hit,strong_outcome.1.00/0.30.adverse_hit,strong_outcome.1.50/0.30,strong_outcome.1.50/0.30.favorable_hit,strong_outcome.1.50/0.30.adverse_hit,strong_outcome.2.00/0.30,strong_outcome.2.00/0.30.favorable_hit,strong_outcome.2.00/0.30.adverse_hit
SPY:2026-01-02:LONG:2026-01-02T14:50:00+00:00:v1,2026-01-02,LONG,686.210000000000,686.210000000000,0E-12,2026-01-02T14:55:00Z,2026-01-02T15:00:00Z,5,UNCHANGED_WITHIN_ONE_CENT,0.660000000000,0.660000000000,6.390000000000,6.390000000000,-3.040000000000,-3.040000000000,0E-12,0E-12,True,15,10,AVAILABLE,AVAILABLE,2026-01-02T14:55:00Z,2026-01-02T15:00:00Z,FAVORABLE_FIRST,2026-01-02T14:56:00Z,2026-01-02T14:58:00Z,ADVERSE_FIRST,2026-01-02T15:01:00Z,2026-01-02T14:58:00Z,ADVERSE_FIRST,,2026-01-02T14:58:00Z,ADVERSE_FIRST,,2026-01-02T14:58:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,FAVORABLE_FIRST,2026-01-02T15:00:00Z,2026-01-02T15:07:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:07:00Z,ADVERSE_FIRST,,2026-01-02T15:07:00Z,ADVERSE_FIRST,,2026-01-02T15:07:00Z,FAVORABLE_FIRST,2026-01-02T15:01:00Z,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z,ADVERSE_FIRST,,2026-01-02T15:08:00Z
SPY:2026-01-02:SHORT:2026-01-02T15:14:00+00:00:v1,2026-01-02,SHORT,684.340000000000,683.860000000000,0.480000000000,2026-01-02T15:15:00Z,2026-01-02T15:20:00Z,5,WORSE,4.520000000000,4.040000000000,0.250000000000,0.730000000000,1.170000000000,0.690000000000,0.480000000000,-0.480000000000,True,,,AVAILABLE,AVAILABLE,2026-01-02T15:15:00Z,2026-01-02T15:20:00Z,FAVORABLE_FIRST,2026-01-02T15:15:00Z,2026-01-02T15:43:00Z,FAVORABLE_FIRST,2026-01-02T15:16:00Z,2026-01-02T15:43:00Z,FAVORABLE_FIRST,2026-01-02T15:17:00Z,2026-01-02T15:43:00Z,FAVORABLE_FIRST,2026-01-02T15:20:00Z,2026-01-02T15:43:00Z,FAVORABLE_FIRST,2026-01-02T15:16:00Z,,FAVORABLE_FIRST,2026-01-02T15:17:00Z,,FAVORABLE_FIRST,2026-01-02T15:20:00Z,,FAVORABLE_FIRST,2026-01-02T15:21:00Z,,FAVORABLE_FIRST,2026-01-02T15:22:00Z,,FAVORABLE_FIRST,2026-01-02T15:20:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:20:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:20:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:20:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:20:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:21:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:22:00Z,2026-01-02T15:42:00Z,FAVORABLE_FIRST,2026-01-02T15:25:00Z,2026-01-02T15:42:00Z
SPY:2026-01-05:LONG:2026-01-05T15:03:00+00:00:v1,2026-01-05,LONG,687.660000000000,687.690000000000,0.030000000000,2026-01-05T15:05:00Z,2026-01-05T15:10:00Z,5,WORSE,1.770000000000,1.740000000000,0.500000000000,0.530000000000,0.070000000000,0.040000000000,0.030000000000,-0.030000000000,True,10,5,AVAILABLE,AVAILABLE,2026-01-05T15:05:00Z,2026-01-05T15:10:00Z,FAVORABLE_FIRST,2026-01-05T15:05:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T16:49:00Z,2026-01-05T15:06:00Z,ADVERSE_FIRST,,2026-01-05T15:06:00Z,ADVERSE_FIRST,2026-01-05T15:20:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,2026-01-05T15:30:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,2026-01-05T16:49:00Z,2026-01-05T15:10:00Z,ADVERSE_FIRST,,2026-01-05T15:10:00Z
SPY:2026-01-05:LONG:2026-01-05T15:15:00+00:00:v1,2026-01-05,LONG,687.918600000000,688.080000000000,0.161400000000,2026-01-05T15:20:00Z,2026-01-05T15:25:00Z,5,WORSE,1.511400000000,1.350000000000,0.758600000000,0.920000000000,-0.188600000000,-0.350000000000,0.161400000000,-0.161400000000,True,275,270,AVAILABLE,AVAILABLE,2026-01-05T15:20:00Z,2026-01-05T15:25:00Z,FAVORABLE_FIRST,2026-01-05T15:27:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T15:27:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T15:30:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T16:38:00Z,2026-01-05T18:19:00Z,FAVORABLE_FIRST,2026-01-05T15:27:00Z,2026-01-05T19:40:00Z,FAVORABLE_FIRST,2026-01-05T15:30:00Z,2026-01-05T19:40:00Z,FAVORABLE_FIRST,2026-01-05T16:38:00Z,2026-01-05T19:40:00Z,FAVORABLE_FIRST,2026-01-05T16:51:00Z,2026-01-05T19:40:00Z,ADVERSE_FIRST,,2026-01-05T19:40:00Z,ADVERSE_FIRST,2026-01-05T15:27:00Z,2026-01-05T15:25:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:25:00Z,ADVERSE_FIRST,2026-01-05T16:25:00Z,2026-01-05T15:25:00Z,ADVERSE_FIRST,2026-01-05T16:48:00Z,2026-01-05T15:25:00Z,ADVERSE_FIRST,2026-01-05T15:28:00Z,2026-01-05T15:25:00Z,ADVERSE_FIRST,2026-01-05T16:25:00Z,2026-01-05T15:25:00Z,ADVERSE_FIRST,2026-01-05T16:48:00Z,2026-01-05T15:25:00Z,ADVERSE_FIRST,,2026-01-05T15:25:00Z,ADVERSE_FIRST,,2026-01-05T15:25:00Z
SPY:2026-01-05:LONG:2026-01-05T20:05:00+00:00:v1,2026-01-05,LONG,687.960000000000,688.130000000000,0.170000000000,2026-01-05T20:10:00Z,2026-01-05T20:15:00Z,5,WORSE,0.280000000000,0.095000000000,0.800000000000,0.970000000000,-0.230000000000,-0.400000000000,0.185000000000,-0.170000000000,True,45,40,AVAILABLE,AVAILABLE,2026-01-05T20:10:00Z,2026-01-05T20:15:00Z,FAVORABLE_FIRST,2026-01-05T20:12:00Z,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:51:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:52:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z,ADVERSE_FIRST,,2026-01-05T20:20:00Z
SPY:2026-01-06:LONG:2026-01-06T14:45:00+00:00:v1,2026-01-06,LONG,689.230100000000,689.720000000000,0.489900000000,2026-01-06T14:50:00Z,2026-01-06T14:55:00Z,5,WORSE,3.084900000000,2.595000000000,0.930100000000,1.420000000000,2.569900000000,2.080000000000,0.489900000000,-0.489900000000,True,75,70,AVAILABLE,AVAILABLE,2026-01-06T14:50:00Z,2026-01-06T14:55:00Z,FAVORABLE_FIRST,2026-01-06T14:50:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:51:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:57:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:51:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:57:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T15:25:00Z,2026-01-06T15:55:00Z,ADVERSE_FIRST,2026-01-06T18:43:00Z,2026-01-06T15:55:00Z,FAVORABLE_FIRST,2026-01-06T14:57:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:06:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:25:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:00:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:06:00Z,2026-01-06T15:52:00Z,FAVORABLE_FIRST,2026-01-06T15:25:00Z,2026-01-06T15:52:00Z,ADVERSE_FIRST,2026-01-06T18:43:00Z,2026-01-06T15:52:00Z,ADVERSE_FIRST,2026-01-06T18:59:00Z,2026-01-06T15:52:00Z
SPY:2026-01-06:LONG:2026-01-06T16:05:00+00:00:v1,2026-01-06,LONG,688.860000000000,688.865000000000,0.005000000000,2026-01-06T16:10:00Z,2026-01-06T16:15:00Z,5,UNCHANGED_WITHIN_ONE_CENT,3.455000000000,3.450000000000,0.240000000000,0.245000000000,2.940000000000,2.935000000000,0.005000000000,-0.005000000000,True,,,AVAILABLE,AVAILABLE,2026-01-06T16:10:00Z,2026-01-06T16:15:00Z,FAVORABLE_FIRST,2026-01-06T16:12:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T17:22:00Z,,FAVORABLE_FIRST,2026-01-06T17:38:00Z,,FAVORABLE_FIRST,2026-01-06T16:22:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T16:24:00Z,,FAVORABLE_FIRST,2026-01-06T17:05:00Z,,FAVORABLE_FIRST,2026-01-06T17:08:00Z,,FAVORABLE_FIRST,2026-01-06T17:22:00Z,,FAVORABLE_FIRST,2026-01-06T17:38:00Z,
SPY:2026-01-07:LONG:2026-01-07T14:40:00+00:00:v1,2026-01-07,LONG,692.742100000000,692.690000000000,-0.052100000000,2026-01-07T14:45:00Z,2026-01-07T14:50:00Z,5,BETTER,1.217900000000,1.270000000000,3.422100000000,3.370000000000,-3.152100000000,-3.100000000000,-0.052100000000,0.052100000000,True,20,15,AVAILABLE,AVAILABLE,2026-01-07T14:45:00Z,2026-01-07T14:50:00Z,FAVORABLE_FIRST,2026-01-07T14:46:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:05:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:05:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:55:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T16:55:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z,ADVERSE_FIRST,,2026-01-07T14:51:00Z
SPY:2026-01-07:SHORT:2026-01-07T15:11:00+00:00:v1,2026-01-07,SHORT,691.620000000000,691.240000000000,0.380000000000,2026-01-07T15:15:00Z,2026-01-07T15:20:00Z,5,WORSE,2.300000000000,1.920000000000,2.340000000000,2.720000000000,2.030000000000,1.650000000000,0.380000000000,-0.380000000000,True,20,15,AVAILABLE,AVAILABLE,2026-01-07T15:15:00Z,2026-01-07T15:20:00Z,FAVORABLE_FIRST,2026-01-07T15:15:00Z,2026-01-07T15:28:00Z,FAVORABLE_FIRST,2026-01-07T15:17:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:13:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:28:00Z,FAVORABLE_FIRST,2026-01-07T15:17:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:13:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:28:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T20:35:00Z,2026-01-07T15:28:00Z,ADVERSE_FIRST,2026-01-07T15:39:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:14:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:27:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:14:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:15:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:27:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,2026-01-07T20:34:00Z,2026-01-07T15:21:00Z,ADVERSE_FIRST,,2026-01-07T15:21:00Z
SPY:2026-01-07:LONG:2026-01-07T15:55:00+00:00:v1,2026-01-07,LONG,692.510000000000,692.720000000000,0.210000000000,2026-01-07T16:00:00Z,2026-01-07T16:05:00Z,5,WORSE,1.450000000000,1.240000000000,3.190000000000,3.400000000000,-2.920000000000,-3.130000000000,0.210000000000,-0.210000000000,True,25,20,AVAILABLE,AVAILABLE,2026-01-07T16:00:00Z,2026-01-07T16:05:00Z,FAVORABLE_FIRST,2026-01-07T16:03:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:45:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:45:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:57:00Z,2026-01-07T16:25:00Z,ADVERSE_FIRST,,2026-01-07T16:25:00Z,ADVERSE_FIRST,,2026-01-07T16:25:00Z,ADVERSE_FIRST,2026-01-07T16:43:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:56:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:44:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T16:56:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,2026-01-07T17:04:00Z,2026-01-07T16:11:00Z,ADVERSE_FIRST,,2026-01-07T16:11:00Z,ADVERSE_FIRST,,2026-01-07T16:11:00Z
