family,approach_side,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,ABOVE,0.25,5,169,3193,614,298,2093,185,3,19.23,9.33,65.55,5.79,0.09,57,0.340000000000,0.340000000000,0.490000000000,0.360000000000,174,28.34,174,0,120
ALL,ABOVE,0.25,15,169,3193,694,381,2093,22,3,21.74,11.93,65.55,0.69,0.09,128,0.600000000000,0.599000000000,0.690000000000,0.610000000000,352,50.72,245,107,180
ALL,ABOVE,0.25,30,169,3193,702,389,2093,6,3,21.99,12.18,65.55,0.19,0.09,211,0.812500000000,0.800000000000,0.870000000000,0.810000000000,422,60.11,249,173,240
ALL,ABOVE,0.50,5,169,3193,700,586,934,951,22,21.92,18.35,29.25,29.78,0.69,57,0.340000000000,0.340000000000,0.490000000000,0.360000000000,87,12.43,87,0,120
ALL,ABOVE,0.50,15,169,3193,1013,923,935,291,31,31.73,28.91,29.28,9.11,0.97,128,0.600000000000,0.599000000000,0.690000000000,0.610000000000,356,35.14,242,114,240
ALL,ABOVE,0.50,30,169,3193,1114,1010,935,102,32,34.89,31.63,29.28,3.19,1.00,211,0.812500000000,0.800000000000,0.870000000000,0.810000000000,508,45.60,255,253,300
ALL,ABOVE,1.00,5,169,3193,298,324,179,2354,38,9.33,10.15,5.61,73.72,1.19,57,0.340000000000,0.340000000000,0.490000000000,0.360000000000,10,3.36,10,0,120
ALL,ABOVE,1.00,15,169,3193,793,889,179,1250,82,24.84,27.84,5.61,39.15,2.57,128,0.600000000000,0.599000000000,0.690000000000,0.610000000000,118,14.88,70,48,300
ALL,ABOVE,1.00,30,169,3193,1086,1164,179,662,102,34.01,36.45,5.61,20.73,3.19,211,0.812500000000,0.800000000000,0.870000000000,0.810000000000,246,22.65,90,156,420
ALL,BELOW,0.25,5,170,3173,671,334,1938,229,1,21.15,10.53,61.08,7.22,0.03,67,0.325000000000,0.300000000000,0.465000000000,0.315000000000,180,26.83,180,0,120
ALL,BELOW,0.25,15,170,3173,778,436,1938,20,1,24.52,13.74,61.08,0.63,0.03,172,0.560000000000,0.550000000000,0.650000000000,0.560000000000,408,52.44,280,128,180
ALL,BELOW,0.25,30,170,3173,791,440,1938,3,1,24.93,13.87,61.08,0.09,0.03,268,0.760000000000,0.750000000000,0.830000000000,0.750000000000,544,68.77,291,253,300
ALL,BELOW,0.50,5,170,3173,626,476,900,1145,26,19.73,15.00,28.36,36.09,0.82,67,0.325000000000,0.300000000000,0.465000000000,0.315000000000,84,13.42,84,0,120
ALL,BELOW,0.50,15,170,3173,980,856,901,392,44,30.89,26.98,28.40,12.35,1.39,172,0.560000000000,0.550000000000,0.650000000000,0.560000000000,334,34.08,219,115,240
ALL,BELOW,0.50,30,170,3173,1089,981,901,153,49,34.32,30.92,28.40,4.82,1.54,268,0.760000000000,0.750000000000,0.830000000000,0.750000000000,557,51.15,242,315,420
ALL,BELOW,1.00,5,170,3173,289,219,217,2393,55,9.11,6.90,6.84,75.42,1.73,67,0.325000000000,0.300000000000,0.465000000000,0.315000000000,20,6.92,20,0,120
ALL,BELOW,1.00,15,170,3173,771,681,217,1380,124,24.30,21.46,6.84,43.49,3.91,172,0.560000000000,0.550000000000,0.650000000000,0.560000000000,172,22.31,96,76,300
ALL,BELOW,1.00,30,170,3173,1068,937,217,799,152,33.66,29.53,6.84,25.18,4.79,268,0.760000000000,0.750000000000,0.830000000000,0.750000000000,347,32.49,113,234,480
ALL,UNKNOWN,0.25,5,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,0.25,15,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,0.25,30,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,0.50,5,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,0.50,15,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,0.50,30,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,1.00,5,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,1.00,15,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
ALL,UNKNOWN,1.00,30,4,4,0,0,4,0,0,0.00,0.00,100.00,0.00,0.00,0,,,,,0,,0,0,
PDH,ABOVE,0.25,5,64,125,22,12,76,14,1,17.60,9.60,60.80,11.20,0.80,2,0.290000000000,0.290000000000,0.440000000000,0.299600000000,6,27.27,6,0,120
PDH,ABOVE,0.25,15,64,125,28,17,76,3,1,22.40,13.60,60.80,2.40,0.80,4,0.490000000000,0.462500000000,0.550000000000,0.462500000000,10,35.71,6,4,180
PDH,ABOVE,0.25,30,64,125,29,18,76,1,1,23.20,14.40,60.80,0.80,0.80,7,0.650000000000,0.580000000000,0.729000000000,0.580000000000,12,41.38,7,5,210
PDH,ABOVE,0.50,5,64,125,31,21,31,40,2,24.80,16.80,24.80,32.00,1.60,2,0.290000000000,0.290000000000,0.440000000000,0.299600000000,5,16.13,5,0,60
PDH,ABOVE,0.50,15,64,125,39,31,31,22,2,31.20,24.80,24.80,17.60,1.60,4,0.490000000000,0.462500000000,0.550000000000,0.462500000000,11,28.21,9,2,180
PDH,ABOVE,0.50,30,64,125,48,36,31,8,2,38.40,28.80,24.80,6.40,1.60,7,0.650000000000,0.580000000000,0.729000000000,0.580000000000,17,35.42,10,7,300
PDH,ABOVE,1.00,5,64,125,9,11,9,94,2,7.20,8.80,7.20,75.20,1.60,2,0.290000000000,0.290000000000,0.440000000000,0.299600000000,1,11.11,1,0,60
PDH,ABOVE,1.00,15,64,125,25,25,9,63,3,20.00,20.00,7.20,50.40,2.40,4,0.490000000000,0.462500000000,0.550000000000,0.462500000000,3,12.00,3,0,180
PDH,ABOVE,1.00,30,64,125,38,37,9,38,3,30.40,29.60,7.20,30.40,2.40,7,0.650000000000,0.580000000000,0.729000000000,0.580000000000,3,7.89,3,0,180
PDH,BELOW,0.25,5,72,108,18,13,66,11,0,16.67,12.04,61.11,10.19,0.00,0,0.255000000000,0.380750000000,0.435000000000,0.380750000000,6,33.33,6,0,90
PDH,BELOW,0.25,15,72,108,22,19,66,1,0,20.37,17.59,61.11,0.93,0.00,5,0.365000000000,0.620000000000,0.515000000000,0.625000000000,14,63.64,10,4,180
PDH,BELOW,0.25,30,72,108,23,19,66,0,0,21.30,17.59,61.11,0.00,0.00,7,0.515000000000,0.775000000000,0.640000000000,0.777500000000,16,69.57,10,6,180
PDH,BELOW,0.50,5,72,108,16,15,34,43,0,14.81,13.89,31.48,39.81,0.00,0,0.255000000000,0.380750000000,0.435000000000,0.380750000000,3,18.75,3,0,120
PDH,BELOW,0.50,15,72,108,21,37,34,14,2,19.44,34.26,31.48,12.96,1.85,5,0.365000000000,0.620000000000,0.515000000000,0.625000000000,9,42.86,6,3,180
PDH,BELOW,0.50,30,72,108,26,40,34,6,2,24.07,37.04,31.48,5.56,1.85,7,0.515000000000,0.775000000000,0.640000000000,0.777500000000,12,46.15,6,6,270
PDH,BELOW,1.00,5,72,108,5,6,10,87,0,4.63,5.56,9.26,80.56,0.00,0,0.255000000000,0.380750000000,0.435000000000,0.380750000000,1,20.00,1,0,120
PDH,BELOW,1.00,15,72,108,17,26,10,50,5,15.74,24.07,9.26,46.30,4.63,5,0.365000000000,0.620000000000,0.515000000000,0.625000000000,7,41.18,3,4,360
PDH,BELOW,1.00,30,72,108,28,37,10,27,6,25.93,34.26,9.26,25.00,5.56,7,0.515000000000,0.775000000000,0.640000000000,0.777500000000,11,39.29,5,6,360
PDH,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
