family,breach_history,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,NEVER_BREACHED,0.25,5,170,637,101,40,466,30,0,15.86,6.28,73.16,4.71,0.00,10,0.370000000000,0.370000000000,0.540000000000,0.400000000000,29,28.71,29,0,120
ALL,NEVER_BREACHED,0.25,15,170,637,118,50,466,3,0,18.52,7.85,73.16,0.47,0.00,20,0.660000000000,0.690000000000,0.770000000000,0.730000000000,57,48.31,40,17,180
ALL,NEVER_BREACHED,0.25,30,170,637,119,52,466,0,0,18.68,8.16,73.16,0.00,0.00,28,0.870000000000,0.875000000000,1.030000000000,0.890000000000,73,61.34,41,32,240
ALL,NEVER_BREACHED,0.50,5,170,637,143,108,224,160,2,22.45,16.95,35.16,25.12,0.31,10,0.370000000000,0.370000000000,0.540000000000,0.400000000000,27,18.88,27,0,120
ALL,NEVER_BREACHED,0.50,15,170,637,190,168,225,48,6,29.83,26.37,35.32,7.54,0.94,20,0.660000000000,0.690000000000,0.770000000000,0.730000000000,66,34.74,50,16,180
ALL,NEVER_BREACHED,0.50,30,170,637,201,184,225,21,6,31.55,28.89,35.32,3.30,0.94,28,0.870000000000,0.875000000000,1.030000000000,0.890000000000,98,48.76,51,47,300
ALL,NEVER_BREACHED,1.00,5,170,637,79,61,59,435,3,12.40,9.58,9.26,68.29,0.47,10,0.370000000000,0.370000000000,0.540000000000,0.400000000000,10,12.66,10,0,120
ALL,NEVER_BREACHED,1.00,15,170,637,186,180,59,202,10,29.20,28.26,9.26,31.71,1.57,20,0.660000000000,0.690000000000,0.770000000000,0.730000000000,42,22.58,21,21,330
ALL,NEVER_BREACHED,1.00,30,170,637,228,229,59,110,11,35.79,35.95,9.26,17.27,1.73,28,0.870000000000,0.875000000000,1.030000000000,0.890000000000,70,30.70,26,44,390
ALL,PENETRATED_NO_CLOSE_THROUGH,0.25,5,37,48,11,7,30,0,0,22.92,14.58,62.50,0.00,0.00,1,0.314950000000,0.412500000000,0.560000000000,0.427500000000,5,45.45,5,0,120
ALL,PENETRATED_NO_CLOSE_THROUGH,0.25,15,37,48,11,7,30,0,0,22.92,14.58,62.50,0.00,0.00,2,0.620000000000,0.640000000000,0.780000000000,0.650050000000,6,54.55,5,1,120
ALL,PENETRATED_NO_CLOSE_THROUGH,0.25,30,37,48,11,7,30,0,0,22.92,14.58,62.50,0.00,0.00,3,0.900000000000,0.727850000000,0.929000000000,0.735000000000,6,54.55,5,1,120
ALL,PENETRATED_NO_CLOSE_THROUGH,0.50,5,37,48,9,2,21,16,0,18.75,4.17,43.75,33.33,0.00,1,0.314950000000,0.412500000000,0.560000000000,0.427500000000,2,22.22,2,0,90
ALL,PENETRATED_NO_CLOSE_THROUGH,0.50,15,37,48,14,7,21,6,0,29.17,14.58,43.75,12.50,0.00,2,0.620000000000,0.640000000000,0.780000000000,0.650050000000,3,21.43,2,1,120
ALL,PENETRATED_NO_CLOSE_THROUGH,0.50,30,37,48,14,13,21,0,0,29.17,27.08,43.75,0.00,0.00,3,0.900000000000,0.727850000000,0.929000000000,0.735000000000,3,21.43,2,1,120
ALL,PENETRATED_NO_CLOSE_THROUGH,1.00,5,37,48,4,5,1,37,1,8.33,10.42,2.08,77.08,2.08,1,0.314950000000,0.412500000000,0.560000000000,0.427500000000,0,0.00,0,0,
ALL,PENETRATED_NO_CLOSE_THROUGH,1.00,15,37,48,16,12,1,18,1,33.33,25.00,2.08,37.50,2.08,2,0.620000000000,0.640000000000,0.780000000000,0.650050000000,2,12.50,2,0,150
ALL,PENETRATED_NO_CLOSE_THROUGH,1.00,30,37,48,18,16,1,12,1,37.50,33.33,2.08,25.00,2.08,3,0.900000000000,0.727850000000,0.929000000000,0.735000000000,3,16.67,2,1,180
ALL,COMPLETED_CLOSE_THROUGH,0.25,5,168,5685,1173,585,3539,384,4,20.63,10.29,62.25,6.75,0.07,113,0.330000000000,0.310000000000,0.470000000000,0.330000000000,320,27.28,320,0,120
ALL,COMPLETED_CLOSE_THROUGH,0.25,15,168,5685,1343,760,3539,39,4,23.62,13.37,62.25,0.69,0.07,278,0.570000000000,0.560000000000,0.660000000000,0.570000000000,697,51.90,480,217,180
ALL,COMPLETED_CLOSE_THROUGH,0.25,30,168,5685,1363,770,3539,9,4,23.98,13.54,62.25,0.16,0.07,448,0.780000000000,0.760000000000,0.835000000000,0.770000000000,887,65.08,494,393,300
ALL,COMPLETED_CLOSE_THROUGH,0.50,5,168,5685,1174,952,1593,1920,46,20.65,16.75,28.02,33.77,0.81,113,0.330000000000,0.310000000000,0.470000000000,0.330000000000,142,12.10,142,0,120
