family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,170,4475,907,443,2854,270,1,20.27,9.90,63.78,6.03,0.02,80,0.340000000000,0.319600000000,0.485000000000,0.340000000000,261,28.78,261,0,120
ALL,1,0.25,15,170,4475,1023,573,2854,24,1,22.86,12.80,63.78,0.54,0.02,195,0.600000000000,0.580000000000,0.680000000000,0.590000000000,532,52.00,370,162,180
ALL,1,0.25,30,170,4475,1036,581,2854,3,1,23.15,12.98,63.78,0.07,0.02,314,0.811250000000,0.780000000000,0.870000000000,0.790000000000,670,64.67,380,290,240
ALL,1,0.50,5,170,4475,944,736,1309,1461,25,21.09,16.45,29.25,32.65,0.56,80,0.340000000000,0.319600000000,0.485000000000,0.340000000000,129,13.67,129,0,120
ALL,1,0.50,15,170,4475,1416,1257,1311,448,43,31.64,28.09,29.30,10.01,0.96,195,0.600000000000,0.580000000000,0.680000000000,0.590000000000,525,37.08,356,169,240
ALL,1,0.50,30,170,4475,1566,1400,1311,151,47,34.99,31.28,29.30,3.37,1.05,314,0.811250000000,0.780000000000,0.870000000000,0.790000000000,788,50.32,382,406,360
ALL,1,1.00,5,170,4475,429,380,288,3319,59,9.59,8.49,6.44,74.17,1.32,80,0.340000000000,0.319600000000,0.485000000000,0.340000000000,24,5.59,24,0,120
ALL,1,1.00,15,170,4475,1129,1078,288,1848,132,25.23,24.09,6.44,41.30,2.95,195,0.600000000000,0.580000000000,0.680000000000,0.590000000000,216,19.13,122,94,300
ALL,1,1.00,30,170,4475,1569,1468,288,986,164,35.06,32.80,6.44,22.03,3.66,314,0.811250000000,0.780000000000,0.870000000000,0.790000000000,460,29.32,155,305,480
ALL,2,0.25,5,133,1630,315,172,1049,94,0,19.33,10.55,64.36,5.77,0.00,35,0.330000000000,0.335000000000,0.490000000000,0.340000000000,83,26.35,83,0,120
