family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,170,4213,858,427,2668,259,1,20.37,10.14,63.33,6.15,0.02,81,0.350000000000,0.310000000000,0.489950000000,0.335000000000,250,29.14,250,0,120
ALL,1,0.25,15,170,4213,963,557,2668,24,1,22.86,13.22,63.33,0.57,0.02,196,0.602500000000,0.565000000000,0.685000000000,0.580000000000,494,51.30,354,140,180
ALL,1,0.25,30,170,4213,976,565,2668,3,1,23.17,13.41,63.33,0.07,0.02,311,0.829250000000,0.770000000000,0.870150000000,0.780000000000,628,64.34,363,265,240
ALL,1,0.50,5,170,4213,913,686,1210,1376,28,21.67,16.28,28.72,32.66,0.66,81,0.350000000000,0.310000000000,0.489950000000,0.335000000000,123,13.47,123,0,120
ALL,1,0.50,15,170,4213,1362,1170,1212,424,45,32.33,27.77,28.77,10.06,1.07,196,0.602500000000,0.565000000000,0.685000000000,0.580000000000,490,35.98,339,151,240
ALL,1,0.50,30,170,4213,1503,1307,1212,142,49,35.68,31.02,28.77,3.37,1.16,311,0.829250000000,0.770000000000,0.870150000000,0.780000000000,751,49.97,365,386,360
ALL,1,1.00,5,170,4213,412,359,251,3128,63,9.78,8.52,5.96,74.25,1.50,81,0.350000000000,0.310000000000,0.489950000000,0.335000000000,27,6.55,27,0,120
ALL,1,1.00,15,170,4213,1092,1007,251,1731,132,25.92,23.90,5.96,41.09,3.13,196,0.602500000000,0.565000000000,0.685000000000,0.580000000000,212,19.41,128,84,270
ALL,1,1.00,30,170,4213,1496,1368,251,933,165,35.51,32.47,5.96,22.15,3.92,311,0.829250000000,0.770000000000,0.870150000000,0.780000000000,449,30.01,159,290,480
ALL,2,0.25,5,132,1897,372,183,1219,123,0,19.61,9.65,64.26,6.48,0.00,28,0.320000000000,0.330000000000,0.470000000000,0.340000000000,99,26.61,99,0,120
ALL,2,0.25,15,132,1897,428,235,1219,15,0,22.56,12.39,64.26,0.79,0.00,80,0.535000000000,0.600000000000,0.650000000000,0.600000000000,231,53.97,152,79,180
ALL,2,0.25,30,132,1897,436,239,1219,3,0,22.98,12.60,64.26,0.16,0.00,140,0.755000000000,0.790000000000,0.820000000000,0.795000000000,295,67.66,158,137,300
ALL,2,0.50,5,132,1897,371,331,560,622,13,19.56,17.45,29.52,32.79,0.69,28,0.320000000000,0.330000000000,0.470000000000,0.340000000000,45,12.13,45,0,120
ALL,2,0.50,15,132,1897,550,544,560,220,23,28.99,28.68,29.52,11.60,1.21,80,0.535000000000,0.600000000000,0.650000000000,0.600000000000,175,31.82,109,66,240
ALL,2,0.50,30,132,1897,608,611,560,93,25,32.05,32.21,29.52,4.90,1.32,140,0.755000000000,0.790000000000,0.820000000000,0.795000000000,277,45.56,119,158,360
ALL,2,1.00,5,132,1897,166,167,137,1404,23,8.75,8.80,7.22,74.01,1.21,28,0.320000000000,0.330000000000,0.470000000000,0.340000000000,3,1.81,3,0,120
ALL,2,1.00,15,132,1897,430,510,137,762,58,22.67,26.88,7.22,40.17,3.06,80,0.535000000000,0.600000000000,0.650000000000,0.600000000000,70,16.28,34,36,360
ALL,2,1.00,30,132,1897,596,650,137,441,73,31.42,34.26,7.22,23.25,3.85,140,0.755000000000,0.790000000000,0.820000000000,0.795000000000,132,22.15,40,92,420
