family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,104,729,131,80,445,70,3,17.97,10.97,61.04,9.60,0.41,14,0.300000000000,0.350000000000,0.450000000000,0.371000000000,28,21.37,28,0,120
ALL,True,0.25,15,104,729,167,103,445,11,3,22.91,14.13,61.04,1.51,0.41,29,0.495000000000,0.570000000000,0.600000000000,0.580000000000,74,44.31,52,22,240
ALL,True,0.25,30,104,729,171,105,445,5,3,23.46,14.40,61.04,0.69,0.41,53,0.710000000000,0.790000000000,0.789000000000,0.790000000000,105,61.40,54,51,300
ALL,True,0.50,5,104,729,130,133,224,234,8,17.83,18.24,30.73,32.10,1.10,14,0.300000000000,0.350000000000,0.450000000000,0.371000000000,14,10.77,14,0,120
ALL,True,0.50,15,104,729,196,200,224,99,10,26.89,27.43,30.73,13.58,1.37,29,0.495000000000,0.570000000000,0.600000000000,0.580000000000,43,21.94,29,14,180
ALL,True,0.50,30,104,729,224,224,224,45,12,30.73,30.73,30.73,6.17,1.65,53,0.710000000000,0.790000000000,0.789000000000,0.790000000000,91,40.62,35,56,540
ALL,True,1.00,5,104,729,42,73,59,547,8,5.76,10.01,8.09,75.03,1.10,14,0.300000000000,0.350000000000,0.450000000000,0.371000000000,2,4.76,2,0,120
ALL,True,1.00,15,104,729,139,204,59,306,21,19.07,27.98,8.09,41.98,2.88,29,0.495000000000,0.570000000000,0.600000000000,0.580000000000,23,16.55,12,11,300
ALL,True,1.00,30,104,729,200,267,59,176,27,27.43,36.63,8.09,24.14,3.70,53,0.710000000000,0.790000000000,0.789000000000,0.790000000000,51,25.50,14,37,420
ALL,False,0.25,5,170,5641,1154,552,3590,344,1,20.46,9.79,63.64,6.10,0.02,110,0.340000000000,0.310000000000,0.480000000000,0.330000000000,326,28.25,326,0,120
ALL,False,0.25,15,170,5641,1305,714,3590,31,1,23.13,12.66,63.64,0.55,0.02,271,0.590000000000,0.570000000000,0.679900000000,0.580000000000,686,52.57,473,213,180
ALL,False,0.25,30,170,5641,1322,724,3590,4,1,23.44,12.83,63.64,0.07,0.02,426,0.800000000000,0.770000000000,0.860000000000,0.780000000000,861,65.13,486,375,240
ALL,False,0.50,5,170,5641,1196,929,1614,1862,40,21.20,16.47,28.61,33.01,0.71,110,0.340000000000,0.310000000000,0.480000000000,0.330000000000,157,13.13,157,0,120
ALL,False,0.50,15,170,5641,1797,1579,1616,584,65,31.86,27.99,28.65,10.35,1.15,271,0.590000000000,0.570000000000,0.679900000000,0.580000000000,647,36.00,432,215,240
ALL,False,0.50,30,170,5641,1979,1767,1616,210,69,35.08,31.32,28.65,3.72,1.22,426,0.800000000000,0.770000000000,0.860000000000,0.780000000000,974,49.22,462,512,360
ALL,False,1.00,5,170,5641,545,470,341,4200,85,9.66,8.33,6.05,74.45,1.51,110,0.340000000000,0.310000000000,0.480000000000,0.330000000000,28,5.14,28,0,120
ALL,False,1.00,15,170,5641,1425,1366,341,2324,185,25.26,24.22,6.05,41.20,3.28,271,0.590000000000,0.570000000000,0.679900000000,0.580000000000,267,18.74,154,113,300
ALL,False,1.00,30,170,5641,1954,1834,341,1285,227,34.64,32.51,6.05,22.78,4.02,426,0.800000000000,0.770000000000,0.860000000000,0.780000000000,542,27.74,189,353,420
PDH,True,0.25,5,46,114,17,14,62,20,1,14.91,12.28,54.39,17.54,0.88,2,0.236250000000,0.302500000000,0.330000000000,0.302500000000,6,35.29,6,0,90
PDH,True,0.25,15,46,114,26,21,62,4,1,22.81,18.42,54.39,3.51,0.88,5,0.350000000000,0.545000000000,0.455000000000,0.545000000000,10,38.46,8,2,150
PDH,True,0.25,30,46,114,28,22,62,1,1,24.56,19.30,54.39,0.88,0.88,7,0.485000000000,0.645000000000,0.589950000000,0.645000000000,13,46.43,9,4,180
