family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,170,5594,1144,554,3549,346,1,20.45,9.90,63.44,6.19,0.02,110,0.340000000000,0.310000000000,0.480000000000,0.335000000000,322,28.15,322,0,120
ALL,1,0.25,15,170,5594,1297,716,3549,31,1,23.19,12.80,63.44,0.55,0.02,269,0.585000000000,0.570000000000,0.670000000000,0.580000000000,676,52.12,471,205,180
ALL,1,0.25,30,170,5594,1314,726,3549,4,1,23.49,12.98,63.44,0.07,0.02,422,0.790000000000,0.770500000000,0.859900000000,0.780000000000,851,64.76,484,367,240
ALL,1,0.50,5,170,5594,1183,921,1598,1852,40,21.15,16.46,28.57,33.11,0.72,110,0.340000000000,0.310000000000,0.480000000000,0.335000000000,159,13.44,159,0,120
ALL,1,0.50,15,170,5594,1775,1574,1600,580,65,31.73,28.14,28.60,10.37,1.16,269,0.585000000000,0.570000000000,0.670000000000,0.580000000000,637,35.89,429,208,240
ALL,1,0.50,30,170,5594,1957,1760,1600,208,69,34.98,31.46,28.60,3.72,1.23,422,0.790000000000,0.770500000000,0.859900000000,0.780000000000,964,49.26,459,505,360
ALL,1,1.00,5,170,5594,535,468,341,4165,85,9.56,8.37,6.10,74.45,1.52,110,0.340000000000,0.310000000000,0.480000000000,0.335000000000,28,5.23,28,0,120
ALL,1,1.00,15,170,5594,1406,1361,341,2301,185,25.13,24.33,6.10,41.13,3.31,269,0.585000000000,0.570000000000,0.670000000000,0.580000000000,262,18.63,149,113,300
ALL,1,1.00,30,170,5594,1923,1826,341,1277,227,34.38,32.64,6.10,22.83,4.06,422,0.790000000000,0.770500000000,0.859900000000,0.780000000000,535,27.82,184,351,420
ALL,2,0.25,5,99,731,138,78,465,50,0,18.88,10.67,63.61,6.84,0.00,8,0.325000000000,0.340000000000,0.480000000000,0.360000000000,32,23.19,32,0,120
ALL,2,0.25,15,99,731,160,98,465,8,0,21.89,13.41,63.61,1.09,0.00,22,0.555000000000,0.570000000000,0.650000000000,0.585000000000,84,52.50,54,30,240
ALL,2,0.25,30,99,731,164,100,465,2,0,22.44,13.68,63.61,0.27,0.00,48,0.800000000000,0.790000000000,0.830000000000,0.790000000000,112,68.29,56,56,330
ALL,2,0.50,5,99,731,143,138,228,220,2,19.56,18.88,31.19,30.10,0.27,8,0.325000000000,0.340000000000,0.480000000000,0.360000000000,12,8.39,12,0,120
ALL,2,0.50,15,99,731,215,196,228,88,4,29.41,26.81,31.19,12.04,0.55,22,0.555000000000,0.570000000000,0.650000000000,0.585000000000,53,24.65,32,21,240
ALL,2,0.50,30,99,731,237,222,228,38,6,32.42,30.37,31.19,5.20,0.82,48,0.800000000000,0.790000000000,0.830000000000,0.790000000000,101,42.62,38,63,480
ALL,2,1.00,5,99,731,52,72,59,546,2,7.11,9.85,8.07,74.69,0.27,8,0.325000000000,0.340000000000,0.480000000000,0.360000000000,2,3.85,2,0,120
ALL,2,1.00,15,99,731,155,197,59,308,12,21.20,26.95,8.07,42.13,1.64,22,0.555000000000,0.570000000000,0.650000000000,0.585000000000,25,16.13,17,8,180
ALL,2,1.00,30,99,731,225,263,59,166,18,30.78,35.98,8.07,22.71,2.46,48,0.800000000000,0.790000000000,0.830000000000,0.790000000000,55,24.44,19,36,420
ALL,3+,0.25,5,7,45,3,0,21,18,3,6.67,0.00,46.67,40.00,6.67,6,0.190000000000,0.170000000000,0.330000000000,0.220000000000,0,0.00,0,0,
