family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,100,690,125,72,422,68,3,18.12,10.43,61.16,9.86,0.43,14,0.300000000000,0.340000000000,0.450000000000,0.350000000000,28,22.40,28,0,120
ALL,True,0.25,15,100,690,159,95,422,11,3,23.04,13.77,61.16,1.59,0.43,29,0.510000000000,0.555000000000,0.600000000000,0.570000000000,72,45.28,50,22,240
ALL,True,0.25,30,100,690,163,97,422,5,3,23.62,14.06,61.16,0.72,0.43,53,0.710000000000,0.775000000000,0.795000000000,0.790000000000,101,61.96,52,49,300
ALL,True,0.50,5,100,690,124,121,213,224,8,17.97,17.54,30.87,32.46,1.16,14,0.300000000000,0.340000000000,0.450000000000,0.350000000000,12,9.68,12,0,120
ALL,True,0.50,15,100,690,185,185,213,97,10,26.81,26.81,30.87,14.06,1.45,29,0.510000000000,0.555000000000,0.600000000000,0.570000000000,40,21.62,26,14,180
ALL,True,0.50,30,100,690,211,209,213,45,12,30.58,30.29,30.87,6.52,1.74,53,0.710000000000,0.775000000000,0.795000000000,0.790000000000,86,40.76,32,54,540
ALL,True,1.00,5,100,690,40,69,58,515,8,5.80,10.00,8.41,74.64,1.16,14,0.300000000000,0.340000000000,0.450000000000,0.350000000000,2,5.00,2,0,120
ALL,True,1.00,15,100,690,131,183,58,297,21,18.99,26.52,8.41,43.04,3.04,29,0.510000000000,0.555000000000,0.600000000000,0.570000000000,23,17.56,12,11,300
ALL,True,1.00,30,100,690,192,243,58,170,27,27.83,35.22,8.41,24.64,3.91,53,0.710000000000,0.775000000000,0.795000000000,0.790000000000,49,25.52,14,35,420
ALL,False,0.25,5,170,5680,1160,560,3613,346,1,20.42,9.86,63.61,6.09,0.02,110,0.340000000000,0.310000000000,0.480000000000,0.332550000000,326,28.10,326,0,120
ALL,False,0.25,15,170,5680,1313,722,3613,31,1,23.12,12.71,63.61,0.55,0.02,271,0.590000000000,0.570000000000,0.676250000000,0.580000000000,688,52.40,475,213,180
ALL,False,0.25,30,170,5680,1330,732,3613,4,1,23.42,12.89,63.61,0.07,0.02,426,0.799650000000,0.773000000000,0.860000000000,0.780000000000,865,65.04,488,377,240
ALL,False,0.50,5,170,5680,1202,941,1625,1872,40,21.16,16.57,28.61,32.96,0.70,110,0.340000000000,0.310000000000,0.480000000000,0.332550000000,159,13.23,159,0,120
ALL,False,0.50,15,170,5680,1808,1594,1627,586,65,31.83,28.06,28.64,10.32,1.14,271,0.590000000000,0.570000000000,0.676250000000,0.580000000000,650,35.95,435,215,240
ALL,False,0.50,30,170,5680,1992,1782,1627,210,69,35.07,31.37,28.64,3.70,1.21,426,0.799650000000,0.773000000000,0.860000000000,0.780000000000,979,49.15,465,514,360
ALL,False,1.00,5,170,5680,547,474,342,4232,85,9.63,8.35,6.02,74.51,1.50,110,0.340000000000,0.310000000000,0.480000000000,0.332550000000,28,5.12,28,0,120
ALL,False,1.00,15,170,5680,1433,1387,342,2333,185,25.23,24.42,6.02,41.07,3.26,271,0.590000000000,0.570000000000,0.676250000000,0.580000000000,267,18.63,154,113,300
ALL,False,1.00,30,170,5680,1962,1858,342,1291,227,34.54,32.71,6.02,22.73,4.00,426,0.799650000000,0.773000000000,0.860000000000,0.780000000000,544,27.73,189,355,420
