family,creation_first_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,170,737,121,49,537,30,0,16.42,6.65,72.86,4.07,0.00,10,0.370000000000,0.380000000000,0.550000000000,0.410000000000,39,32.23,39,0,120
ALL,True,0.25,15,170,737,138,59,537,3,0,18.72,8.01,72.86,0.41,0.00,20,0.660000000000,0.700000000000,0.795000000000,0.730000000000,70,50.72,52,18,180
ALL,True,0.25,30,170,737,139,61,537,0,0,18.86,8.28,72.86,0.00,0.00,29,0.950000000000,0.880000000000,1.040000000000,0.900000000000,90,64.75,53,37,240
ALL,True,0.50,5,170,737,163,127,268,177,2,22.12,17.23,36.36,24.02,0.27,10,0.370000000000,0.380000000000,0.550000000000,0.410000000000,31,19.02,31,0,120
ALL,True,0.50,15,170,737,216,193,269,53,6,29.31,26.19,36.50,7.19,0.81,20,0.660000000000,0.700000000000,0.795000000000,0.730000000000,74,34.26,58,16,180
ALL,True,0.50,30,170,737,230,211,269,21,6,31.21,28.63,36.50,2.85,0.81,29,0.950000000000,0.880000000000,1.040000000000,0.900000000000,117,50.87,61,56,300
ALL,True,1.00,5,170,737,91,70,69,504,3,12.35,9.50,9.36,68.39,0.41,10,0.370000000000,0.380000000000,0.550000000000,0.410000000000,10,10.99,10,0,120
ALL,True,1.00,15,170,737,220,208,69,230,10,29.85,28.22,9.36,31.21,1.36,20,0.660000000000,0.700000000000,0.795000000000,0.730000000000,51,23.18,26,25,300
ALL,True,1.00,30,170,737,265,268,69,124,11,35.96,36.36,9.36,16.82,1.49,29,0.950000000000,0.880000000000,1.040000000000,0.900000000000,87,32.83,31,56,420
ALL,False,0.25,5,168,5633,1164,583,3498,384,4,20.66,10.35,62.10,6.82,0.07,114,0.330000000000,0.310000000000,0.470000000000,0.325000000000,315,27.06,315,0,120
