upper_family,lower_family,distance,horizon,upper_episodes,lower_episodes,upper_rejection_first_pct,lower_rejection_first_pct,upper_minus_lower_rejection_pp
PDH,PDL,0.25,5,233,213,17.17,23.94,-6.77
PDH,PDL,0.25,15,233,213,21.46,24.88,-3.42
PDH,PDL,0.25,30,233,213,22.32,25.35,-3.03
PDH,PDL,0.50,5,233,213,20.17,21.60,-1.43
PDH,PDL,0.50,15,233,213,25.75,32.86,-7.11
PDH,PDL,0.50,30,233,213,31.76,35.21,-3.45
PDH,PDL,1.00,5,233,213,6.01,10.80,-4.79
PDH,PDL,1.00,15,233,213,18.03,23.94,-5.91
PDH,PDL,1.00,30,233,213,28.33,33.33,-5.00
PMH,PML,0.25,5,3,8,33.33,25.00,8.33
PMH,PML,0.25,15,3,8,33.33,25.00,8.33
PMH,PML,0.25,30,3,8,33.33,25.00,8.33
PMH,PML,0.50,5,3,8,66.67,0.00,66.67
PMH,PML,0.50,15,3,8,66.67,12.50,54.17
PMH,PML,0.50,30,3,8,66.67,25.00,41.67
PMH,PML,1.00,5,3,8,33.33,25.00,8.33
PMH,PML,1.00,15,3,8,66.67,25.00,41.67
PMH,PML,1.00,30,3,8,100.00,37.50,62.50
ORH5,ORL5,0.25,5,439,422,19.36,22.27,-2.91
ORH5,ORL5,0.25,15,439,422,22.78,24.41,-1.63
ORH5,ORL5,0.25,30,439,422,23.01,24.64,-1.63
ORH5,ORL5,0.50,5,439,422,21.41,23.70,-2.29
ORH5,ORL5,0.50,15,439,422,33.03,35.31,-2.28
ORH5,ORL5,0.50,30,439,422,35.54,37.91,-2.37
ORH5,ORL5,1.00,5,439,422,9.34,9.00,0.34
ORH5,ORL5,1.00,15,439,422,23.69,27.49,-3.80
ORH5,ORL5,1.00,30,439,422,35.08,34.12,0.96
PWH,PWL,0.25,5,104,90,19.23,15.56,3.67
PWH,PWL,0.25,15,104,90,27.88,17.78,10.10
PWH,PWL,0.25,30,104,90,27.88,17.78,10.10
PWH,PWL,0.50,5,104,90,16.35,20.00,-3.65
PWH,PWL,0.50,15,104,90,26.92,32.22,-5.30
PWH,PWL,0.50,30,104,90,32.69,33.33,-0.64
PWH,PWL,1.00,5,104,90,2.88,10.00,-7.12
PWH,PWL,1.00,15,104,90,13.46,34.44,-20.98
PWH,PWL,1.00,30,104,90,22.12,38.89,-16.77
1H_HIGH,1H_LOW,0.25,5,2298,2560,21.76,18.67,3.09
1H_HIGH,1H_LOW,0.25,15,2298,2560,25.89,20.43,5.46
1H_HIGH,1H_LOW,0.25,30,2298,2560,26.37,20.62,5.75
1H_HIGH,1H_LOW,0.50,5,2298,2560,19.28,21.84,-2.56
1H_HIGH,1H_LOW,0.50,15,2298,2560,31.11,31.02,0.09
1H_HIGH,1H_LOW,0.50,30,2298,2560,34.68,34.10,0.58
1H_HIGH,1H_LOW,1.00,5,2298,2560,8.75,9.96,-1.21
1H_HIGH,1H_LOW,1.00,15,2298,2560,23.24,26.09,-2.85
1H_HIGH,1H_LOW,1.00,30,2298,2560,32.46,35.51,-3.05
