family,distance,horizon,touch_minutes,touch_runs,episodes,levels_touched,sessions_touched,available_level_instances,available_sessions,available_level_minutes,unavailable_sessions,censored,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct
PDH,0.25,5,1461,618,233,86,86,170,170,66300,0,2,40,25,142,25,1,17.17,10.73,60.94,10.73,0.43
PDH,0.25,15,1461,618,233,86,86,170,170,66300,0,9,50,36,142,4,1,21.46,15.45,60.94,1.72,0.43
PDH,0.25,30,1461,618,233,86,86,170,170,66300,0,14,52,37,142,1,1,22.32,15.88,60.94,0.43,0.43
PDH,0.50,5,1461,618,233,86,86,170,170,66300,0,2,47,36,65,83,2,20.17,15.45,27.90,35.62,0.86
PDH,0.50,15,1461,618,233,86,86,170,170,66300,0,9,60,68,65,36,4,25.75,29.18,27.90,15.45,1.72
PDH,0.50,30,1461,618,233,86,86,170,170,66300,0,14,74,76,65,14,4,31.76,32.62,27.90,6.01,1.72
PDH,1.00,5,1461,618,233,86,86,170,170,66300,0,2,14,17,19,181,2,6.01,7.30,8.15,77.68,0.86
PDH,1.00,15,1461,618,233,86,86,170,170,66300,0,9,42,51,19,113,8,18.03,21.89,8.15,48.50,3.43
PDH,1.00,30,1461,618,233,86,86,170,170,66300,0,14,66,74,19,65,9,28.33,31.76,8.15,27.90,3.86
PDL,0.25,5,1385,605,213,66,66,170,170,66300,0,2,51,26,131,5,0,23.94,12.21,61.50,2.35,0.00
PDL,0.25,15,1385,605,213,66,66,170,170,66300,0,10,53,28,131,1,0,24.88,13.15,61.50,0.47,0.00
PDL,0.25,30,1385,605,213,66,66,170,170,66300,0,14,54,28,131,0,0,25.35,13.15,61.50,0.00,0.00
PDL,0.50,5,1385,605,213,66,66,170,170,66300,0,2,46,53,61,53,0,21.60,24.88,28.64,24.88,0.00
PDL,0.50,15,1385,605,213,66,66,170,170,66300,0,10,70,66,61,15,1,32.86,30.99,28.64,7.04,0.47
PDL,0.50,30,1385,605,213,66,66,170,170,66300,0,14,75,72,61,4,1,35.21,33.80,28.64,1.88,0.47
PDL,1.00,5,1385,605,213,66,66,170,170,66300,0,2,23,21,14,155,0,10.80,9.86,6.57,72.77,0.00
PDL,1.00,15,1385,605,213,66,66,170,170,66300,0,10,51,51,14,89,8,23.94,23.94,6.57,41.78,3.76
PDL,1.00,30,1385,605,213,66,66,170,170,66300,0,14,71,77,14,43,8,33.33,36.15,6.57,20.19,3.76
PMH,0.25,5,18,8,3,2,2,4,4,1560,166,0,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00
PMH,0.25,15,18,8,3,2,2,4,4,1560,166,0,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00
PMH,0.25,30,18,8,3,2,2,4,4,1560,166,0,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00
PMH,0.50,5,18,8,3,2,2,4,4,1560,166,0,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00
PMH,0.50,15,18,8,3,2,2,4,4,1560,166,0,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00
PMH,0.50,30,18,8,3,2,2,4,4,1560,166,0,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00
PMH,1.00,5,18,8,3,2,2,4,4,1560,166,0,1,0,0,2,0,33.33,0.00,0.00,66.67,0.00
PMH,1.00,15,18,8,3,2,2,4,4,1560,166,0,2,0,0,1,0,66.67,0.00,0.00,33.33,0.00
PMH,1.00,30,18,8,3,2,2,4,4,1560,166,0,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00
PML,0.25,5,61,23,8,2,2,4,4,1560,166,0,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00
PML,0.25,15,61,23,8,2,2,4,4,1560,166,0,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00
PML,0.25,30,61,23,8,2,2,4,4,1560,166,1,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00
PML,0.50,5,61,23,8,2,2,4,4,1560,166,0,0,1,4,3,0,0.00,12.50,50.00,37.50,0.00
PML,0.50,15,61,23,8,2,2,4,4,1560,166,0,1,2,4,1,0,12.50,25.00,50.00,12.50,0.00
PML,0.50,30,61,23,8,2,2,4,4,1560,166,1,2,2,4,0,0,25.00,25.00,50.00,0.00,0.00
PML,1.00,5,61,23,8,2,2,4,4,1560,166,0,2,0,1,5,0,25.00,0.00,12.50,62.50,0.00
PML,1.00,15,61,23,8,2,2,4,4,1560,166,0,2,1,1,4,0,25.00,12.50,12.50,50.00,0.00
PML,1.00,30,61,23,8,2,2,4,4,1560,166,1,3,2,1,2,0,37.50,25.00,12.50,25.00,0.00
ORH5,0.25,5,3087,1318,439,154,154,170,170,65450,0,8,85,53,272,29,0,19.36,12.07,61.96,6.61,0.00
ORH5,0.25,15,3087,1318,439,154,154,170,170,65450,0,15,100,65,272,2,0,22.78,14.81,61.96,0.46,0.00
