family,history_complete,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,170,6370,1285,632,4035,414,4,20.17,9.92,63.34,6.50,0.06,124,0.330000000000,0.319900000000,0.480000000000,0.340000000000,354,27.55,354,0,120
ALL,True,0.25,15,170,6370,1472,817,4035,42,4,23.11,12.83,63.34,0.66,0.06,300,0.580000000000,0.570000000000,0.670000000000,0.580000000000,760,51.63,525,235,180
ALL,True,0.25,30,170,6370,1493,829,4035,9,4,23.44,13.01,63.34,0.14,0.06,479,0.790000000000,0.775000000000,0.850000000000,0.780000000000,966,64.70,540,426,300
ALL,True,0.50,5,170,6370,1326,1062,1838,2096,48,20.82,16.67,28.85,32.90,0.75,124,0.330000000000,0.319900000000,0.480000000000,0.340000000000,171,12.90,171,0,120
ALL,True,0.50,15,170,6370,1993,1779,1840,683,75,31.29,27.93,28.89,10.72,1.18,300,0.580000000000,0.570000000000,0.670000000000,0.580000000000,690,34.62,461,229,240
ALL,True,0.50,30,170,6370,2203,1991,1840,255,81,34.58,31.26,28.89,4.00,1.27,479,0.790000000000,0.775000000000,0.850000000000,0.780000000000,1065,48.34,497,568,360
ALL,True,1.00,5,170,6370,587,543,400,4747,93,9.22,8.52,6.28,74.52,1.46,124,0.330000000000,0.319900000000,0.480000000000,0.340000000000,30,5.11,30,0,120
ALL,True,1.00,15,170,6370,1564,1570,400,2630,206,24.55,24.65,6.28,41.29,3.23,300,0.580000000000,0.570000000000,0.670000000000,0.580000000000,290,18.54,166,124,300
ALL,True,1.00,30,170,6370,2154,2101,400,1461,254,33.81,32.98,6.28,22.94,3.99,479,0.790000000000,0.775000000000,0.850000000000,0.780000000000,593,27.53,203,390,420
ALL,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,True,0.25,5,86,233,40,25,142,25,1,17.17,10.73,60.94,10.73,0.43,2,0.270000000000,0.330000000000,0.440000000000,0.335000000000,12,30.00,12,0,120
PDH,True,0.25,15,86,233,50,36,142,4,1,21.46,15.45,60.94,1.72,0.43,9,0.415000000000,0.550000000000,0.535000000000,0.560000000000,24,48.00,16,8,180
PDH,True,0.25,30,86,233,52,37,142,1,1,22.32,15.88,60.94,0.43,0.43,14,0.620000000000,0.685000000000,0.655000000000,0.690000000000,28,53.85,17,11,180
PDH,True,0.50,5,86,233,47,36,65,83,2,20.17,15.45,27.90,35.62,0.86,2,0.270000000000,0.330000000000,0.440000000000,0.335000000000,8,17.02,8,0,90
PDH,True,0.50,15,86,233,60,68,65,36,4,25.75,29.18,27.90,15.45,1.72,9,0.415000000000,0.550000000000,0.535000000000,0.560000000000,20,33.33,15,5,180
PDH,True,0.50,30,86,233,74,76,65,14,4,31.76,32.62,27.90,6.01,1.72,14,0.620000000000,0.685000000000,0.655000000000,0.690000000000,29,39.19,16,13,300
PDH,True,1.00,5,86,233,14,17,19,181,2,6.01,7.30,8.15,77.68,0.86,2,0.270000000000,0.330000000000,0.440000000000,0.335000000000,2,14.29,2,0,90
PDH,True,1.00,15,86,233,42,51,19,113,8,18.03,21.89,8.15,48.50,3.43,9,0.415000000000,0.550000000000,0.535000000000,0.560000000000,10,23.81,6,4,270
PDH,True,1.00,30,86,233,66,74,19,65,9,28.33,31.76,8.15,27.90,3.86,14,0.620000000000,0.685000000000,0.655000000000,0.690000000000,14,21.21,8,6,300
PDH,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,True,0.25,5,66,213,51,26,131,5,0,23.94,12.21,61.50,2.35,0.00,2,0.340000000000,0.380000000000,0.485000000000,0.400000000000,12,23.53,12,0,60
PDL,True,0.25,15,66,213,53,28,131,1,0,24.88,13.15,61.50,0.47,0.00,10,0.575000000000,0.530000000000,0.709900000000,0.560000000000,32,60.38,19,13,240
PDL,True,0.25,30,66,213,54,28,131,0,0,25.35,13.15,61.50,0.00,0.00,14,0.810000000000,0.790000000000,0.870000000000,0.790000000000,38,70.37,19,19,330
