family,immediate_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,139,614,614,0,0,0,0,100.00,0.00,0.00,0.00,0.00,11,0.840000000000,0,0.900000000000,0.130000000000,223,36.32,223,0,120
ALL,True,0.25,15,139,614,614,0,0,0,0,100.00,0.00,0.00,0.00,0.00,37,1.192350000000,0.346500000000,1.265000000000,0.346500000000,354,57.65,253,101,180
ALL,True,0.25,30,139,614,614,0,0,0,0,100.00,0.00,0.00,0.00,0.00,46,1.437500000000,0.620000000000,1.460000000000,0.620000000000,404,65.80,253,151,240
ALL,True,0.50,5,77,189,189,0,0,0,0,100.00,0.00,0.00,0.00,0.00,6,1.270000000000,0,1.340000000000,0.130000000000,37,19.58,37,0,120
ALL,True,0.50,15,77,189,189,0,0,0,0,100.00,0.00,0.00,0.00,0.00,6,1.640000000000,0,1.690000000000,0.220000000000,74,39.15,42,32,270
ALL,True,0.50,30,77,189,189,0,0,0,0,100.00,0.00,0.00,0.00,0.00,9,1.910000000000,0.140000000000,2.025000000000,0.280000000000,91,48.15,42,49,360
ALL,True,1.00,5,28,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,2.070000000000,0,2.110000000000,0.100000000000,5,11.11,5,0,180
ALL,True,1.00,15,28,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,2.270000000000,0,2.410000000000,0.250000000000,16,35.56,6,10,360
ALL,True,1.00,30,28,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,2.740000000000,0,2.740000000000,0.438000000000,19,42.22,6,13,360
ALL,False,0.25,5,170,5756,671,632,4035,414,4,11.66,10.98,70.10,7.19,0.07,113,0.290000000000,0.340000000000,0.440000000000,0.358750000000,131,19.52,131,0,60
ALL,False,0.25,15,170,5756,858,817,4035,42,4,14.91,14.19,70.10,0.73,0.07,263,0.520000000000,0.590000000000,0.620000000000,0.600000000000,406,47.32,272,134,240
ALL,False,0.25,30,170,5756,879,829,4035,9,4,15.27,14.40,70.10,0.16,0.07,433,0.730000000000,0.780000000000,0.800000000000,0.800000000000,562,63.94,287,275,300
ALL,False,0.50,5,170,6181,1137,1062,1838,2096,48,18.40,17.18,29.74,33.91,0.78,118,0.320000000000,0.320000000000,0.465000000000,0.340000000000,134,11.79,134,0,60
ALL,False,0.50,15,170,6181,1804,1779,1840,683,75,29.19,28.78,29.77,11.05,1.21,294,0.551000000000,0.580000000000,0.650000000000,0.590000000000,616,34.15,419,197,240
ALL,False,0.50,30,170,6181,2014,1991,1840,255,81,32.58,32.21,29.77,4.13,1.31,470,0.760000000000,0.780000000000,0.820000000000,0.790000000000,974,48.36,455,519,360
ALL,False,1.00,5,170,6325,542,543,400,4747,93,8.57,8.58,6.32,75.05,1.47,120,0.330000000000,0.320000000000,0.480000000000,0.340000000000,25,4.61,25,0,120
ALL,False,1.00,15,170,6325,1519,1570,400,2630,206,24.02,24.82,6.32,41.58,3.26,296,0.570000000000,0.570000000000,0.660000000000,0.580000000000,274,18.04,160,114,300
ALL,False,1.00,30,170,6325,2109,2101,400,1461,254,33.34,33.22,6.32,23.10,4.02,475,0.780000000000,0.775000000000,0.840000000000,0.780000000000,574,27.22,197,377,450
PDH,True,0.25,5,16,17,17,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.830000000000,0,0.830000000000,0.180000000000,7,41.18,7,0,120
