family,rejection_path,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,IMMEDIATE_SINGLE_TOUCH,0.25,5,139,614,614,0,0,0,0,100.00,0.00,0.00,0.00,0.00,11,0.840000000000,0,0.900000000000,0.130000000000,223,36.32,223,0,120
ALL,IMMEDIATE_SINGLE_TOUCH,0.25,15,139,614,614,0,0,0,0,100.00,0.00,0.00,0.00,0.00,37,1.192350000000,0.346500000000,1.265000000000,0.346500000000,354,57.65,253,101,180
ALL,IMMEDIATE_SINGLE_TOUCH,0.25,30,139,614,614,0,0,0,0,100.00,0.00,0.00,0.00,0.00,46,1.437500000000,0.620000000000,1.460000000000,0.620000000000,404,65.80,253,151,240
ALL,IMMEDIATE_SINGLE_TOUCH,0.50,5,77,189,189,0,0,0,0,100.00,0.00,0.00,0.00,0.00,6,1.270000000000,0,1.340000000000,0.130000000000,37,19.58,37,0,120
ALL,IMMEDIATE_SINGLE_TOUCH,0.50,15,77,189,189,0,0,0,0,100.00,0.00,0.00,0.00,0.00,6,1.640000000000,0,1.690000000000,0.220000000000,74,39.15,42,32,270
ALL,IMMEDIATE_SINGLE_TOUCH,0.50,30,77,189,189,0,0,0,0,100.00,0.00,0.00,0.00,0.00,9,1.910000000000,0.140000000000,2.025000000000,0.280000000000,91,48.15,42,49,360
ALL,IMMEDIATE_SINGLE_TOUCH,1.00,5,28,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,2.070000000000,0,2.110000000000,0.100000000000,5,11.11,5,0,180
ALL,IMMEDIATE_SINGLE_TOUCH,1.00,15,28,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,2.270000000000,0,2.410000000000,0.250000000000,16,35.56,6,10,360
ALL,IMMEDIATE_SINGLE_TOUCH,1.00,30,28,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,2.740000000000,0,2.740000000000,0.438000000000,19,42.22,6,13,360
ALL,SINGLE_TOUCH_LATER,0.25,5,149,653,653,0,0,0,0,100.00,0.00,0.00,0.00,0.00,10,0.430000000000,0.079900000000,0.430000000000,0.110000000000,128,19.60,128,0,60
ALL,SINGLE_TOUCH_LATER,0.25,15,151,762,762,0,0,0,0,100.00,0.00,0.00,0.00,0.00,26,0.582550000000,0.175000000000,0.582550000000,0.190000000000,383,50.26,254,129,240
