family,month,validated_sessions,partial_month,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,2026-01,20,False,0.25,5,20,760,174,96,426,61,3,22.89,12.63,56.05,8.03,0.39,12,0.300000000000,0.280000000000,0.430000000000,0.290000000000,39,22.41,39,0,60
ALL,2026-01,20,False,0.25,15,20,760,204,122,426,5,3,26.84,16.05,56.05,0.66,0.39,27,0.530000000000,0.490000000000,0.605000000000,0.500000000000,97,47.55,60,37,240
ALL,2026-01,20,False,0.25,30,20,760,205,123,426,3,3,26.97,16.18,56.05,0.39,0.39,51,0.710000000000,0.622500000000,0.762500000000,0.622500000000,131,63.90,61,70,360
ALL,2026-01,20,False,0.50,5,20,760,170,144,146,292,8,22.37,18.95,19.21,38.42,1.05,12,0.300000000000,0.280000000000,0.430000000000,0.290000000000,18,10.59,18,0,60
ALL,2026-01,20,False,0.50,15,20,760,263,237,146,103,11,34.61,31.18,19.21,13.55,1.45,27,0.530000000000,0.490000000000,0.605000000000,0.500000000000,80,30.42,42,38,300
ALL,2026-01,20,False,0.50,30,20,760,297,260,146,45,12,39.08,34.21,19.21,5.92,1.58,51,0.710000000000,0.622500000000,0.762500000000,0.622500000000,139,46.80,45,94,480
ALL,2026-01,20,False,1.00,5,20,760,64,47,16,621,12,8.42,6.18,2.11,81.71,1.58,12,0.300000000000,0.280000000000,0.430000000000,0.290000000000,2,3.12,2,0,150
ALL,2026-01,20,False,1.00,15,20,760,173,169,16,379,23,22.76,22.24,2.11,49.87,3.03,27,0.530000000000,0.490000000000,0.605000000000,0.500000000000,21,12.14,9,12,420
ALL,2026-01,20,False,1.00,30,20,760,255,219,16,241,29,33.55,28.82,2.11,31.71,3.82,51,0.710000000000,0.622500000000,0.762500000000,0.622500000000,56,21.96,15,41,540
ALL,2026-02,19,False,0.25,5,19,1345,258,103,942,42,0,19.18,7.66,70.04,3.12,0.00,19,0.380000000000,0.370000000000,0.530000000000,0.390000000000,80,31.01,80,0,120
ALL,2026-02,19,False,0.25,15,19,1345,276,125,942,2,0,20.52,9.29,70.04,0.15,0.00,60,0.644250000000,0.650000000000,0.730000000000,0.652500000000,153,55.43,106,47,180
ALL,2026-02,19,False,0.25,30,19,1345,276,126,942,1,0,20.52,9.37,70.04,0.07,0.00,91,0.870000000000,0.880000000000,0.940000000000,0.880000000000,183,66.30,109,74,300
ALL,2026-02,19,False,0.50,5,19,1345,304,257,438,339,7,22.60,19.11,32.57,25.20,0.52,19,0.380000000000,0.370000000000,0.530000000000,0.390000000000,46,15.13,46,0,90
ALL,2026-02,19,False,0.50,15,19,1345,415,377,438,103,12,30.86,28.03,32.57,7.66,0.89,60,0.644250000000,0.650000000000,0.730000000000,0.652500000000,147,35.42,100,47,240
ALL,2026-02,19,False,0.50,30,19,1345,457,412,438,25,13,33.98,30.63,32.57,1.86,0.97,91,0.870000000000,0.880000000000,0.940000000000,0.880000000000,232,50.77,109,123,360
ALL,2026-02,19,False,1.00,5,19,1345,161,138,89,940,17,11.97,10.26,6.62,69.89,1.26,19,0.380000000000,0.370000000000,0.530000000000,0.390000000000,11,6.83,11,0,60
ALL,2026-02,19,False,1.00,15,19,1345,365,380,89,476,35,27.14,28.25,6.62,35.39,2.60,60,0.644250000000,0.650000000000,0.730000000000,0.652500000000,81,22.19,51,30,300
ALL,2026-02,19,False,1.00,30,19,1345,467,490,89,255,44,34.72,36.43,6.62,18.96,3.27,91,0.870000000000,0.880000000000,0.940000000000,0.880000000000,149,31.91,58,91,420
ALL,2026-03,22,False,0.25,5,22,843,134,74,610,25,0,15.90,8.78,72.36,2.97,0.00,10,0.380000000000,0.390000000000,0.540000000000,0.400000000000,42,31.34,42,0,120
ALL,2026-03,22,False,0.25,15,22,843,143,90,610,0,0,16.96,10.68,72.36,0.00,0.00,31,0.717500000000,0.660000000000,0.800000000000,0.680000000000,76,53.15,58,18,180
ALL,2026-03,22,False,0.25,30,22,843,143,90,610,0,0,16.96,10.68,72.36,0.00,0.00,55,1.020000000000,0.900000000000,1.040000000000,0.908000000000,100,69.93,59,41,240
ALL,2026-03,22,False,0.50,5,22,843,188,161,295,195,4,22.30,19.10,34.99,23.13,0.47,10,0.380000000000,0.390000000000,0.540000000000,0.400000000000,30,15.96,30,0,90
ALL,2026-03,22,False,0.50,15,22,843,273,236,295,33,6,32.38,28.00,34.99,3.91,0.71,31,0.717500000000,0.660000000000,0.800000000000,0.680000000000,92,33.70,68,24,180
ALL,2026-03,22,False,0.50,30,22,843,287,244,295,11,6,34.05,28.94,34.99,1.30,0.71,55,1.020000000000,0.900000000000,1.040000000000,0.908000000000,146,50.87,73,73,330
ALL,2026-03,22,False,1.00,5,22,843,92,81,68,592,10,10.91,9.61,8.07,70.23,1.19,10,0.380000000000,0.390000000000,0.540000000000,0.400000000000,6,6.52,6,0,120
ALL,2026-03,22,False,1.00,15,22,843,259,235,68,254,27,30.72,27.88,8.07,30.13,3.20,31,0.717500000000,0.660000000000,0.800000000000,0.680000000000,47,18.15,31,16,240
ALL,2026-03,22,False,1.00,30,22,843,338,297,68,109,31,40.09,35.23,8.07,12.93,3.68,55,1.020000000000,0.900000000000,1.040000000000,0.908000000000,106,31.36,39,67,420
ALL,2026-04,21,False,0.25,5,21,615,128,77,355,54,1,20.81,12.52,57.72,8.78,0.16,11,0.310000000000,0.260000000000,0.420000000000,0.290000000000,31,24.22,31,0,120
ALL,2026-04,21,False,0.25,15,21,615,152,101,355,6,1,24.72,16.42,57.72,0.98,0.16,30,0.510000000000,0.480000000000,0.625000000000,0.490000000000,66,43.42,46,20,180
ALL,2026-04,21,False,0.25,30,21,615,155,103,355,1,1,25.20,16.75,57.72,0.16,0.16,54,0.740000000000,0.700000000000,0.810000000000,0.710000000000,90,58.06,48,42,300
ALL,2026-04,21,False,0.50,5,21,615,101,71,168,267,8,16.42,11.54,27.32,43.41,1.30,11,0.310000000000,0.260000000000,0.420000000000,0.290000000000,7,6.93,7,0,180
