family,multiple_breach_episodes,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,0-1,0.25,5,170,1022,192,80,709,41,0,18.79,7.83,69.37,4.01,0.00,14,0.360000000000,0.380000000000,0.540000000000,0.400000000000,59,30.73,59,0,120
ALL,0-1,0.25,15,170,1022,212,98,709,3,0,20.74,9.59,69.37,0.29,0.00,28,0.640000000000,0.650000000000,0.768500000000,0.675000000000,107,50.47,79,28,180
ALL,0-1,0.25,30,170,1022,213,100,709,0,0,20.84,9.78,69.37,0.00,0.00,39,0.920000000000,0.835000000000,1.000000000000,0.856200000000,137,64.32,80,57,240
ALL,0-1,0.50,5,170,1022,222,172,357,269,2,21.72,16.83,34.93,26.32,0.20,14,0.360000000000,0.380000000000,0.540000000000,0.400000000000,38,17.12,38,0,120
ALL,0-1,0.50,15,170,1022,307,272,358,79,6,30.04,26.61,35.03,7.73,0.59,28,0.640000000000,0.650000000000,0.768500000000,0.675000000000,97,31.60,76,21,180
ALL,0-1,0.50,30,170,1022,327,300,358,31,6,32.00,29.35,35.03,3.03,0.59,39,0.920000000000,0.835000000000,1.000000000000,0.856200000000,159,48.62,82,77,300
ALL,0-1,1.00,5,170,1022,118,99,83,717,5,11.55,9.69,8.12,70.16,0.49,14,0.360000000000,0.380000000000,0.540000000000,0.400000000000,11,9.32,11,0,120
ALL,0-1,1.00,15,170,1022,303,276,83,345,15,29.65,27.01,8.12,33.76,1.47,28,0.640000000000,0.650000000000,0.768500000000,0.675000000000,60,19.80,31,29,300
ALL,0-1,1.00,30,170,1022,376,358,83,189,16,36.79,35.03,8.12,18.49,1.57,39,0.920000000000,0.835000000000,1.000000000000,0.856200000000,116,30.85,38,78,420
ALL,2+,0.25,5,166,5348,1093,552,3326,373,4,20.44,10.32,62.19,6.97,0.07,110,0.330000000000,0.305000000000,0.470000000000,0.320000000000,295,26.99,295,0,120
ALL,2+,0.25,15,166,5348,1260,719,3326,39,4,23.56,13.44,62.19,0.73,0.07,272,0.560000000000,0.560000000000,0.650000000000,0.570000000000,653,51.83,446,207,180
ALL,2+,0.25,30,166,5348,1280,729,3326,9,4,23.93,13.63,62.19,0.17,0.07,440,0.770000000000,0.760000000000,0.830000000000,0.767250000000,829,64.77,460,369,300
ALL,2+,0.50,5,166,5348,1104,890,1481,1827,46,20.64,16.64,27.69,34.16,0.86,110,0.330000000000,0.305000000000,0.470000000000,0.320000000000,133,12.05,133,0,120
ALL,2+,0.50,15,166,5348,1686,1507,1482,604,69,31.53,28.18,27.71,11.29,1.29,272,0.560000000000,0.560000000000,0.650000000000,0.570000000000,593,35.17,385,208,240
ALL,2+,0.50,30,166,5348,1876,1691,1482,224,75,35.08,31.62,27.71,4.19,1.40,440,0.770000000000,0.760000000000,0.830000000000,0.767250000000,906,48.29,415,491,360
