family,approach_role,distance,horizon,episodes,valid_next_level,no_next_level,unknown_direction,next_distance_min,next_distance_median,next_distance_max,snapshot_REACHED_FIRST,snapshot_INVALIDATED_FIRST,snapshot_AMBIGUOUS,snapshot_CENSORED,snapshot_UNRESOLVED,relative_AMBIGUOUS,relative_INVALIDATED_BEFORE_REACH,relative_NOT_REACHED_WITHIN_HORIZON,relative_NO_CONFIRMED_REJECTION,relative_NO_NEXT_LEVEL,relative_REACHED_AFTER_RECOGNITION,relative_REACHED_BEFORE_RECOGNITION,relative_SAME_MINUTE_AS_RECOGNITION_AMBIGUOUS,relative_UNKNOWN_DIRECTION
1H_HIGH,RESISTANCE_APPROACH,0.25,5,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,2,8,128,1789,14,40,91,225,1
1H_HIGH,RESISTANCE_APPROACH,0.25,15,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,2,26,127,1695,14,64,127,242,1
1H_HIGH,RESISTANCE_APPROACH,0.25,30,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,3,51,107,1684,14,65,131,242,1
1H_HIGH,RESISTANCE_APPROACH,0.50,5,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,,6,78,1844,14,30,206,119,1
1H_HIGH,RESISTANCE_APPROACH,0.50,15,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,,25,114,1575,14,53,360,156,1
1H_HIGH,RESISTANCE_APPROACH,0.50,30,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,1,56,102,1493,14,55,413,163,1
1H_HIGH,RESISTANCE_APPROACH,1.00,5,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,,1,7,2082,14,3,139,51,1
1H_HIGH,RESISTANCE_APPROACH,1.00,15,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,,7,17,1751,14,11,410,87,1
1H_HIGH,RESISTANCE_APPROACH,1.00,30,2298,2283,14,1,0.005000000000,0.300000000000,6.410000000000,179,852,1235,9,8,1,14,34,1542,14,11,581,100,1
1H_LOW,SUPPORT_APPROACH,0.25,5,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,,9,106,2078,3,40,99,224,1
1H_LOW,SUPPORT_APPROACH,0.25,15,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,,28,86,2033,3,54,126,229,1
1H_LOW,SUPPORT_APPROACH,0.25,30,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,,41,66,2028,3,62,129,230,1
1H_LOW,SUPPORT_APPROACH,0.50,5,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,1,9,79,1998,3,25,294,150,1
1H_LOW,SUPPORT_APPROACH,0.50,15,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,1,30,88,1763,3,48,450,176,1
1H_LOW,SUPPORT_APPROACH,0.50,30,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,1,56,73,1684,3,57,502,183,1
1H_LOW,SUPPORT_APPROACH,1.00,5,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,,1,26,2301,3,4,179,45,1
1H_LOW,SUPPORT_APPROACH,1.00,15,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,,11,40,1889,3,15,533,68,1
1H_LOW,SUPPORT_APPROACH,1.00,30,2560,2556,3,1,0.000100000000,0.260000000000,6.940000000000,198,814,1535,3,6,,25,39,1648,3,25,735,84,1
ORH5,RESISTANCE_APPROACH,0.25,5,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,1,41,342,13,4,15,21,2
ORH5,RESISTANCE_APPROACH,0.25,15,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,5,42,327,13,11,17,22,2
ORH5,RESISTANCE_APPROACH,0.25,30,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,14,34,326,13,11,17,22,2
ORH5,RESISTANCE_APPROACH,0.50,5,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,4,31,334,13,8,34,13,2
ORH5,RESISTANCE_APPROACH,0.50,15,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,13,38,285,13,15,54,19,2
ORH5,RESISTANCE_APPROACH,0.50,30,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,22,30,274,13,17,58,23,2
ORH5,RESISTANCE_APPROACH,1.00,5,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,,3,383,13,1,25,12,2
ORH5,RESISTANCE_APPROACH,1.00,15,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,4,13,324,13,2,57,24,2
ORH5,RESISTANCE_APPROACH,1.00,30,439,424,13,2,0.010000000000,0.600000000000,6.060000000000,31,243,146,1,3,,8,20,275,13,4,85,32,2
ORL5,SUPPORT_APPROACH,0.25,5,422,418,4,0,0.010000000000,0.615000000000,8.657600000000,45,221,147,0,5,,1,42,324,4,9,8,34,
ORL5,SUPPORT_APPROACH,0.25,15,422,418,4,0,0.010000000000,0.615000000000,8.657600000000,45,221,147,0,5,,5,38,315,4,16,9,35,
ORL5,SUPPORT_APPROACH,0.25,30,422,418,4,0,0.010000000000,0.615000000000,8.657600000000,45,221,147,0,5,,8,35,314,4,17,9,35,
