family,observed_lifetime_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,170,737,121,49,537,30,0,16.42,6.65,72.86,4.07,0.00,10,0.370000000000,0.380000000000,0.550000000000,0.410000000000,39,32.23,39,0,120
ALL,1,0.25,15,170,737,138,59,537,3,0,18.72,8.01,72.86,0.41,0.00,20,0.660000000000,0.700000000000,0.795000000000,0.730000000000,70,50.72,52,18,180
ALL,1,0.25,30,170,737,139,61,537,0,0,18.86,8.28,72.86,0.00,0.00,29,0.950000000000,0.880000000000,1.040000000000,0.900000000000,90,64.75,53,37,240
ALL,1,0.50,5,170,737,163,127,268,177,2,22.12,17.23,36.36,24.02,0.27,10,0.370000000000,0.380000000000,0.550000000000,0.410000000000,31,19.02,31,0,120
ALL,1,0.50,15,170,737,216,193,269,53,6,29.31,26.19,36.50,7.19,0.81,20,0.660000000000,0.700000000000,0.795000000000,0.730000000000,74,34.26,58,16,180
ALL,1,0.50,30,170,737,230,211,269,21,6,31.21,28.63,36.50,2.85,0.81,29,0.950000000000,0.880000000000,1.040000000000,0.900000000000,117,50.87,61,56,300
ALL,1,1.00,5,170,737,91,70,69,504,3,12.35,9.50,9.36,68.39,0.41,10,0.370000000000,0.380000000000,0.550000000000,0.410000000000,10,10.99,10,0,120
ALL,1,1.00,15,170,737,220,208,69,230,10,29.85,28.22,9.36,31.21,1.36,20,0.660000000000,0.700000000000,0.795000000000,0.730000000000,51,23.18,26,25,300
ALL,1,1.00,30,170,737,265,268,69,124,11,35.96,36.36,9.36,16.82,1.49,29,0.950000000000,0.880000000000,1.040000000000,0.900000000000,87,32.83,31,56,420
ALL,2,0.25,5,52,68,17,8,42,1,0,25.00,11.76,61.76,1.47,0.00,1,0.357500000000,0.427500000000,0.535000000000,0.435000000000,5,29.41,5,0,60
ALL,2,0.25,15,52,68,18,8,42,0,0,26.47,11.76,61.76,0.00,0.00,2,0.715000000000,0.504850000000,0.780000000000,0.504850000000,9,50.00,5,4,120
ALL,2,0.25,30,52,68,18,8,42,0,0,26.47,11.76,61.76,0.00,0.00,3,1.000000000000,0.752500000000,1.000000000000,0.752500000000,11,61.11,5,6,360
ALL,2,0.50,5,52,68,11,11,24,22,0,16.18,16.18,35.29,32.35,0.00,1,0.357500000000,0.427500000000,0.535000000000,0.435000000000,0,0.00,0,0,
ALL,2,0.50,15,52,68,19,17,24,8,0,27.94,25.00,35.29,11.76,0.00,2,0.715000000000,0.504850000000,0.780000000000,0.504850000000,2,10.53,1,1,300
ALL,2,0.50,30,52,68,22,20,24,2,0,32.35,29.41,35.29,2.94,0.00,3,1.000000000000,0.752500000000,1.000000000000,0.752500000000,4,18.18,2,2,300
ALL,2,1.00,5,52,68,6,8,3,50,1,8.82,11.76,4.41,73.53,1.47,1,0.357500000000,0.427500000000,0.535000000000,0.435000000000,0,0.00,0,0,
ALL,2,1.00,15,52,68,21,17,3,26,1,30.88,25.00,4.41,38.24,1.47,2,0.715000000000,0.504850000000,0.780000000000,0.504850000000,3,14.29,2,1,180
ALL,2,1.00,30,52,68,30,21,3,13,1,44.12,30.88,4.41,19.12,1.47,3,1.000000000000,0.752500000000,1.000000000000,0.752500000000,5,16.67,2,3,480
ALL,3-5,0.25,5,95,185,49,18,111,7,0,26.49,9.73,60.00,3.78,0.00,5,0.300000000000,0.330000000000,0.420000000000,0.340000000000,16,32.65,16,0,60
ALL,3-5,0.25,15,95,185,52,19,111,3,0,28.11,10.27,60.00,1.62,0.00,8,0.600000000000,0.525000000000,0.640000000000,0.560000000000,24,46.15,18,6,120
ALL,3-5,0.25,30,95,185,52,22,111,0,0,28.11,11.89,60.00,0.00,0.00,9,0.800000000000,0.710000000000,0.812500000000,0.715000000000,32,61.54,18,14,180
ALL,3-5,0.50,5,95,185,33,32,48,69,3,17.84,17.30,25.95,37.30,1.62,5,0.300000000000,0.330000000000,0.420000000000,0.340000000000,6,18.18,6,0,90
ALL,3-5,0.50,15,95,185,57,57,48,19,4,30.81,30.81,25.95,10.27,2.16,8,0.600000000000,0.525000000000,0.640000000000,0.560000000000,11,19.30,9,2,180
ALL,3-5,0.50,30,95,185,63,62,48,8,4,34.05,33.51,25.95,4.32,2.16,9,0.800000000000,0.710000000000,0.812500000000,0.715000000000,26,41.27,13,13,360
ALL,3-5,1.00,5,95,185,16,15,10,140,4,8.65,8.11,5.41,75.68,2.16,5,0.300000000000,0.330000000000,0.420000000000,0.340000000000,1,6.25,1,0,60
ALL,3-5,1.00,15,95,185,43,35,10,90,7,23.24,18.92,5.41,48.65,3.78,8,0.600000000000,0.525000000000,0.640000000000,0.560000000000,5,11.63,3,2,180
ALL,3-5,1.00,30,95,185,62,50,10,56,7,33.51,27.03,5.41,30.27,3.78,9,0.800000000000,0.710000000000,0.812500000000,0.715000000000,16,25.81,5,11,450
ALL,6-10,0.25,5,130,307,61,28,198,20,0,19.87,9.12,64.50,6.51,0.00,4,0.380000000000,0.290000000000,0.500000000000,0.310000000000,8,13.11,8,0,60
ALL,6-10,0.25,15,130,307,70,39,198,0,0,22.80,12.70,64.50,0.00,0.00,8,0.575000000000,0.575000000000,0.650000000000,0.590000000000,30,42.86,17,13,300
ALL,6-10,0.25,30,130,307,70,39,198,0,0,22.80,12.70,64.50,0.00,0.00,9,0.740000000000,0.770000000000,0.835000000000,0.799300000000,39,55.71,17,22,360
ALL,6-10,0.50,5,130,307,75,39,87,106,0,24.43,12.70,28.34,34.53,0.00,4,0.380000000000,0.290000000000,0.500000000000,0.310000000000,6,8.00,6,0,120
ALL,6-10,0.50,15,130,307,111,79,87,29,1,36.16,25.73,28.34,9.45,0.33,8,0.575000000000,0.575000000000,0.650000000000,0.590000000000,42,37.84,26,16,240
ALL,6-10,0.50,30,130,307,120,89,87,10,1,39.09,28.99,28.34,3.26,0.33,9,0.740000000000,0.770000000000,0.835000000000,0.799300000000,62,51.67,26,36,420
ALL,6-10,1.00,5,130,307,22,25,21,238,1,7.17,8.14,6.84,77.52,0.33,4,0.380000000000,0.290000000000,0.500000000000,0.310000000000,0,0.00,0,0,
ALL,6-10,1.00,15,130,307,72,73,21,136,5,23.45,23.78,6.84,44.30,1.63,8,0.575000000000,0.575000000000,0.650000000000,0.590000000000,13,18.06,7,6,300
ALL,6-10,1.00,30,130,307,100,102,21,79,5,32.57,33.22,6.84,25.73,1.63,9,0.740000000000,0.770000000000,0.835000000000,0.799300000000,34,34.00,10,24,480
ALL,11+,0.25,5,165,5073,1037,529,3147,356,4,20.44,10.43,62.03,7.02,0.08,104,0.330000000000,0.310000000000,0.470000000000,0.323600000000,286,27.58,286,0,120
ALL,11+,0.25,15,165,5073,1194,692,3147,36,4,23.54,13.64,62.03,0.71,0.08,262,0.560000000000,0.560000000000,0.650000000000,0.570000000000,627,52.51,433,194,180
ALL,11+,0.25,30,165,5073,1214,699,3147,9,4,23.93,13.78,62.03,0.18,0.08,429,0.770000000000,0.760000000000,0.830000000000,0.770000000000,794,65.40,447,347,300
ALL,11+,0.50,5,165,5073,1044,853,1411,1722,43,20.58,16.81,27.81,33.94,0.85,104,0.330000000000,0.310000000000,0.470000000000,0.323600000000,128,12.26,128,0,120
ALL,11+,0.50,15,165,5073,1590,1433,1412,574,64,31.34,28.25,27.83,11.31,1.26,262,0.560000000000,0.560000000000,0.650000000000,0.570000000000,561,35.28,367,194,240
ALL,11+,0.50,30,165,5073,1768,1609,1412,214,70,34.85,31.72,27.83,4.22,1.38,429,0.770000000000,0.760000000000,0.830000000000,0.770000000000,856,48.42,395,461,360
ALL,11+,1.00,5,165,5073,452,425,297,3815,84,8.91,8.38,5.85,75.20,1.66,104,0.330000000000,0.310000000000,0.470000000000,0.323600000000,19,4.20,19,0,120
ALL,11+,1.00,15,165,5073,1208,1237,297,2148,183,23.81,24.38,5.85,42.34,3.61,262,0.560000000000,0.560000000000,0.650000000000,0.570000000000,218,18.05,128,90,300
ALL,11+,1.00,30,165,5073,1697,1660,297,1189,230,33.45,32.72,5.85,23.44,4.53,429,0.770000000000,0.760000000000,0.830000000000,0.770000000000,451,26.58,155,296,480
PDH,1,0.25,5,86,86,11,9,62,4,0,12.79,10.47,72.09,4.65,0.00,0,0.302500000000,0.452500000000,0.540000000000,0.455000000000,5,45.45,5,0,120
PDH,1,0.25,15,86,86,14,10,62,0,0,16.28,11.63,72.09,0.00,0.00,1,0.515000000000,0.682500000000,0.659900000000,0.730000000000,6,42.86,5,1,150
PDH,1,0.25,30,86,86,14,10,62,0,0,16.28,11.63,72.09,0.00,0.00,1,0.675000000000,1.025000000000,0.922500000000,1.025000000000,8,57.14,5,3,180
PDH,1,0.50,5,86,86,16,12,36,22,0,18.60,13.95,41.86,25.58,0.00,0,0.302500000000,0.452500000000,0.540000000000,0.455000000000,2,12.50,2,0,150
PDH,1,0.50,15,86,86,18,23,36,8,1,20.93,26.74,41.86,9.30,1.16,1,0.515000000000,0.682500000000,0.659900000000,0.730000000000,5,27.78,3,2,300
PDH,1,0.50,30,86,86,22,25,36,2,1,25.58,29.07,41.86,2.33,1.16,1,0.675000000000,1.025000000000,0.922500000000,1.025000000000,8,36.36,4,4,330
PDH,1,1.00,5,86,86,6,7,11,62,0,6.98,8.14,12.79,72.09,0.00,0,0.302500000000,0.452500000000,0.540000000000,0.455000000000,1,16.67,1,0,120
PDH,1,1.00,15,86,86,21,22,11,31,1,24.42,25.58,12.79,36.05,1.16,1,0.515000000000,0.682500000000,0.659900000000,0.730000000000,6,28.57,3,3,300
PDH,1,1.00,30,86,86,27,33,11,14,1,31.40,38.37,12.79,16.28,1.16,1,0.675000000000,1.025000000000,0.922500000000,1.025000000000,8,29.63,4,4,330
PDH,2,0.25,5,6,6,2,0,4,0,0,33.33,0.00,66.67,0.00,0.00,0,0.333750000000,0.500000000000,0.447500000000,0.500000000000,1,50.00,1,0,60
PDH,2,0.25,15,6,6,2,0,4,0,0,33.33,0.00,66.67,0.00,0.00,0,0.890000000000,0.500000000000,0.890000000000,0.500000000000,2,100.00,1,1,210
PDH,2,0.25,30,6,6,2,0,4,0,0,33.33,0.00,66.67,0.00,0.00,0,1.260000000000,0.500000000000,1.260000000000,0.500000000000,2,100.00,1,1,210
PDH,2,0.50,5,6,6,1,2,1,2,0,16.67,33.33,16.67,33.33,0.00,0,0.333750000000,0.500000000000,0.447500000000,0.500000000000,0,0.00,0,0,
PDH,2,0.50,15,6,6,2,2,1,1,0,33.33,33.33,16.67,16.67,0.00,0,0.890000000000,0.500000000000,0.890000000000,0.500000000000,0,0.00,0,0,
PDH,2,0.50,30,6,6,2,2,1,1,0,33.33,33.33,16.67,16.67,0.00,0,1.260000000000,0.500000000000,1.260000000000,0.500000000000,0,0.00,0,0,
PDH,2,1.00,5,6,6,0,1,0,5,0,0.00,16.67,0.00,83.33,0.00,0,0.333750000000,0.500000000000,0.447500000000,0.500000000000,0,,0,0,
PDH,2,1.00,15,6,6,2,1,0,3,0,33.33,16.67,0.00,50.00,0.00,0,0.890000000000,0.500000000000,0.890000000000,0.500000000000,1,50.00,1,0,180
PDH,2,1.00,30,6,6,4,1,0,1,0,66.67,16.67,0.00,16.67,0.00,0,1.260000000000,0.500000000000,1.260000000000,0.500000000000,1,25.00,1,0,180
PDH,3-5,0.25,5,18,20,4,2,13,1,0,20.00,10.00,65.00,5.00,0.00,1,0.148550000000,0.372450000000,0.432500000000,0.372450000000,2,50.00,2,0,180
PDH,3-5,0.25,15,18,20,4,2,13,1,0,20.00,10.00,65.00,5.00,0.00,1,0.283050000000,0.695000000000,0.452500000000,0.695000000000,2,50.00,2,0,180
PDH,3-5,0.25,30,18,20,4,3,13,0,0,20.00,15.00,65.00,0.00,0.00,1,0.650000000000,0.767500000000,0.695000000000,0.767500000000,2,50.00,2,0,180
PDH,3-5,0.50,5,18,20,4,4,5,6,1,20.00,20.00,25.00,30.00,5.00,1,0.148550000000,0.372450000000,0.432500000000,0.372450000000,2,50.00,2,0,120
PDH,3-5,0.50,15,18,20,4,8,5,2,1,20.00,40.00,25.00,10.00,5.00,1,0.283050000000,0.695000000000,0.452500000000,0.695000000000,3,75.00,3,0,180
PDH,3-5,0.50,30,18,20,4,9,5,1,1,20.00,45.00,25.00,5.00,5.00,1,0.650000000000,0.767500000000,0.695000000000,0.767500000000,3,75.00,3,0,180
PDH,3-5,1.00,5,18,20,1,1,2,15,1,5.00,5.00,10.00,75.00,5.00,1,0.148550000000,0.372450000000,0.432500000000,0.372450000000,1,100.00,1,0,60
PDH,3-5,1.00,15,18,20,3,5,2,9,1,15.00,25.00,10.00,45.00,5.00,1,0.283050000000,0.695000000000,0.452500000000,0.695000000000,1,33.33,1,0,60
PDH,3-5,1.00,30,18,20,3,7,2,7,1,15.00,35.00,10.00,35.00,5.00,1,0.650000000000,0.767500000000,0.695000000000,0.767500000000,1,33.33,1,0,60
PDH,6-10,0.25,5,23,23,6,1,13,3,0,26.09,4.35,56.52,13.04,0.00,0,0.330000000000,0.299600000000,0.455000000000,0.299600000000,1,16.67,1,0,60
PDH,6-10,0.25,15,23,23,8,2,13,0,0,34.78,8.70,56.52,0.00,0.00,0,0.555000000000,0.500000000000,0.620000000000,0.500000000000,4,50.00,1,3,420
PDH,6-10,0.25,30,23,23,8,2,13,0,0,34.78,8.70,56.52,0.00,0.00,0,0.860000000000,0.680000000000,0.860000000000,0.680000000000,4,50.00,1,3,420
PDH,6-10,0.50,5,23,23,6,2,5,10,0,26.09,8.70,21.74,43.48,0.00,0,0.330000000000,0.299600000000,0.455000000000,0.299600000000,1,16.67,1,0,60
PDH,6-10,0.50,15,23,23,10,6,5,2,0,43.48,26.09,21.74,8.70,0.00,0,0.555000000000,0.500000000000,0.620000000000,0.500000000000,5,50.00,4,1,240
PDH,6-10,0.50,30,23,23,11,6,5,1,0,47.83,26.09,21.74,4.35,0.00,0,0.860000000000,0.680000000000,0.860000000000,0.680000000000,7,63.64,4,3,300
PDH,6-10,1.00,5,23,23,1,1,3,18,0,4.35,4.35,13.04,78.26,0.00,0,0.330000000000,0.299600000000,0.455000000000,0.299600000000,0,0.00,0,0,
PDH,6-10,1.00,15,23,23,2,4,3,14,0,8.70,17.39,13.04,60.87,0.00,0,0.555000000000,0.500000000000,0.620000000000,0.500000000000,1,50.00,0,1,660
PDH,6-10,1.00,30,23,23,5,6,3,9,0,21.74,26.09,13.04,39.13,0.00,0,0.860000000000,0.680000000000,0.860000000000,0.680000000000,3,60.00,1,2,360
PDH,11+,0.25,5,42,98,17,13,50,17,1,17.35,13.27,51.02,17.35,1.02,1,0.237500000000,0.192550000000,0.352500000000,0.220000000000,3,17.65,3,0,60
PDH,11+,0.25,15,42,98,22,22,50,3,1,22.45,22.45,51.02,3.06,1.02,7,0.350000000000,0.417500000000,0.455000000000,0.417500000000,10,45.45,7,3,180
PDH,11+,0.25,30,42,98,24,22,50,1,1,24.49,22.45,51.02,1.02,1.02,12,0.497500000000,0.540000000000,0.555000000000,0.540000000000,12,50.00,8,4,180
PDH,11+,0.50,5,42,98,20,16,18,43,1,20.41,16.33,18.37,43.88,1.02,1,0.237500000000,0.192550000000,0.352500000000,0.220000000000,3,15.00,3,0,60
PDH,11+,0.50,15,42,98,26,29,18,23,2,26.53,29.59,18.37,23.47,2.04,7,0.350000000000,0.417500000000,0.455000000000,0.417500000000,7,26.92,5,2,120
PDH,11+,0.50,30,42,98,35,34,18,9,2,35.71,34.69,18.37,9.18,2.04,12,0.497500000000,0.540000000000,0.555000000000,0.540000000000,11,31.43,5,6,420
PDH,11+,1.00,5,42,98,6,7,3,81,1,6.12,7.14,3.06,82.65,1.02,1,0.237500000000,0.192550000000,0.352500000000,0.220000000000,0,0.00,0,0,
PDH,11+,1.00,15,42,98,14,19,3,56,6,14.29,19.39,3.06,57.14,6.12,7,0.350000000000,0.417500000000,0.455000000000,0.417500000000,1,7.14,1,0,300
PDH,11+,1.00,30,42,98,27,27,3,34,7,27.55,27.55,3.06,34.69,7.14,12,0.497500000000,0.540000000000,0.555000000000,0.540000000000,1,3.70,1,0,300
PDL,1,0.25,5,66,66,10,1,55,0,0,15.15,1.52,83.33,0.00,0.00,0,0.454950000000,0.447600000000,0.770000000000,0.471200000000,3,30.00,3,0,60
PDL,1,0.25,15,66,66,10,1,55,0,0,15.15,1.52,83.33,0.00,0.00,0,1.007500000000,0.705000000000,1.040000000000,0.705000000000,6,60.00,5,1,150
PDL,1,0.25,30,66,66,10,1,55,0,0,15.15,1.52,83.33,0.00,0.00,1,1.372500000000,0.972500000000,1.372500000000,0.972500000000,8,80.00,5,3,270
PDL,1,0.50,5,66,66,18,13,30,5,0,27.27,19.70,45.45,7.58,0.00,0,0.454950000000,0.447600000000,0.770000000000,0.471200000000,3,16.67,3,0,180
PDL,1,0.50,15,66,66,21,13,30,2,0,31.82,19.70,45.45,3.03,0.00,0,1.007500000000,0.705000000000,1.040000000000,0.705000000000,3,14.29,3,0,180
PDL,1,0.50,30,66,66,22,13,30,1,0,33.33,19.70,45.45,1.52,0.00,1,1.372500000000,0.972500000000,1.372500000000,0.972500000000,10,45.45,4,6,660
PDL,1,1.00,5,66,66,11,9,8,38,0,16.67,13.64,12.12,57.58,0.00,0,0.454950000000,0.447600000000,0.770000000000,0.471200000000,2,18.18,2,0,150
PDL,1,1.00,15,66,66,25,22,8,11,0,37.88,33.33,12.12,16.67,0.00,0,1.007500000000,0.705000000000,1.040000000000,0.705000000000,5,20.00,4,1,180
PDL,1,1.00,30,66,66,26,26,8,6,0,39.39,39.39,12.12,9.09,0.00,1,1.372500000000,0.972500000000,1.372500000000,0.972500000000,10,38.46,4,6,360
PDL,2,0.25,5,7,7,1,2,4,0,0,14.29,28.57,57.14,0.00,0.00,0,0.360000000000,0.310000000000,0.560000000000,0.310000000000,0,0.00,0,0,
PDL,2,0.25,15,7,7,1,2,4,0,0,14.29,28.57,57.14,0.00,0.00,0,0.740000000000,0.480000000000,0.780000000000,0.480000000000,1,100.00,0,1,600
PDL,2,0.25,30,7,7,1,2,4,0,0,14.29,28.57,57.14,0.00,0.00,0,1.000000000000,1.260000000000,1.000000000000,1.260000000000,1,100.00,0,1,600
PDL,2,0.50,5,7,7,0,0,4,3,0,0.00,0.00,57.14,42.86,0.00,0,0.360000000000,0.310000000000,0.560000000000,0.310000000000,0,,0,0,
PDL,2,0.50,15,7,7,2,0,4,1,0,28.57,0.00,57.14,14.29,0.00,0,0.740000000000,0.480000000000,0.780000000000,0.480000000000,0,0.00,0,0,
PDL,2,0.50,30,7,7,2,1,4,0,0,28.57,14.29,57.14,0.00,0.00,0,1.000000000000,1.260000000000,1.000000000000,1.260000000000,0,0.00,0,0,
PDL,2,1.00,5,7,7,1,1,0,5,0,14.29,14.29,0.00,71.43,0.00,0,0.360000000000,0.310000000000,0.560000000000,0.310000000000,0,0.00,0,0,
PDL,2,1.00,15,7,7,2,2,0,3,0,28.57,28.57,0.00,42.86,0.00,0,0.740000000000,0.480000000000,0.780000000000,0.480000000000,1,50.00,0,1,480
PDL,2,1.00,30,7,7,3,3,0,1,0,42.86,42.86,0.00,14.29,0.00,0,1.000000000000,1.260000000000,1.000000000000,1.260000000000,1,33.33,0,1,480
PDL,3-5,0.25,5,14,14,4,3,7,0,0,28.57,21.43,50.00,0.00,0.00,0,0.245000000000,0.360000000000,0.322450000000,0.360000000000,2,50.00,2,0,90
PDL,3-5,0.25,15,14,14,4,3,7,0,0,28.57,21.43,50.00,0.00,0.00,1,0.682500000000,0.585000000000,0.682500000000,0.585000000000,3,75.00,2,1,120
PDL,3-5,0.25,30,14,14,4,3,7,0,0,28.57,21.43,50.00,0.00,0.00,1,0.775000000000,0.905000000000,0.775000000000,0.905000000000,4,100.00,2,2,270
PDL,3-5,0.50,5,14,14,2,5,2,5,0,14.29,35.71,14.29,35.71,0.00,0,0.245000000000,0.360000000000,0.322450000000,0.360000000000,0,0.00,0,0,
PDL,3-5,0.50,15,14,14,5,7,2,0,0,35.71,50.00,14.29,0.00,0.00,1,0.682500000000,0.585000000000,0.682500000000,0.585000000000,0,0.00,0,0,
PDL,3-5,0.50,30,14,14,5,7,2,0,0,35.71,50.00,14.29,0.00,0.00,1,0.775000000000,0.905000000000,0.775000000000,0.905000000000,2,40.00,1,1,570
PDL,3-5,1.00,5,14,14,3,0,0,11,0,21.43,0.00,0.00,78.57,0.00,0,0.245000000000,0.360000000000,0.322450000000,0.360000000000,0,0.00,0,0,
PDL,3-5,1.00,15,14,14,4,1,0,8,1,28.57,7.14,0.00,57.14,7.14,1,0.682500000000,0.585000000000,0.682500000000,0.585000000000,1,25.00,1,0,180
PDL,3-5,1.00,30,14,14,5,3,0,5,1,35.71,21.43,0.00,35.71,7.14,1,0.775000000000,0.905000000000,0.775000000000,0.905000000000,2,40.00,1,1,570
PDL,6-10,0.25,5,26,30,7,2,20,1,0,23.33,6.67,66.67,3.33,0.00,1,0.390000000000,0.230000000000,0.532500000000,0.230000000000,0,0.00,0,0,
PDL,6-10,0.25,15,26,30,8,2,20,0,0,26.67,6.67,66.67,0.00,0.00,3,0.520000000000,0.430000000000,0.620050000000,0.430000000000,3,37.50,2,1,240
