family,one_retest_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,16,18,18,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.367200000000,0.065000000000,0.367200000000,0.086950000000,3,16.67,3,0,60
ALL,True,0.25,15,49,84,84,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.425000000000,0.150000000000,0.425000000000,0.150000000000,21,25.00,16,5,180
ALL,True,0.25,30,49,90,90,0,0,0,0,100.00,0.00,0.00,0.00,0.00,3,0.579950000000,0.190000000000,0.579950000000,0.190000000000,51,56.67,19,32,540
ALL,True,0.50,5,34,43,43,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.650000000000,0.109700000000,0.650000000000,0.150000000000,3,6.98,3,0,60
ALL,True,0.50,15,107,236,236,0,0,0,0,100.00,0.00,0.00,0.00,0.00,7,0.750000000000,0.220000000000,0.750000000000,0.222500000000,57,24.15,38,19,240
ALL,True,0.50,30,117,310,310,0,0,0,0,100.00,0.00,0.00,0.00,0.00,19,0.967500000000,0.300000000000,0.967500000000,0.300000000000,142,45.81,54,88,420
ALL,True,1.00,5,13,15,15,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.320000000000,0.120000000000,1.320000000000,0.180000000000,1,6.67,1,0,60
ALL,True,1.00,15,89,226,226,0,0,0,0,100.00,0.00,0.00,0.00,0.00,6,1.429850000000,0.310000000000,1.429850000000,0.321800000000,24,10.62,18,6,240
ALL,True,1.00,30,126,457,457,0,0,0,0,100.00,0.00,0.00,0.00,0.00,16,1.510500000000,0.450000000000,1.510500000000,0.455000000000,95,20.79,37,58,420
ALL,False,0.25,5,170,6352,1267,632,4035,414,4,19.95,9.95,63.52,6.52,0.06,124,0.330000000000,0.320000000000,0.480000000000,0.340000000000,351,27.70,351,0,120
ALL,False,0.25,15,170,6286,1388,817,4035,42,4,22.08,13.00,64.19,0.67,0.06,300,0.581800000000,0.580000000000,0.670000000000,0.590000000000,739,53.24,509,230,180
ALL,False,0.25,30,170,6280,1403,829,4035,9,4,22.34,13.20,64.25,0.14,0.06,476,0.796500000000,0.780000000000,0.860000000000,0.795000000000,915,65.22,521,394,240
