distance,radius,total_reversal_records,confirmed_reversals,censored_or_unconfirmed,eligible_level_nearby,eligible_level_nearby_pct,multiple_level_identity_frequency,multiple_family_frequency
0.25,0,10632,10462,170,137,1.31,10,10
0.25,0.05,10632,10462,170,1817,17.37,271,213
0.25,0.10,10632,10462,170,3167,30.27,746,537
0.25,0.25,10632,10462,170,5814,55.57,2655,2024
0.50,0,5082,4912,170,66,1.34,7,7
0.50,0.05,5082,4912,170,832,16.94,128,97
0.50,0.10,5082,4912,170,1476,30.05,349,255
0.50,0.25,5082,4912,170,2734,55.66,1282,996
1.00,0,2044,1874,170,24,1.28,2,2
1.00,0.05,2044,1874,170,319,17.02,44,34
1.00,0.10,2044,1874,170,579,30.90,125,95
1.00,0.25,2044,1874,170,1062,56.67,481,364
