distance,radius,family,associated_reversals,confirmed_reversals,pct
0.25,0,PDH,5,10462,0.05
0.25,0,PDL,6,10462,0.06
0.25,0,PMH,0,10462,0.00
0.25,0,PML,0,10462,0.00
0.25,0,ORH5,9,10462,0.09
0.25,0,ORL5,10,10462,0.10
0.25,0,PWH,1,10462,0.01
0.25,0,PWL,3,10462,0.03
0.25,0,1H_HIGH,54,10462,0.52
0.25,0,1H_LOW,59,10462,0.56
0.25,0.05,PDH,62,10462,0.59
0.25,0.05,PDL,69,10462,0.66
0.25,0.05,PMH,2,10462,0.02
0.25,0.05,PML,3,10462,0.03
0.25,0.05,ORH5,152,10462,1.45
0.25,0.05,ORL5,145,10462,1.39
0.25,0.05,PWH,30,10462,0.29
0.25,0.05,PWL,35,10462,0.33
0.25,0.05,1H_HIGH,731,10462,6.99
0.25,0.05,1H_LOW,817,10462,7.81
0.25,0.10,PDH,112,10462,1.07
0.25,0.10,PDL,145,10462,1.39
0.25,0.10,PMH,3,10462,0.03
0.25,0.10,PML,5,10462,0.05
0.25,0.10,ORH5,299,10462,2.86
0.25,0.10,ORL5,285,10462,2.72
0.25,0.10,PWH,63,10462,0.60
0.25,0.10,PWL,62,10462,0.59
0.25,0.10,1H_HIGH,1320,10462,12.62
0.25,0.10,1H_LOW,1472,10462,14.07
0.25,0.25,PDH,300,10462,2.87
0.25,0.25,PDL,356,10462,3.40
0.25,0.25,PMH,8,10462,0.08
0.25,0.25,PML,14,10462,0.13
0.25,0.25,ORH5,722,10462,6.90
0.25,0.25,ORL5,676,10462,6.46
0.25,0.25,PWH,163,10462,1.56
0.25,0.25,PWL,138,10462,1.32
0.25,0.25,1H_HIGH,2801,10462,26.77
0.25,0.25,1H_LOW,3021,10462,28.88
0.50,0,PDH,2,4912,0.04
0.50,0,PDL,4,4912,0.08
0.50,0,PMH,0,4912,0.00
0.50,0,PML,0,4912,0.00
0.50,0,ORH5,3,4912,0.06
0.50,0,ORL5,6,4912,0.12
0.50,0,PWH,0,4912,0.00
0.50,0,PWL,2,4912,0.04
0.50,0,1H_HIGH,26,4912,0.53
0.50,0,1H_LOW,30,4912,0.61
0.50,0.05,PDH,33,4912,0.67
0.50,0.05,PDL,29,4912,0.59
0.50,0.05,PMH,2,4912,0.04
0.50,0.05,PML,2,4912,0.04
0.50,0.05,ORH5,59,4912,1.20
0.50,0.05,ORL5,59,4912,1.20
0.50,0.05,PWH,13,4912,0.26
0.50,0.05,PWL,19,4912,0.39
0.50,0.05,1H_HIGH,332,4912,6.76
0.50,0.05,1H_LOW,387,4912,7.88
0.50,0.10,PDH,60,4912,1.22
0.50,0.10,PDL,69,4912,1.40
0.50,0.10,PMH,3,4912,0.06
0.50,0.10,PML,3,4912,0.06
0.50,0.10,ORH5,119,4912,2.42
0.50,0.10,ORL5,135,4912,2.75
0.50,0.10,PWH,28,4912,0.57
0.50,0.10,PWL,38,4912,0.77
0.50,0.10,1H_HIGH,601,4912,12.24
0.50,0.10,1H_LOW,707,4912,14.39
0.50,0.25,PDH,152,4912,3.09
0.50,0.25,PDL,168,4912,3.42
0.50,0.25,PMH,5,4912,0.10
0.50,0.25,PML,8,4912,0.16
0.50,0.25,ORH5,296,4912,6.03
0.50,0.25,ORL5,314,4912,6.39
0.50,0.25,PWH,70,4912,1.43
0.50,0.25,PWL,82,4912,1.67
0.50,0.25,1H_HIGH,1318,4912,26.83
0.50,0.25,1H_LOW,1497,4912,30.48
1.00,0,PDH,1,1874,0.05
1.00,0,PDL,1,1874,0.05
1.00,0,PMH,0,1874,0.00
1.00,0,PML,0,1874,0.00
1.00,0,ORH5,1,1874,0.05
1.00,0,ORL5,1,1874,0.05
1.00,0,PWH,0,1874,0.00
1.00,0,PWL,1,1874,0.05
1.00,0,1H_HIGH,9,1874,0.48
1.00,0,1H_LOW,12,1874,0.64
1.00,0.05,PDH,14,1874,0.75
1.00,0.05,PDL,13,1874,0.69
1.00,0.05,PMH,1,1874,0.05
1.00,0.05,PML,0,1874,0.00
1.00,0.05,ORH5,23,1874,1.23
1.00,0.05,ORL5,16,1874,0.85
1.00,0.05,PWH,5,1874,0.27
1.00,0.05,PWL,9,1874,0.48
1.00,0.05,1H_HIGH,112,1874,5.98
1.00,0.05,1H_LOW,160,1874,8.54
1.00,0.10,PDH,27,1874,1.44
1.00,0.10,PDL,31,1874,1.65
1.00,0.10,PMH,1,1874,0.05
1.00,0.10,PML,0,1874,0.00
1.00,0.10,ORH5,40,1874,2.13
1.00,0.10,ORL5,55,1874,2.93
1.00,0.10,PWH,11,1874,0.59
1.00,0.10,PWL,17,1874,0.91
1.00,0.10,1H_HIGH,208,1874,11.10
1.00,0.10,1H_LOW,292,1874,15.58
1.00,0.25,PDH,58,1874,3.09
1.00,0.25,PDL,72,1874,3.84
1.00,0.25,PMH,1,1874,0.05
1.00,0.25,PML,2,1874,0.11
1.00,0.25,ORH5,101,1874,5.39
1.00,0.25,ORL5,113,1874,6.03
1.00,0.25,PWH,25,1874,1.33
1.00,0.25,PWL,34,1874,1.81
1.00,0.25,1H_HIGH,479,1874,25.56
1.00,0.25,1H_LOW,601,1874,32.07
