family,same_session_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,1,0.25,5,170,2362,429,147,1714,72,0,18.16,6.22,72.57,3.05,0.00,20,0.400000000000,0.400000000000,0.599350000000,0.425000000000,149,34.73,149,0,120
ALL,1,0.25,15,170,2362,463,177,1714,8,0,19.60,7.49,72.57,0.34,0.00,57,0.710000000000,0.750000000000,0.810000000000,0.760000000000,259,55.94,193,66,180
ALL,1,0.25,30,170,2362,466,180,1714,2,0,19.73,7.62,72.57,0.08,0.00,97,0.990000000000,1.000000000000,1.051350000000,1.010000000000,312,66.95,197,115,240
ALL,1,0.50,5,170,2362,512,395,952,499,4,21.68,16.72,40.30,21.13,0.17,20,0.400000000000,0.400000000000,0.599350000000,0.425000000000,87,16.99,87,0,120
ALL,1,0.50,15,170,2362,682,572,953,142,13,28.87,24.22,40.35,6.01,0.55,57,0.710000000000,0.750000000000,0.810000000000,0.760000000000,266,39.00,189,77,240
ALL,1,0.50,30,170,2362,720,621,953,55,13,30.48,26.29,40.35,2.33,0.55,97,0.990000000000,1.000000000000,1.051350000000,1.010000000000,377,52.36,197,180,300
ALL,1,1.00,5,170,2362,293,275,222,1563,9,12.40,11.64,9.40,66.17,0.38,20,0.400000000000,0.400000000000,0.599350000000,0.425000000000,17,5.80,17,0,120
ALL,1,1.00,15,170,2362,686,741,222,688,25,29.04,31.37,9.40,29.13,1.06,57,0.710000000000,0.750000000000,0.810000000000,0.760000000000,158,23.03,89,69,300
ALL,1,1.00,30,170,2362,855,915,222,343,27,36.20,38.74,9.40,14.52,1.14,97,0.990000000000,1.000000000000,1.051350000000,1.010000000000,258,30.18,100,158,420
ALL,2,0.25,5,77,143,38,17,83,5,0,26.57,11.89,58.04,3.50,0.00,1,0.357500000000,0.310000000000,0.445000000000,0.335000000000,10,26.32,10,0,120
ALL,2,0.25,15,77,143,41,19,83,0,0,28.67,13.29,58.04,0.00,0.00,1,0.600000000000,0.510000000000,0.655000000000,0.510000000000,21,51.22,15,6,180
ALL,2,0.25,30,77,143,41,19,83,0,0,28.67,13.29,58.04,0.00,0.00,4,0.840000000000,0.670000000000,0.980000000000,0.670000000000,30,73.17,16,14,300
ALL,2,0.50,5,77,143,30,23,34,56,0,20.98,16.08,23.78,39.16,0.00,1,0.357500000000,0.310000000000,0.445000000000,0.335000000000,2,6.67,2,0,90
ALL,2,0.50,15,77,143,50,41,34,18,0,34.97,28.67,23.78,12.59,0.00,1,0.600000000000,0.510000000000,0.655000000000,0.510000000000,12,24.00,8,4,300
ALL,2,0.50,30,77,143,57,48,34,4,0,39.86,33.57,23.78,2.80,0.00,4,0.840000000000,0.670000000000,0.980000000000,0.670000000000,25,43.86,12,13,420
ALL,2,1.00,5,77,143,15,11,8,109,0,10.49,7.69,5.59,76.22,0.00,1,0.357500000000,0.310000000000,0.445000000000,0.335000000000,0,0.00,0,0,
ALL,2,1.00,15,77,143,37,20,8,78,0,25.87,13.99,5.59,54.55,0.00,1,0.600000000000,0.510000000000,0.655000000000,0.510000000000,6,16.22,2,4,510
ALL,2,1.00,30,77,143,59,34,8,42,0,41.26,23.78,5.59,29.37,0.00,4,0.840000000000,0.670000000000,0.980000000000,0.670000000000,12,20.34,2,10,540
ALL,3+,0.25,5,168,3865,818,468,2238,337,4,21.16,12.11,57.90,8.72,0.10,103,0.300000000000,0.270000000000,0.420000000000,0.285000000000,195,23.84,195,0,120
ALL,3+,0.25,15,168,3865,968,621,2238,34,4,25.05,16.07,57.90,0.88,0.10,242,0.520000000000,0.510000000000,0.590000000000,0.520000000000,480,49.59,317,163,240
ALL,3+,0.25,30,168,3865,986,630,2238,7,4,25.51,16.30,57.90,0.18,0.10,378,0.700000000000,0.690000000000,0.750000000000,0.690000000000,624,63.29,327,297,300
ALL,3+,0.50,5,168,3865,784,644,852,1541,44,20.28,16.66,22.04,39.87,1.14,103,0.300000000000,0.270000000000,0.420000000000,0.285000000000,82,10.46,82,0,120
ALL,3+,0.50,15,168,3865,1261,1166,853,523,62,32.63,30.17,22.07,13.53,1.60,242,0.520000000000,0.510000000000,0.590000000000,0.520000000000,412,32.67,264,148,240
ALL,3+,0.50,30,168,3865,1426,1322,853,196,68,36.90,34.20,22.07,5.07,1.76,378,0.700000000000,0.690000000000,0.750000000000,0.690000000000,663,46.49,288,375,420
ALL,3+,1.00,5,168,3865,279,257,170,3075,84,7.22,6.65,4.40,79.56,2.17,103,0.300000000000,0.270000000000,0.420000000000,0.285000000000,13,4.66,13,0,120
ALL,3+,1.00,15,168,3865,841,809,170,1864,181,21.76,20.93,4.40,48.23,4.68,242,0.520000000000,0.510000000000,0.590000000000,0.520000000000,126,14.98,75,51,300
ALL,3+,1.00,30,168,3865,1240,1152,170,1076,227,32.08,29.81,4.40,27.84,5.87,378,0.700000000000,0.690000000000,0.750000000000,0.690000000000,323,26.05,101,222,480
ALL,UNAVAILABLE,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ALL,UNAVAILABLE,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDH,1,0.25,5,86,86,11,9,62,4,0,12.79,10.47,72.09,4.65,0.00,0,0.302500000000,0.452500000000,0.540000000000,0.455000000000,5,45.45,5,0,120
PDH,1,0.25,15,86,86,14,10,62,0,0,16.28,11.63,72.09,0.00,0.00,1,0.515000000000,0.682500000000,0.659900000000,0.730000000000,6,42.86,5,1,150
PDH,1,0.25,30,86,86,14,10,62,0,0,16.28,11.63,72.09,0.00,0.00,1,0.675000000000,1.025000000000,0.922500000000,1.025000000000,8,57.14,5,3,180
PDH,1,0.50,5,86,86,16,12,36,22,0,18.60,13.95,41.86,25.58,0.00,0,0.302500000000,0.452500000000,0.540000000000,0.455000000000,2,12.50,2,0,150
PDH,1,0.50,15,86,86,18,23,36,8,1,20.93,26.74,41.86,9.30,1.16,1,0.515000000000,0.682500000000,0.659900000000,0.730000000000,5,27.78,3,2,300
