family,session,distance,horizon,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,2026-01-02,0.25,5,26,3,3,20,0,0,11.54,11.54,76.92,0.00,0.00,0,0.272500000000,0.662500000000,0.484350000000,0.662500000000,3,100.00,3,0,60
ALL,2026-01-02,0.25,15,26,3,3,20,0,0,11.54,11.54,76.92,0.00,0.00,0,0.464350000000,0.760000000000,0.610000000000,0.760000000000,3,100.00,3,0,60
ALL,2026-01-02,0.25,30,26,3,3,20,0,0,11.54,11.54,76.92,0.00,0.00,1,0.830000000000,1.095450000000,0.885000000000,1.095450000000,3,100.00,3,0,60
ALL,2026-01-02,0.50,5,26,7,9,7,3,0,26.92,34.62,26.92,11.54,0.00,0,0.272500000000,0.662500000000,0.484350000000,0.662500000000,2,28.57,2,0,60
ALL,2026-01-02,0.50,15,26,8,11,7,0,0,30.77,42.31,26.92,0.00,0.00,0,0.464350000000,0.760000000000,0.610000000000,0.760000000000,4,50.00,3,1,150
ALL,2026-01-02,0.50,30,26,8,11,7,0,0,30.77,42.31,26.92,0.00,0.00,1,0.830000000000,1.095450000000,0.885000000000,1.095450000000,4,50.00,3,1,150
ALL,2026-01-02,1.00,5,26,2,5,0,19,0,7.69,19.23,0.00,73.08,0.00,0,0.272500000000,0.662500000000,0.484350000000,0.662500000000,0,0.00,0,0,
ALL,2026-01-02,1.00,15,26,5,12,0,9,0,19.23,46.15,0.00,34.62,0.00,0,0.464350000000,0.760000000000,0.610000000000,0.760000000000,0,0.00,0,0,
ALL,2026-01-02,1.00,30,26,10,15,0,0,1,38.46,57.69,0.00,0.00,3.85,1,0.830000000000,1.095450000000,0.885000000000,1.095450000000,1,10.00,0,1,960
ALL,2026-01-05,0.25,5,20,6,5,4,5,0,30.00,25.00,20.00,25.00,0.00,0,0.152450000000,0.215000000000,0.210000000000,0.240000000000,0,0.00,0,0,
ALL,2026-01-05,0.25,15,20,8,7,4,1,0,40.00,35.00,20.00,5.00,0.00,1,0.350000000000,0.270000000000,0.406500000000,0.270000000000,2,25.00,0,2,570
