family,single_candle_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,167,3231,1092,199,1724,213,3,33.80,6.16,53.36,6.59,0.09,76,0.470000000000,0.165000000000,0.550000000000,0.205000000000,321,29.40,321,0,120
ALL,True,0.25,15,167,3231,1187,294,1724,23,3,36.74,9.10,53.36,0.71,0.09,168,0.700000000000,0.390000000000,0.755000000000,0.410000000000,638,53.75,440,198,180
ALL,True,0.25,30,167,3231,1200,297,1724,7,3,37.14,9.19,53.36,0.22,0.09,261,0.910000000000,0.590000000000,0.955000000000,0.600000000000,780,65.00,447,333,240
ALL,True,0.50,5,167,3231,991,320,805,1089,26,30.67,9.90,24.91,33.70,0.80,76,0.470000000000,0.165000000000,0.550000000000,0.205000000000,144,14.53,144,0,120
ALL,True,0.50,15,167,3231,1368,655,806,358,44,42.34,20.27,24.95,11.08,1.36,168,0.700000000000,0.390000000000,0.755000000000,0.410000000000,498,36.40,333,165,240
ALL,True,0.50,30,167,3231,1474,750,806,153,48,45.62,23.21,24.95,4.74,1.49,261,0.910000000000,0.590000000000,0.955000000000,0.600000000000,725,49.19,352,373,360
ALL,True,1.00,5,167,3231,440,119,180,2437,55,13.62,3.68,5.57,75.43,1.70,76,0.470000000000,0.165000000000,0.550000000000,0.205000000000,27,6.14,27,0,120
ALL,True,1.00,15,167,3231,974,564,180,1395,118,30.15,17.46,5.57,43.18,3.65,168,0.700000000000,0.390000000000,0.755000000000,0.410000000000,196,20.12,114,82,300
ALL,True,1.00,30,167,3231,1297,842,180,764,148,40.14,26.06,5.57,23.65,4.58,261,0.910000000000,0.590000000000,0.955000000000,0.600000000000,372,28.68,132,240,420
ALL,False,0.25,5,170,3139,193,433,2311,201,1,6.15,13.79,73.62,6.40,0.03,48,0.190000000000,0.480000000000,0.400000000000,0.490000000000,33,17.10,33,0,60
ALL,False,0.25,15,170,3139,285,523,2311,19,1,9.08,16.66,73.62,0.61,0.03,132,0.430100000000,0.755000000000,0.570000000000,0.765000000000,122,42.81,85,37,180
ALL,False,0.25,30,170,3139,293,532,2311,2,1,9.33,16.95,73.62,0.06,0.03,218,0.660000000000,0.955000000000,0.740000000000,0.961000000000,186,63.48,93,93,330
ALL,False,0.50,5,170,3139,335,742,1033,1007,22,10.67,23.64,32.91,32.08,0.70,48,0.190000000000,0.480000000000,0.400000000000,0.490000000000,27,8.06,27,0,60
ALL,False,0.50,15,170,3139,625,1124,1034,325,31,19.91,35.81,32.94,10.35,0.99,132,0.430100000000,0.755000000000,0.570000000000,0.765000000000,192,30.72,128,64,240
ALL,False,0.50,30,170,3139,729,1241,1034,102,33,23.22,39.53,32.94,3.25,1.05,218,0.660000000000,0.955000000000,0.740000000000,0.961000000000,340,46.64,145,195,420
ALL,False,1.00,5,170,3139,147,424,220,2310,38,4.68,13.51,7.01,73.59,1.21,48,0.190000000000,0.480000000000,0.400000000000,0.490000000000,3,2.04,3,0,60
ALL,False,1.00,15,170,3139,590,1006,220,1235,88,18.80,32.05,7.01,39.34,2.80,132,0.430100000000,0.755000000000,0.570000000000,0.765000000000,94,15.93,52,42,300
ALL,False,1.00,30,170,3139,857,1259,220,697,106,27.30,40.11,7.01,22.20,3.38,218,0.660000000000,0.955000000000,0.740000000000,0.961000000000,221,25.79,71,150,480
PDH,True,0.25,5,62,116,35,10,52,18,1,30.17,8.62,44.83,15.52,0.86,2,0.330000000000,0.167500000000,0.430000000000,0.175000000000,12,34.29,12,0,120
PDH,True,0.25,15,62,116,43,17,52,3,1,37.07,14.66,44.83,2.59,0.86,5,0.540000000000,0.397500000000,0.580000000000,0.397500000000,20,46.51,16,4,180
PDH,True,0.25,30,62,116,45,17,52,1,1,38.79,14.66,44.83,0.86,0.86,8,0.645000000000,0.585000000000,0.675000000000,0.585000000000,23,51.11,17,6,180
PDH,True,0.50,5,62,116,35,16,17,46,2,30.17,13.79,14.66,39.66,1.72,2,0.330000000000,0.167500000000,0.430000000000,0.175000000000,8,22.86,8,0,90
PDH,True,0.50,15,62,116,42,32,17,21,4,36.21,27.59,14.66,18.10,3.45,5,0.540000000000,0.397500000000,0.580000000000,0.397500000000,17,40.48,13,4,180
PDH,True,0.50,30,62,116,50,38,17,7,4,43.10,32.76,14.66,6.03,3.45,8,0.645000000000,0.585000000000,0.675000000000,0.585000000000,20,40.00,13,7,180
PDH,True,1.00,5,62,116,9,3,6,96,2,7.76,2.59,5.17,82.76,1.72,2,0.330000000000,0.167500000000,0.430000000000,0.175000000000,2,22.22,2,0,90
PDH,True,1.00,15,62,116,23,15,6,67,5,19.83,12.93,5.17,57.76,4.31,5,0.540000000000,0.397500000000,0.580000000000,0.397500000000,5,21.74,3,2,180
PDH,True,1.00,30,62,116,36,29,6,39,6,31.03,25.00,5.17,33.62,5.17,8,0.645000000000,0.585000000000,0.675000000000,0.585000000000,6,16.67,4,2,210
PDH,False,0.25,5,65,117,5,15,90,7,0,4.27,12.82,76.92,5.98,0.00,0,0.210000000000,0.470000000000,0.455000000000,0.490000000000,0,0.00,0,0,
PDH,False,0.25,15,65,117,7,19,90,1,0,5.98,16.24,76.92,0.85,0.00,4,0.340000000000,0.750000000000,0.510000000000,0.758500000000,4,57.14,0,4,480
PDH,False,0.25,30,65,117,7,20,90,0,0,5.98,17.09,76.92,0.00,0.00,6,0.535000000000,1.010000000000,0.649800000000,1.010000000000,5,71.43,0,5,600
PDH,False,0.50,5,65,117,12,20,48,37,0,10.26,17.09,41.03,31.62,0.00,0,0.210000000000,0.470000000000,0.455000000000,0.490000000000,0,0.00,0,0,
PDH,False,0.50,15,65,117,18,36,48,15,0,15.38,30.77,41.03,12.82,0.00,4,0.340000000000,0.750000000000,0.510000000000,0.758500000000,3,16.67,2,1,300
PDH,False,0.50,30,65,117,24,38,48,7,0,20.51,32.48,41.03,5.98,0.00,6,0.535000000000,1.010000000000,0.649800000000,1.010000000000,9,37.50,3,6,480
PDH,False,1.00,5,65,117,5,14,13,85,0,4.27,11.97,11.11,72.65,0.00,0,0.210000000000,0.470000000000,0.455000000000,0.490000000000,0,0.00,0,0,
PDH,False,1.00,15,65,117,19,36,13,46,3,16.24,30.77,11.11,39.32,2.56,4,0.340000000000,0.750000000000,0.510000000000,0.758500000000,5,26.32,3,2,300
PDH,False,1.00,30,65,117,30,45,13,26,3,25.64,38.46,11.11,22.22,2.56,6,0.535000000000,1.010000000000,0.649800000000,1.010000000000,8,26.67,4,4,330
PDL,True,0.25,5,55,111,48,12,47,4,0,43.24,10.81,42.34,3.60,0.00,1,0.490000000000,0.129100000000,0.550000000000,0.180000000000,11,22.92,11,0,60
PDL,True,0.25,15,55,111,49,14,47,1,0,44.14,12.61,42.34,0.90,0.00,6,0.670000000000,0.320000000000,0.770000000000,0.330000000000,29,59.18,17,12,240
PDL,True,0.25,30,55,111,50,14,47,0,0,45.05,12.61,42.34,0.00,0.00,7,1.040000000000,0.515000000000,1.050000000000,0.515000000000,35,70.00,17,18,360
PDL,True,0.50,5,55,111,39,14,23,35,0,35.14,12.61,20.72,31.53,0.00,1,0.490000000000,0.129100000000,0.550000000000,0.180000000000,3,7.69,3,0,180
PDL,True,0.50,15,55,111,53,22,23,12,1,47.75,19.82,20.72,10.81,0.90,6,0.670000000000,0.320000000000,0.770000000000,0.330000000000,16,30.19,7,9,390
PDL,True,0.50,30,55,111,57,26,23,4,1,51.35,23.42,20.72,3.60,0.90,7,1.040000000000,0.515000000000,1.050000000000,0.515000000000,27,47.37,9,18,540
PDL,True,1.00,5,55,111,20,3,7,81,0,18.02,2.70,6.31,72.97,0.00,1,0.490000000000,0.129100000000,0.550000000000,0.180000000000,2,10.00,2,0,150
PDL,True,1.00,15,55,111,36,10,7,53,5,32.43,9.01,6.31,47.75,4.50,6,0.670000000000,0.320000000000,0.770000000000,0.330000000000,9,25.00,6,3,180
PDL,True,1.00,30,55,111,50,22,7,27,5,45.05,19.82,6.31,24.32,4.50,7,1.040000000000,0.515000000000,1.050000000000,0.515000000000,17,34.00,6,11,540
