family,single_touch_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,True,0.25,5,165,1267,1267,0,0,0,0,100.00,0.00,0.00,0.00,0.00,21,0.560000000000,0.060000000000,0.595500000000,0.120000000000,351,27.70,351,0,120
ALL,True,0.25,15,165,1376,1376,0,0,0,0,100.00,0.00,0.00,0.00,0.00,63,0.750000000000,0.200000000000,0.780000000000,0.210000000000,737,53.56,507,230,180
ALL,True,0.25,30,165,1381,1381,0,0,0,0,100.00,0.00,0.00,0.00,0.00,108,0.990000000000,0.365000000000,1.010000000000,0.365000000000,905,65.53,514,391,240
ALL,True,0.50,5,163,1283,1283,0,0,0,0,100.00,0.00,0.00,0.00,0.00,18,0.790000000000,0.070000000000,0.799300000000,0.150000000000,168,13.09,168,0,120
ALL,True,0.50,15,167,1718,1718,0,0,0,0,100.00,0.00,0.00,0.00,0.00,62,1.020000000000,0.217100000000,1.025000000000,0.240000000000,630,36.67,420,210,240
ALL,True,0.50,30,167,1784,1784,0,0,0,0,100.00,0.00,0.00,0.00,0.00,114,1.287500000000,0.320000000000,1.292500000000,0.330000000000,899,50.39,429,470,360
ALL,True,1.00,5,116,572,572,0,0,0,0,100.00,0.00,0.00,0.00,0.00,8,1.320000000000,0.015000000000,1.320000000000,0.162500000000,29,5.07,29,0,120
ALL,True,1.00,15,153,1303,1303,0,0,0,0,100.00,0.00,0.00,0.00,0.00,31,1.555000000000,0.240000000000,1.555000000000,0.280000000000,263,20.18,145,118,300
ALL,True,1.00,30,160,1522,1522,0,0,0,0,100.00,0.00,0.00,0.00,0.00,74,1.730000000000,0.320000000000,1.735000000000,0.350050000000,479,31.47,159,320,420
ALL,False,0.25,5,170,5103,18,632,4035,414,4,0.35,12.38,79.07,8.11,0.08,103,0.250000000000,0.390000000000,0.447000000000,0.400000000000,3,16.67,3,0,60
ALL,False,0.25,15,169,4994,96,817,4035,42,4,1.92,16.36,80.80,0.84,0.08,237,0.510000000000,0.675000000000,0.632550000000,0.686000000000,23,23.96,18,5,180
ALL,False,0.25,30,169,4989,112,829,4035,9,4,2.24,16.62,80.88,0.18,0.08,371,0.730000000000,0.890000000000,0.810000000000,0.900000000000,61,54.46,26,35,420
ALL,False,0.50,5,170,5087,43,1062,1838,2096,48,0.85,20.88,36.13,41.20,0.94,106,0.250000000000,0.395000000000,0.399900000000,0.405000000000,3,6.98,3,0,60
ALL,False,0.50,15,170,4652,275,1779,1840,683,75,5.91,38.24,39.55,14.68,1.61,238,0.390000000000,0.750000000000,0.500000000000,0.755000000000,60,21.82,41,19,210
ALL,False,0.50,30,170,4586,419,1991,1840,255,81,9.14,43.41,40.12,5.56,1.77,365,0.540000000000,0.970000000000,0.680000000000,0.980000000000,166,39.62,68,98,390
ALL,False,1.00,5,170,5798,15,543,400,4747,93,0.26,9.37,6.90,81.87,1.60,116,0.290000000000,0.350000000000,0.440000000000,0.360000000000,1,6.67,1,0,60
ALL,False,1.00,15,170,5067,261,1570,400,2630,206,5.15,30.98,7.89,51.90,4.07,269,0.430100000000,0.680000000000,0.534000000000,0.690000000000,27,10.34,21,6,240
ALL,False,1.00,30,170,4848,632,2101,400,1461,254,13.04,43.34,8.25,30.14,5.24,405,0.560000000000,0.970000000000,0.650000000000,0.980000000000,114,18.04,44,70,420
PDH,True,0.25,5,32,39,39,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.605000000000,0.040000000000,0.610000000000,0.150000000000,11,28.21,11,0,120
PDH,True,0.25,15,33,40,40,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,0.707000000000,0.210000000000,0.734500000000,0.230000000000,21,52.50,14,7,180
PDH,True,0.25,30,34,41,41,0,0,0,0,100.00,0.00,0.00,0.00,0.00,4,0.860000000000,0.330000000000,0.860000000000,0.330000000000,24,58.54,15,9,180
PDH,True,0.50,5,34,45,45,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.740000000000,0.110000000000,0.750000000000,0.155000000000,8,17.78,8,0,90
PDH,True,0.50,15,39,56,56,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.977500000000,0.202500000000,0.977500000000,0.222500000000,18,32.14,14,4,180
PDH,True,0.50,30,43,63,63,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.265000000000,0.315000000000,1.265000000000,0.315000000000,27,42.86,15,12,300
PDH,True,1.00,5,13,14,14,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.270000000000,0.102500000000,1.270000000000,0.222500000000,2,14.29,2,0,90
