family,time_of_day,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,09:30-10:00,0.25,5,170,1080,204,39,836,1,0,18.89,3.61,77.41,0.09,0.00,0,0.480000000000,0.480000000000,0.670000000000,0.490000000000,85,41.67,85,0,120
ALL,09:30-10:00,0.25,15,170,1080,204,40,836,0,0,18.89,3.70,77.41,0.00,0.00,0,0.837500000000,0.845000000000,0.925000000000,0.853700000000,135,66.18,94,41,180
ALL,09:30-10:00,0.25,30,170,1080,204,40,836,0,0,18.89,3.70,77.41,0.00,0.00,0,1.245000000000,1.210000000000,1.270000000000,1.220000000000,147,72.06,94,53,180
ALL,09:30-10:00,0.50,5,170,1080,261,182,517,120,0,24.17,16.85,47.87,11.11,0.00,0,0.480000000000,0.480000000000,0.670000000000,0.490000000000,60,22.99,60,0,120
ALL,09:30-10:00,0.50,15,170,1080,313,239,517,11,0,28.98,22.13,47.87,1.02,0.00,0,0.837500000000,0.845000000000,0.925000000000,0.853700000000,153,48.88,106,47,240
ALL,09:30-10:00,0.50,30,170,1080,321,242,517,0,0,29.72,22.41,47.87,0.00,0.00,0,1.245000000000,1.210000000000,1.270000000000,1.220000000000,187,58.26,109,78,300
ALL,09:30-10:00,1.00,5,170,1080,172,146,94,668,0,15.93,13.52,8.70,61.85,0.00,0,0.480000000000,0.480000000000,0.670000000000,0.490000000000,10,5.81,10,0,120
ALL,09:30-10:00,1.00,15,170,1080,367,393,94,226,0,33.98,36.39,8.70,20.93,0.00,0,0.837500000000,0.845000000000,0.925000000000,0.853700000000,99,26.98,51,48,300
ALL,09:30-10:00,1.00,30,170,1080,448,477,94,61,0,41.48,44.17,8.70,5.65,0.00,0,1.245000000000,1.210000000000,1.270000000000,1.220000000000,160,35.71,57,103,420
ALL,10:00-11:00,0.25,5,160,1324,227,85,992,20,0,17.15,6.42,74.92,1.51,0.00,0,0.405000000000,0.408150000000,0.590000000000,0.430000000000,69,30.40,69,0,120
ALL,10:00-11:00,0.25,15,160,1324,239,92,992,1,0,18.05,6.95,74.92,0.08,0.00,0,0.715000000000,0.770000000000,0.811250000000,0.780000000000,125,52.30,97,28,180
ALL,10:00-11:00,0.25,30,160,1324,239,93,992,0,0,18.05,7.02,74.92,0.00,0.00,0,0.997500000000,1.000000000000,1.040000000000,1.010000000000,155,64.85,99,56,240
ALL,10:00-11:00,0.50,5,160,1324,320,249,497,258,0,24.17,18.81,37.54,19.49,0.00,0,0.405000000000,0.408150000000,0.590000000000,0.430000000000,47,14.69,47,0,60
ALL,10:00-11:00,0.50,15,160,1324,408,361,498,57,0,30.82,27.27,37.61,4.31,0.00,0,0.715000000000,0.770000000000,0.811250000000,0.780000000000,169,41.42,117,52,240
ALL,10:00-11:00,0.50,30,160,1324,427,387,498,12,0,32.25,29.23,37.61,0.91,0.00,0,0.997500000000,1.000000000000,1.040000000000,1.010000000000,236,55.27,120,116,300
ALL,10:00-11:00,1.00,5,160,1324,182,174,119,849,0,13.75,13.14,8.99,64.12,0.00,0,0.405000000000,0.408150000000,0.590000000000,0.430000000000,13,7.14,13,0,120
ALL,10:00-11:00,1.00,15,160,1324,408,424,119,373,0,30.82,32.02,8.99,28.17,0.00,0,0.715000000000,0.770000000000,0.811250000000,0.780000000000,85,20.83,51,34,240
ALL,10:00-11:00,1.00,30,160,1324,494,516,119,195,0,37.31,38.97,8.99,14.73,0.00,0,0.997500000000,1.000000000000,1.040000000000,1.010000000000,163,33.00,63,100,420
ALL,11:00-12:00,0.25,5,152,906,214,127,527,38,0,23.62,14.02,58.17,4.19,0.00,0,0.350000000000,0.309600000000,0.450000000000,0.310000000000,60,28.04,60,0,120
ALL,11:00-12:00,0.25,15,152,906,233,144,527,2,0,25.72,15.89,58.17,0.22,0.00,0,0.590100000000,0.550000000000,0.649800000000,0.550000000000,130,55.79,87,43,180
ALL,11:00-12:00,0.25,30,152,906,234,144,527,1,0,25.83,15.89,58.17,0.11,0.00,0,0.820000000000,0.740000000000,0.860000000000,0.740000000000,158,67.52,88,70,240
ALL,11:00-12:00,0.50,5,152,906,236,168,179,323,0,26.05,18.54,19.76,35.65,0.00,0,0.350000000000,0.309600000000,0.450000000000,0.310000000000,26,11.02,26,0,120
ALL,11:00-12:00,0.50,15,152,906,351,298,179,78,0,38.74,32.89,19.76,8.61,0.00,0,0.590100000000,0.550000000000,0.649800000000,0.550000000000,122,34.76,84,38,240
ALL,11:00-12:00,0.50,30,152,906,384,327,179,16,0,42.38,36.09,19.76,1.77,0.00,0,0.820000000000,0.740000000000,0.860000000000,0.740000000000,188,48.96,89,99,360
ALL,11:00-12:00,1.00,5,152,906,70,51,27,758,0,7.73,5.63,2.98,83.66,0.00,0,0.350000000000,0.309600000000,0.450000000000,0.310000000000,1,1.43,1,0,120
ALL,11:00-12:00,1.00,15,152,906,224,209,27,446,0,24.72,23.07,2.98,49.23,0.00,0,0.590100000000,0.550000000000,0.649800000000,0.550000000000,33,14.73,19,14,300
ALL,11:00-12:00,1.00,30,152,906,350,298,27,231,0,38.63,32.89,2.98,25.50,0.00,0,0.820000000000,0.740000000000,0.860000000000,0.740000000000,82,23.43,24,58,480
ALL,12:00-14:00,0.25,5,156,1471,316,203,783,169,0,21.48,13.80,53.23,11.49,0.00,0,0.280000000000,0.245000000000,0.390000000000,0.270000000000,69,21.84,69,0,120
ALL,12:00-14:00,0.25,15,156,1471,382,287,783,19,0,25.97,19.51,53.23,1.29,0.00,0,0.500000000000,0.470000000000,0.550000000000,0.475000000000,184,48.17,126,58,180
