variant,pair,supported_by_frozen_implementation,eligible_paths,ADVERSE_FIRST_n,AMBIGUOUS_SAME_MINUTE_n,CENSORED_n,FAVORABLE_FIRST_n,UNRESOLVED_n,favorable_first_pct,NOT_FROZEN_n
IMMEDIATE_CLOSE_BACK_1M,+0.25_before_-0.25,True,3311,1522,206,1,1574,8,47.54,
IMMEDIATE_CLOSE_BACK_1M,+0.50_before_-0.25,True,3311,2106,78,15,1063,49,32.11,
IMMEDIATE_CLOSE_BACK_1M,+0.50_before_-0.30,False,3311,,,,,,0.00,3311
IMMEDIATE_CLOSE_BACK_1M,+0.75_before_-0.30,False,3311,,,,,,0.00,3311
IMMEDIATE_CLOSE_BACK_1M,+1.00_before_-0.30,False,3311,,,,,,0.00,3311
IMMEDIATE_CLOSE_BACK_5M,+0.25_before_-0.25,True,3233,1534,176,,1517,6,46.92,
IMMEDIATE_CLOSE_BACK_5M,+0.50_before_-0.25,True,3233,2063,56,1,1067,46,33.00,
IMMEDIATE_CLOSE_BACK_5M,+0.50_before_-0.30,False,3233,,,,,,0.00,3233
IMMEDIATE_CLOSE_BACK_5M,+0.75_before_-0.30,False,3233,,,,,,0.00,3233
IMMEDIATE_CLOSE_BACK_5M,+1.00_before_-0.30,False,3233,,,,,,0.00,3233
MOMENTUM_AWAY_025,+0.25_before_-0.25,True,6024,2853,452,,2713,6,45.04,
MOMENTUM_AWAY_025,+0.50_before_-0.25,True,6024,3962,135,7,1848,72,30.68,
MOMENTUM_AWAY_025,+0.50_before_-0.30,False,6024,,,,,,0.00,6024
MOMENTUM_AWAY_025,+0.75_before_-0.30,False,6024,,,,,,0.00,6024
MOMENTUM_AWAY_025,+1.00_before_-0.30,False,6024,,,,,,0.00,6024
ONE_RETEST_HOLD,+0.25_before_-0.25,True,1031,529,38,1,461,2,44.71,
ONE_RETEST_HOLD,+0.50_before_-0.25,True,1031,683,14,5,311,18,30.16,
ONE_RETEST_HOLD,+0.50_before_-0.30,False,1031,,,,,,0.00,1031
ONE_RETEST_HOLD,+0.75_before_-0.30,False,1031,,,,,,0.00,1031
ONE_RETEST_HOLD,+1.00_before_-0.30,False,1031,,,,,,0.00,1031
