variant,month,validated_sessions,contributing_sessions,zero_signal_sessions,eligible_interactions,signals,signal_rate_pct,executable_signals,mean_mfe,mean_mae
IMMEDIATE_CLOSE_BACK_1M,2026-01,20,20,0,760,421,55.39,413,0.9404111380145278450363196126,0.9038409200968523002421307506
IMMEDIATE_CLOSE_BACK_1M,2026-02,19,19,0,1345,706,52.49,697,1.211492826398852223816355811,1.216184074605451936872309900
IMMEDIATE_CLOSE_BACK_1M,2026-03,22,22,0,843,419,49.70,417,1.206887290167865707434052758,1.182244364508393285371702638
IMMEDIATE_CLOSE_BACK_1M,2026-04,21,21,0,615,339,55.12,337,0.8625694362017804154302670623,0.9428786350148367952522255193
IMMEDIATE_CLOSE_BACK_1M,2026-05,20,18,2,288,144,50.00,143,1.073712587412587412587412587,0.8615860139860139860139860140
IMMEDIATE_CLOSE_BACK_1M,2026-06,21,21,0,740,358,48.38,346,1.544329190751445086705202312,1.312177456647398843930635838
IMMEDIATE_CLOSE_BACK_1M,2026-07,22,22,0,1267,688,54.30,679,0.9753593519882179675994108984,1.186189396170839469808541973
IMMEDIATE_CLOSE_BACK_1M,2026-08,21,20,1,394,222,56.35,220,0.7303131818181818181818181818,0.8657859090909090909090909091
IMMEDIATE_CLOSE_BACK_1M,2026-09,4,4,0,118,59,50.00,59,0.7912355932203389830508474576,0.5697983050847457627118644068
IMMEDIATE_CLOSE_BACK_5M,2026-01,20,20,0,760,408,53.68,400,0.968694750000,0.866738750000
IMMEDIATE_CLOSE_BACK_5M,2026-02,19,19,0,1345,684,50.86,669,1.239661136023916292974588939,1.141062481315396113602391629
IMMEDIATE_CLOSE_BACK_5M,2026-03,22,22,0,843,432,51.25,419,1.207717422434367541766109785,1.226535560859188544152744630
IMMEDIATE_CLOSE_BACK_5M,2026-04,21,21,0,615,335,54.47,329,0.8357021276595744680851063830,0.9727513677811550151975683891
IMMEDIATE_CLOSE_BACK_5M,2026-05,20,20,0,288,154,53.47,152,1.036996052631578947368421053,0.8821664473684210526315789474
IMMEDIATE_CLOSE_BACK_5M,2026-06,21,21,0,740,366,49.46,345,1.424904347826086956521739130,1.401180579710144927536231884
IMMEDIATE_CLOSE_BACK_5M,2026-07,22,22,0,1267,678,53.51,660,1.016478484848484848484848485,1.100090000000
IMMEDIATE_CLOSE_BACK_5M,2026-08,21,20,1,394,201,51.02,198,0.7638343434343434343434343434,0.7886520202020202020202020202
IMMEDIATE_CLOSE_BACK_5M,2026-09,4,4,0,118,61,51.69,61,0.7734426229508196721311475410,0.5944524590163934426229508197
MOMENTUM_AWAY_025,2026-01,20,20,0,760,729,95.92,715,0.9497190209790209790209790210,0.9609159440559440559440559441
MOMENTUM_AWAY_025,2026-02,19,19,0,1345,1317,97.92,1292,1.208484829721362229102167183,1.219885913312693498452012384
MOMENTUM_AWAY_025,2026-03,22,22,0,843,815,96.68,801,1.269539700374531835205992509,1.199797378277153558052434457
MOMENTUM_AWAY_025,2026-04,21,21,0,615,593,96.42,578,0.8923866782006920415224913495,0.9583121107266435986159169550
MOMENTUM_AWAY_025,2026-05,20,20,0,288,276,95.83,272,1.076320220588235294117647059,0.8256323529411764705882352941
MOMENTUM_AWAY_025,2026-06,21,21,0,740,729,98.51,696,1.509653879310344827586206897,1.471313793103448275862068966
MOMENTUM_AWAY_025,2026-07,22,22,0,1267,1231,97.16,1196,1.044023327759197324414715719,1.179783862876254180602006689
MOMENTUM_AWAY_025,2026-08,21,21,0,394,366,92.89,362,0.7306284530386740331491712707,0.7972629834254143646408839779
MOMENTUM_AWAY_025,2026-09,4,4,0,118,112,94.92,112,0.6552857142857142857142857143,0.7599151785714285714285714286
ONE_RETEST_HOLD,2026-01,20,19,1,760,135,17.76,134,0.8067977611940298507462686567,0.8221231343283582089552238806
ONE_RETEST_HOLD,2026-02,19,19,0,1345,216,16.06,215,1.148601860465116279069767442,1.097767441860465116279069767
ONE_RETEST_HOLD,2026-03,22,20,2,843,119,14.12,117,1.066291452991452991452991453,1.201418803418803418803418803
ONE_RETEST_HOLD,2026-04,21,19,2,615,106,17.24,103,0.8110669902912621359223300971,0.8430310679611650485436893204
ONE_RETEST_HOLD,2026-05,20,16,4,288,49,17.01,49,0.8820836734693877551020408163,0.9554938775510204081632653061
ONE_RETEST_HOLD,2026-06,21,20,1,740,113,15.27,112,1.598014285714285714285714286,1.106459821428571428571428571
ONE_RETEST_HOLD,2026-07,22,22,0,1267,226,17.84,223,0.8852210762331838565022421525,1.131391031390134529147982063
ONE_RETEST_HOLD,2026-08,21,17,4,394,63,15.99,61,0.8258803278688524590163934426,0.5856770491803278688524590164
ONE_RETEST_HOLD,2026-09,4,4,0,118,18,15.25,17,0.6703764705882352941176470588,0.6971705882352941176470588235
