variant,family,approach_side,episodes,valid_next_level,no_next_level,next_distance_mean,next_distance_median,reached_before_signal,reached_first,invalidated_first,ambiguous,censored
IMMEDIATE_CLOSE_BACK_1M,1H_HIGH,ABOVE,1127,1113,14,0.5028625336927223719676549865,0.325000000000,340,89,433,583,4
IMMEDIATE_CLOSE_BACK_1M,1H_HIGH,BELOW,1170,1170,0,0.4478137606837606837606837607,0.280000000000,379,90,419,652,5
IMMEDIATE_CLOSE_BACK_1M,1H_HIGH,UNKNOWN,1,0,1,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_1M,1H_LOW,ABOVE,1246,1246,0,0.4639196629213483146067415730,0.269700000000,411,98,382,761,2
IMMEDIATE_CLOSE_BACK_1M,1H_LOW,BELOW,1313,1310,3,0.4775739694656488549618320611,0.255000000000,406,100,432,774,1
IMMEDIATE_CLOSE_BACK_1M,1H_LOW,UNKNOWN,1,0,1,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_1M,ORH5,ABOVE,162,149,13,0.8975771812080536912751677852,0.590000000000,30,12,84,49,1
IMMEDIATE_CLOSE_BACK_1M,ORH5,BELOW,275,275,0,0.6680090909090909090909090909,0.600000000000,54,19,159,97,0
IMMEDIATE_CLOSE_BACK_1M,ORH5,UNKNOWN,2,0,2,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_1M,ORL5,ABOVE,302,302,0,0.7308089403973509933774834437,0.660000000000,64,30,165,106,0
IMMEDIATE_CLOSE_BACK_1M,ORL5,BELOW,120,116,4,0.8154103448275862068965517241,0.420000000000,22,15,56,41,0
IMMEDIATE_CLOSE_BACK_1M,ORL5,UNKNOWN,0,0,0,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_1M,PDH,ABOVE,125,116,9,0.8031681034482758620689655172,0.360000000000,26,10,54,50,0
IMMEDIATE_CLOSE_BACK_1M,PDH,BELOW,108,108,0,0.6336092592592592592592592593,0.305000000000,22,5,50,52,1
IMMEDIATE_CLOSE_BACK_1M,PDH,UNKNOWN,0,0,0,,,0,0,0,0,0
IMMEDIATE_CLOSE_BACK_1M,PDL,ABOVE,123,123,0,0.7326024390243902439024390244,0.450000000000,25,12,64,45,0
