variant,family,eligible_interactions,signals,signal_rate_pct,executable_signals,unavailable_non_executable,contributing_sessions,pm_sparse_note
IMMEDIATE_CLOSE_BACK_1M,1H_HIGH,2298,1254,54.57,1234,1064,140,
IMMEDIATE_CLOSE_BACK_1M,1H_LOW,2560,1343,52.46,1324,1236,140,
IMMEDIATE_CLOSE_BACK_1M,ORH5,439,211,48.06,207,232,154,
IMMEDIATE_CLOSE_BACK_1M,ORL5,422,221,52.37,220,202,145,
IMMEDIATE_CLOSE_BACK_1M,PDH,233,120,51.50,120,113,86,
IMMEDIATE_CLOSE_BACK_1M,PDL,213,111,52.11,111,102,66,
IMMEDIATE_CLOSE_BACK_1M,PMH,3,1,33.33,1,2,2,Only certified premarket sessions; unavailable elsewhere
IMMEDIATE_CLOSE_BACK_1M,PML,8,4,50.00,4,4,2,Only certified premarket sessions; unavailable elsewhere
IMMEDIATE_CLOSE_BACK_1M,PWH,104,59,56.73,59,45,39,
IMMEDIATE_CLOSE_BACK_1M,PWL,90,32,35.56,31,59,34,
IMMEDIATE_CLOSE_BACK_5M,1H_HIGH,2298,1211,52.70,1176,1122,140,
IMMEDIATE_CLOSE_BACK_5M,1H_LOW,2560,1330,51.95,1293,1267,140,
IMMEDIATE_CLOSE_BACK_5M,ORH5,439,218,49.66,212,227,154,
IMMEDIATE_CLOSE_BACK_5M,ORL5,422,238,56.40,236,186,145,
IMMEDIATE_CLOSE_BACK_5M,PDH,233,116,49.79,113,120,86,
IMMEDIATE_CLOSE_BACK_5M,PDL,213,100,46.95,99,114,66,
IMMEDIATE_CLOSE_BACK_5M,PMH,3,2,66.67,2,1,2,Only certified premarket sessions; unavailable elsewhere
IMMEDIATE_CLOSE_BACK_5M,PML,8,4,50.00,4,4,2,Only certified premarket sessions; unavailable elsewhere
IMMEDIATE_CLOSE_BACK_5M,PWH,104,57,54.81,56,48,39,
IMMEDIATE_CLOSE_BACK_5M,PWL,90,43,47.78,42,48,34,
MOMENTUM_AWAY_025,1H_HIGH,2298,2213,96.30,2157,141,140,
MOMENTUM_AWAY_025,1H_LOW,2560,2501,97.70,2437,123,140,
MOMENTUM_AWAY_025,ORH5,439,419,95.44,411,28,154,
MOMENTUM_AWAY_025,ORL5,422,409,96.92,404,18,145,
MOMENTUM_AWAY_025,PDH,233,223,95.71,219,14,86,
MOMENTUM_AWAY_025,PDL,213,207,97.18,204,9,66,
MOMENTUM_AWAY_025,PMH,3,3,100.00,3,0,2,Only certified premarket sessions; unavailable elsewhere
MOMENTUM_AWAY_025,PML,8,7,87.50,7,1,2,Only certified premarket sessions; unavailable elsewhere
MOMENTUM_AWAY_025,PWH,104,98,94.23,95,9,39,
MOMENTUM_AWAY_025,PWL,90,88,97.78,87,3,34,
ONE_RETEST_HOLD,1H_HIGH,2298,393,17.10,390,1908,140,
ONE_RETEST_HOLD,1H_LOW,2560,412,16.09,403,2157,140,
ONE_RETEST_HOLD,ORH5,439,82,18.68,80,359,154,
ONE_RETEST_HOLD,ORL5,422,61,14.45,61,361,145,
ONE_RETEST_HOLD,PDH,233,35,15.02,35,198,86,
ONE_RETEST_HOLD,PDL,213,36,16.90,36,177,66,
ONE_RETEST_HOLD,PMH,3,1,33.33,1,2,2,Only certified premarket sessions; unavailable elsewhere
ONE_RETEST_HOLD,PML,8,2,25.00,2,6,2,Only certified premarket sessions; unavailable elsewhere
ONE_RETEST_HOLD,PWH,104,14,13.46,14,90,39,
ONE_RETEST_HOLD,PWL,90,9,10.00,9,81,34,
