entry_variant,group,value,eligible_entries,atr_available_outcomes,atr_unavailable,other_unavailable,eligible_sessions,contributing_sessions,availability_rate
IMMEDIATE_CLOSE_BACK_1M,TOTAL,ALL,3311,2293,1018,0,167,164,0.69254001812141347025067955300513440048323769254001812141347025067955300513440048
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-01,413,291,122,0,20,20,0.70460048426150121065375302663438256658595641646489104116222760290556900726392252
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-02,697,474,223,0,19,19,0.68005738880918220946915351506456241032998565279770444763271162123385939741750359
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-03,417,308,109,0,22,22,0.73860911270983213429256594724220623501199040767386091127098321342925659472422062
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-04,337,242,95,0,21,20,0.71810089020771513353115727002967359050445103857566765578635014836795252225519288
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-05,143,100,43,0,18,17,0.69930069930069930069930069930069930069930069930069930069930069930069930069930070
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-06,346,226,120,0,21,21,0.65317919075144508670520231213872832369942196531791907514450867052023121387283237
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-07,679,481,198,0,22,22,0.70839469808541973490427098674521354933726067746686303387334315169366715758468336
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-08,220,130,90,0,20,19,0.59090909090909090909090909090909090909090909090909090909090909090909090909090909
IMMEDIATE_CLOSE_BACK_1M,MONTH,2026-09,59,41,18,0,4,4,0.69491525423728813559322033898305084745762711864406779661016949152542372881355932
IMMEDIATE_CLOSE_BACK_1M,DIRECTION,LONG,1667,1163,504,0,163,156,0.69766046790641871625674865026994601079784043191361727654469106178764247150569886
IMMEDIATE_CLOSE_BACK_1M,DIRECTION,SHORT,1644,1130,514,0,163,149,0.68734793187347931873479318734793187347931873479318734793187347931873479318734793
MOMENTUM_AWAY_025,TOTAL,ALL,6024,4125,1899,0,170,164,0.68476095617529880478087649402390438247011952191235059760956175298804780876494024
MOMENTUM_AWAY_025,MONTH,2026-01,715,512,203,0,20,20,0.71608391608391608391608391608391608391608391608391608391608391608391608391608392
MOMENTUM_AWAY_025,MONTH,2026-02,1292,859,433,0,19,19,0.66486068111455108359133126934984520123839009287925696594427244582043343653250774
MOMENTUM_AWAY_025,MONTH,2026-03,801,587,214,0,22,22,0.73283395755305867665418227215980024968789013732833957553058676654182272159800250
MOMENTUM_AWAY_025,MONTH,2026-04,578,398,180,0,21,20,0.68858131487889273356401384083044982698961937716262975778546712802768166089965398
MOMENTUM_AWAY_025,MONTH,2026-05,272,170,102,0,20,17,0.625
MOMENTUM_AWAY_025,MONTH,2026-06,696,465,231,0,21,21,0.66810344827586206896551724137931034482758620689655172413793103448275862068965517
MOMENTUM_AWAY_025,MONTH,2026-07,1196,824,372,0,22,22,0.68896321070234113712374581939799331103678929765886287625418060200668896321070234
MOMENTUM_AWAY_025,MONTH,2026-08,362,234,128,0,21,19,0.64640883977900552486187845303867403314917127071823204419889502762430939226519337
MOMENTUM_AWAY_025,MONTH,2026-09,112,76,36,0,4,4,0.67857142857142857142857142857142857142857142857142857142857142857142857142857143
MOMENTUM_AWAY_025,DIRECTION,LONG,3036,2096,940,0,169,160,0.69038208168642951251646903820816864295125164690382081686429512516469038208168643
MOMENTUM_AWAY_025,DIRECTION,SHORT,2988,2029,959,0,170,157,0.67904953145917001338688085676037483266398929049531459170013386880856760374832664
