entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,10000,20260908,10000,0,-0.088712881243920243712878715078807128635420301876231756516402908504830930091021433,-0.0015771023858306478991062983121514685175113867345199379465345125847350193833520427,0.0201,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,10000,20260908,10000,0,0.035971199250884402904542345718703927398449913674853045288088003069823752597532678,0.12217089073134223635895876698552283836564773019622517950277147601562317281380827,0.9995,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,10000,20260908,10000,0,-0.12871288124392024371287871507880712863542030187623175651640290850483093009102144,-0.041577102385830647899106298312151468517511386734519937946534512584735019383352043,0.0002,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,10000,20260908,10000,0,-0.0040288007491155970954576542812960726015500863251469547119119969301762474024673217,0.082170890731342236358958766985522838365647730196225179502771476015623172813808265,0.9608,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,10000,20260908,10000,0,-0.16871288124392024371287871507880712863542030187623175651640290850483093009102144,-0.081577102385830647899106298312151468517511386734519937946534512584735019383352043,0,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,target_first,10000,20260908,10000,0,-0.044028800749115597095457654281296072601550086325146954711911996930176247402467322,0.042170890731342236358958766985522838365647730196225179502771476015623172813808265,0.4824,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0,stop_first,10000,20260908,10000,0,-0.066627959053599226752595301225917024817546428625596860681720723664707350400480936,0.034534143974952369822171609967956644987348446345725786067799281946192167723454159,0.2642,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0,target_first,10000,20260908,10000,0,0.018883918898003405045658566785327348707630397771242841665376876644482278285095187,0.12285270066323073448183815527401901398328576415268680314572596045255744235231309,0.9962,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0.01,stop_first,10000,20260908,10000,0,-0.10662795905359922675259530122591702481754642862559686068172072366470735040048094,-0.0054658560250476301778283900320433550126515536542742139322007180538078322765458405,0.0149,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0.01,target_first,10000,20260908,10000,0,-0.021116081101996594954341433214672651292369602228757158334623123355517721714904813,0.082852700663230734481838155274019013983285764152686803145725960452557442352313094,0.8759,AVAILABLE,WHOLE_SESSION
