entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,atr_reference_model,comparison,paired_mean_r_difference,left_eligible_entries,right_eligible_entries,left_missing_partner,right_missing_partner,common_eligible_identities,common_usable_identities,common_unavailable_attrition,left_common_atr_unavailable,right_common_atr_unavailable,common_contributing_sessions,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.025655403236625777609837810513275904642720607361896414261670662512897526168499712,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.067738254079000853112126765490332749515972474637438346086077376195536592197634701,0.019902063634571468911441445140943137312905209246205421200377700249413631535916165,0.1292,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.048483279711477144326490144131294527106080090413943097295241679397263834494387331,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,0.0040153457064625849570916461504340851328643415157605262511175948313608177264266517,0.093607918128769362797715192906962336760723915699018570240747220378577088310669273,0.9835,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.038231612755162663545325744225571527619702215781349729634852334444172820942016388,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.080811944452691013233178768679263207565079793119251677083430834850704520328243581,0.0082344087657732199985704081780261396207017702199612736562426114900775538970447681,0.0537,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.035907070192940258391002210418998904129098481994489781922060007465988539720870664,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.0086688836785733300094903144954687461538199259227095883878034495400790276032642803,0.080655929637329842977842372119863179070673175912893461612038229603924986922536372,0.9417,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.050807822273699549480813677937867150596683824200803045008034006375448115715533048,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.093858978542407941783709099761146299828309774407624209874170694604599856083559304,-0.0033990597061438581607687279738823803303692525613129533117740643074006719626912670,0.0171,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.023330860674403372455514276706703281152116873575036466548878335534713244947353983,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.021046658590746656985448319399446908329603787462289370152140615137649530578836462,0.068045001747266358902421553306871409065991261236046959273534728026346508746773182,0.8408,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.0046087394773584422413249452712349103121493033932963270396907235682834834297295421,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.047369679275968687591378091331875838791880241521410054413550257727103141623918707,0.040313138932702424957963062685119117898198503324645993595430416986724581299286401,0.4138,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.031152272297608849516197950498499062649036915533873319711290523706029643478251270,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.011122551689503004399746578309219635179340046583737498628693597673776749061388148,0.073683846335447822676875078122706488574474553989696011846490910632882052522102292,0.9281,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.010518282329228661510146212316863866622464245146082975746205728832892111536579530,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.053829468400963962383499807554009048312034706005796480327002471257965575820848368,0.035021759594222317059188547864685276211805348255046375452639382713825239403131187,0.3222,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.025242729445738630247376683452870106338721973781086671004775518441421015371401273,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.017164651199142028014058395875250415867012601267845708517987881188570661983048854,0.068513914151594967145836574399315618174362738462021669252649291839939432224328009,0.8786,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.016427825181098880778967479362492822932779186898869624452720734097500739643429583,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.060414749464106469133965178462571040826617030235519244219365229457886258425252393,0.029576436431433055875364198944863656866487574523522104614769358039452356668043756,0.2404,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.019333186593868410978555416407241150028407032028300022298260513176812387264551232,2293,2293,0,0,2293,2293,0,0,0,164,10000,20260908,10000,0,-0.023237240805200814461373772024123870219329413065660868570450701495320591797790468,0.063143451944100684831637146633477478338454586834492177290443525000568114355630835,0.8104,AVAILABLE,WHOLE_SESSION
