entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,atr_reference_model,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,99,164,164,170,6,1136,1157,0,0.49542084605320540776275621456607064980375054513737461840383776711731356301788051,1.0000000000,-0.99918755401901469317199654278305963699222126188418323249783923941227312013828868,-0.0087483645878761447884866986480593109463584823375490623637156563453990405582206716,-1.00000000000,0.98264795944847153261941421725515976679411103229936162482916111620504126083421276,AVAILABLE,1136.0000000000,-1156.0600000000,69.0600000000,19,3,6,0,0,2026-08,-0.046153846153846153846153846153846153846153846153846153846153846153846153846153846,-0.021508491508491508491508491508491508491508491508491508491508491508491508491508492,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.054048344026283207077947038573197330054303620312144939909232040197846119213117818,0.038376651532630774348339974379480936776768842051623222664958632062451784589470108,0.3489,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,99,164,164,170,6,1235,1058,0,0.53859572612298299171391190580026166593981683384212821631051024858264282599215002,1.0000000000,-0.99911153119092627599243856332703213610586011342155009451795841209829867674858223,0.077601395551679023113824683820322721325774095071958133449629306585259485390318360,1.00000000000,1.1683348154314797646302007454638336518267648004843622878549940400734111592530225,AVAILABLE,1235.0000000000,-1057.0600000000,27.0000000000,12,8,1,0,0,2026-08,-0.046153846153846153846153846153846153846153846153846153846153846153846153846153846,0.072397602397602397602397602397602397602397602397602397602397602397602397602397602,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,0.028462583039080734933269495481477048297324795020647555209767191334011610509306362,0.12616981409280886951411517562287022458851752281628124218808246753531534929413158,0.9995,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,99,164,164,170,6,1136,1157,0,0.49542084605320540776275621456607064980375054513737461840383776711731356301788051,0.9600000000,-1.0391875540190146931719965427830596369922212618841832324978392394122731201382887,-0.048748364587876144788486698648059310946358482337549062363715656345399040558220672,-1.04000000000,0.90703128898647637107640101801487100154698338240431159239483008134138430061380308,AVAILABLE,1090.5600000000,-1202.3400000000,149.2200000000,19,2,7,0,0,2026-08,-0.086153846153846153846153846153846153846153846153846153846153846153846153846153846,-0.061508491508491508491508491508491508491508491508491508491508491508491508491508492,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.094048344026283207077947038573197330054303620312144939909232040197846119213117818,-0.0016233484673692256516600256205190632232311579483767773350413679375482154105298918,0.021,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,99,164,164,170,6,1235,1058,0,0.53859572612298299171391190580026166593981683384212821631051024858264282599215002,0.9600000000,-1.0391115311909262759924385633270321361058601134215500945179584120982986767485822,0.037601395551679023113824683820322721325774095071958133449629306585259485390318360,0.96000000000,1.0784260219396387054521639469519183539813349342356600993287125470719860284887846,AVAILABLE,1185.6000000000,-1099.3800000000,36.9600000000,12,7,2,0,0,2026-08,-0.086153846153846153846153846153846153846153846153846153846153846153846153846153846,0.032397602397602397602397602397602397602397602397602397602397602397602397602397602,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.011537416960919265066730504518522951702675204979352444790232808665988389490693638,0.086169814092808869514115175622870224588517522816281242188082467535315349294131578,0.9315,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,99,164,164,170,6,1136,1157,0,0.49542084605320540776275621456607064980375054513737461840383776711731356301788051,0.9200000000,-1.0791875540190146931719965427830596369922212618841832324978392394122731201382887,-0.088748364587876144788486698648059310946358482337549062363715656345399040558220672,-1.08000000000,0.83702007015745382902724607967195784145696849321651102817510531626916115391392097,AVAILABLE,1045.1200000000,-1248.6200000000,232.3000000000,19,1,8,0,0,2026-08,-0.12615384615384615384615384615384615384615384615384615384615384615384615384615385,-0.10150849150849150849150849150849150849150849150849150849150849150849150849150849,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.13404834402628320707794703857319733005430362031214493990923204019784611921311782,-0.041623348467369225651660025620519063223231157948376777335041367937548215410529892,0,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,99,164,164,170,6,1235,1058,0,0.53859572612298299171391190580026166593981683384212821631051024858264282599215002,0.9200000000,-1.0791115311909262759924385633270321361058601134215500945179584120982986767485822,-0.0023986044483209768861753161796772786742259049280418665503706934147405146096816398,0.92000000000,0.99518262240518525006569151265656477183147937286502583866164491547692038188666024,AVAILABLE,1136.2000000000,-1141.7000000000,46.9200000000,12,5,4,0,0,2026-08,-0.12615384615384615384615384615384615384615384615384615384615384615384615384615385,-0.0076023976023976023976023976023976023976023976023976023976023976023976023976023976,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.051537416960919265066730504518522951702675204979352444790232808665988389490693638,0.046169814092808869514115175622870224588517522816281242188082467535315349294131578,0.4537,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,55,164,164,170,6,1160,1133,0,0.50588748364587876144788486698648059310946358482337549062363715656345399040558221,0.99965517241379310344827586206896551724137931034482758620689655172413793103448276,-0.99858781994704324801412180052956751985878199470432480141218005295675198587819947,0.012298299171391190580026166593981683384212821631051024858264282599215002180549498,1.00000000000,1.0249248718401979847975958988863355135230687643627364327382004596075658476224147,AVAILABLE,1159.6000000000,-1131.4000000000000000000000000000000000000000000000000000000000000000000000000000,51.000000000000000000000000000000000000000000000000000000000000000000000000000000,19,5,4,0,0,2026-02,-0.033755274261603375527426160337552742616033755274261603375527426160337552742616034,0.0042707292707292707292707292707292707292707292707292707292707292707292707292707293,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.038924368490125409871814696308279113289164317461827899434208387355132368276020665,0.067017184083004494799105881973192598510341265806441200442217219034707595968399222,0.669,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,55,164,164,170,6,1215,1078,0,0.52987352812908853030963802878325337985172263410379415612734409071085913650239860,0.99967078189300411522633744855967078189300411522633744855967078189300411522633745,-0.99851576994434137291280148423005565862708719851576994434137291280148423005565863,0.060270388137810728303532490187527256868730920191888355865678150894025294374182294,1.00000000000,1.1283909327387588257153474544778892604979561501300631735414344109996283909327388,AVAILABLE,1214.6000000000,-1076.4000000000000000000000000000000000000000000000000000000000000000000000000000,45.000000000000000000000000000000000000000000000000000000000000000000000000000000,15,7,2,0,0,2026-08,-0.015384615384615384615384615384615384615384615384615384615384615384615384615384615,0.055219780219780219780219780219780219780219780219780219780219780219780219780219780,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,0.0078988120120526469671451802701938620421359378133676129814836740759355420187458772,0.11470667266493203316878632395496437516718138268122461882644748680786907569973008,0.9876,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,55,164,164,170,6,1160,1133,0,0.50588748364587876144788486698648059310946358482337549062363715656345399040558221,0.96632183908045977011494252873563218390804597701149425287356321839080459770115569,-1.0319211532803765813474551338629008531921153280376581347455133862900853192115254,-0.021035034161942142753307166739351649949120511702282308475069050734118331152783545,0.96666666666666666666666666666666666666666666666666666666666666666666666666666667,0.95874554526015680684248039914468995010691375623663578047042052744119743406986340,AVAILABLE,1120.9333333333333333333333333333333333333333333333333333333333333333333333333406,-1169.1666666666666666666666666666666666666666666666666666666666666666666666666583,87.749999999999999999999999999999999999999999999999999999999999999999999999999568,19,3,6,0,0,2026-02,-0.067088607594936708860759493670886075949367088607594936708860759493670886075949086,-0.029062604062604062604062604062604062604062604062604062604062604062604062604062283,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.072257701823458743205148029641612446622497650795161232767541720688465701609353997,0.033683850749671161465772548639859265177007932473107867108883885701374262635065894,0.2149,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,55,164,164,170,6,1215,1078,0,0.52987352812908853030963802878325337985172263410379415612734409071085913650239860,0.96633744855967078189300411522633744855967078189300411522633744855967078189301160,-1.0318491032776747062461348175633889919604205318491032776747062461348175633889859,0.026937054804477394970199156854193923535397586858555022532344817560691961040849233,0.96666666666666666666666666666666666666666666666666666666666666666666666666666667,1.0555289181899910098891219658375786634701827989211866946359005094396164219358849,AVAILABLE,1174.1000000000000000000000000000000000000000000000000000000000000000000000000091,-1112.3333333333333333333333333333333333333333333333333333333333333333333333333268,53.699999999999999999999999999999999999999999999999999999999999999999999999999941,15,7,2,0,0,2026-08,-0.048717948717948717948717948717948717948717948717948717948717948717948717948717918,0.021886446886446886446886446886446886446886446886446886446886446886446886446886647,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.025434521321280686366188153063139471291197395519965720351849659257397791314587452,0.081373339331598699835452990621631041833848049347891285493114153474535742366396747,0.8406,AVAILABLE,WHOLE_SESSION
