entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,context_field,context_value,evidence_label,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,approach_side,ABOVE,DESCRIPTIVE_ONLY,1667,1667,0,0,0,0,0,105,163,163,170,7,812,855,0,0.48710257948410317936412717456508698260347930413917216556688662267546490701859628,1.0000000000,-1.0000000000,-0.025794841031793641271745650869826034793041391721655668866226754649070185962807439,-1.00000000000,0.94970760233918128654970760233918128654970760233918128654970760233918128654970760,AVAILABLE,812.0000000000,-855.0000000000,104.0000000000,21,5,4,0,0,2026-03,-0.17460317460317460317460317460317460317460317460317460317460317460317460317460317,-0.038437303087586641461877756773787019533711405166981726528040327662255828607435413,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,approach_side,BELOW,DESCRIPTIVE_ONLY,1644,1644,0,0,0,0,0,101,163,163,170,7,768,876,0,0.46715328467153284671532846715328467153284671532846715328467153284671532846715328,1.0000000000,-0.99892694063926940639269406392694063926940639269406392694063926940639269406392694,-0.065121654501216545012165450121654501216545012165450121654501216545012165450121655,-1.00000000000,0.87765410371860215299522318469590656640687495714579571686512924828011793477018719,AVAILABLE,768.0000000000,-875.0600000000,130.0600000000,20,2,7,0,0,2026-09,-0.35714285714285714285714285714285714285714285714285714285714285714285714285714286,-0.083720608575380359612724757952973720608575380359612724757952973720608575380359613,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,breach_history,COMPLETED_CLOSE_THROUGH,DESCRIPTIVE_ONLY,2991,2991,0,0,0,0,0,185,164,164,170,6,1432,1559,0,0.47876964226011367435640254095620193915078569040454697425610163824807756603142762,1.0000000000,-0.99939704939063502245028864656831302116741500962155227710070558050032071840923669,-0.042146439317953861584754262788365095285857572718154463390170511534603811434302909,-1.00000000000,0.91909169094900068033323492034966560979679858285303518478107389959308370666084746,AVAILABLE,1432.0000000000,-1558.0600000000,158.0600000000,16,4,5,0,0,2026-02,-0.10736196319018404907975460122699386503067484662576687116564417177914110429447853,-0.051148416634872186188477680274704311331552842426554750095383441434566959175887066,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,breach_history,NEVER_BREACHED,DESCRIPTIVE_ONLY,300,300,0,0,0,0,0,20,142,142,170,28,141,159,0,0.47,1.0000000000,-1.0000000000,-0.0600000000,-1.00000000000,0.88679245283018867924528301886792452830188679245283018867924528301886792452830189,AVAILABLE,141.0000000000,-159.0000000000,29.0000000000,9,4,4,1,0,2026-02,-0.36585365853658536585365853658536585365853658536585365853658536585365853658536585,-0.099236641221374045801526717557251908396946564885496183206106870229007633587786260,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,breach_history,PENETRATED_NO_CLOSE_THROUGH,DESCRIPTIVE_ONLY,20,20,0,0,0,0,0,1,17,17,170,153,7,13,0,0.35,1.0000000000,-1.0000000000,-0.3000000000,-1.00000000000,0.53846153846153846153846153846153846153846153846153846153846153846153846153846154,AVAILABLE,7.0000000000,-13.0000000000,8.0000000000,4,1,4,1,3,2026-01,-1.0000000000,-0.5000000000,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,confluence,ISOLATED,DESCRIPTIVE_ONLY,1023,1023,0,0,0,0,0,66,164,164,170,6,489,534,0,0.47800586510263929618768328445747800586510263929618768328445747800586510263929619,1.0000000000,-0.99823970037453183520599250936329588014981273408239700374531835205992509363295880,-0.043069403714565004887585532746823069403714565004887585532746823069403714565004888,-1.00000000000,0.91734513938393426631148463587588639177578508985855250816043222151352568191197989,AVAILABLE,489.0000000000,-533.0600000000,69.0000000000,10,1,8,0,0,2026-09,-0.2000000000,-0.079977802441731409544950055493895671476137624861265260821309655937846836847946726,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,confluence,THREE_PLUS_IDENTITIES,DESCRIPTIVE_ONLY,1238,1238,0,0,0,0,0,85,98,98,170,72,578,660,0,0.46688206785137318255250403877221324717285945072697899838449111470113085621970921,1.0000000000,-1.0000000000,-0.066235864297253634894991922455573505654281098546042003231017770597738287560581583,-1.00000000000,0.87575757575757575757575757575757575757575757575757575757575757575757575757575758,AVAILABLE,578.0000000000,-660.0000000000,103.0000000000,21,2,7,0,0,2026-08,-0.23076923076923076923076923076923076923076923076923076923076923076923076923076923,-0.081081081081081081081081081081081081081081081081081081081081081081081081081081081,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,confluence,TWO_IDENTITIES,DESCRIPTIVE_ONLY,1050,1050,0,0,0,0,0,55,135,135,170,35,513,537,0,0.48857142857142857142857142857142857142857142857142857142857142857142857142857143,1.0000000000,-1.0000000000,-0.022857142857142857142857142857142857142857142857142857142857142857142857142857143,-1.00000000000,0.95530726256983240223463687150837988826815642458100558659217877094972067039106145,AVAILABLE,513.0000000000,-537.0000000000,61.0000000000,11,5,4,0,0,2026-02,-0.17209302325581395348837209302325581395348837209302325581395348837209302325581395,-0.035598705501618122977346278317152103559870550161812297734627831715210355987055016,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,creation_first_touch,False,DESCRIPTIVE_ONLY,2960,2960,0,0,0,0,0,181,164,164,170,6,1422,1538,0,0.48040540540540540540540540540540540540540540540540540540540540540540540540540541,1.0000000000,-0.99938881664499349804941482444733420026007802340702210663198959687906371911573472,-0.038871621621621621621621621621621621621621621621621621621621621621621621621621622,-1.00000000000,0.92514280509544194761427660598805511821269176219535997293534409847370954939950295,AVAILABLE,1422.0000000000,-1537.0600000000,150.0600000000,14,4,5,0,0,2026-02,-0.10566615620214395099540581929555895865237366003062787136294027565084226646248086,-0.048615503278056305437716930196683378326263015811801002699575780948708060161974547,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,creation_first_touch,True,DESCRIPTIVE_ONLY,351,351,0,0,0,0,0,25,149,149,170,21,158,193,0,0.45014245014245014245014245014245014245014245014245014245014245014245014245014245,1.0000000000,-1.0000000000,-0.099715099715099715099715099715099715099715099715099715099715099715099715099715100,-1.00000000000,0.81865284974093264248704663212435233160621761658031088082901554404145077720207254,AVAILABLE,158.0000000000,-193.0000000000,39.0000000000,9,2,6,1,0,2026-09,-0.38461538461538461538461538461538461538461538461538461538461538461538461538461538,-0.12852664576802507836990595611285266457680250783699059561128526645768025078369906,AVAILABLE,AVAILABLE,AVAILABLE
