entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,206,167,167,170,3,1580,1731,0,0.47719722138326789489580187254605859257022047719722138326789489580187254605859257,1.0000000000,-0.99945696129404968226458694396302715193529751588677065280184864240323512420566147,-0.045321655089096949562065841135608577469042585321655089096949562065841135608577469,-1.00000000000,0.91326312382229518051397061373593979399558396818607447140561599019687178479359097,AVAILABLE,1580.0000000000,-1730.0600000000,185.0600000000,17,3,6,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.055576259489302967563837129054520358868184955141476880607315389924085576259489303,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.088712881243920243712878715078807128635420301876231756516402908504830930091021433,-0.0015771023858306478991062983121514685175113867345199379465345125847350193833520427,0.0201,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,3311,3311,0,0,0,0,0,206,167,167,170,3,1786,1525,0,0.53941407429779522802778616732105104198127453941407429779522802778616732105104198,1.0000000000,-0.99938360655737704918032786885245901639344262295081967213114754098360655737704918,0.079112050739957716701902748414376321353065539112050739957716701902748414376321353,1.00000000000,1.1718698738894794168208600711258086951957272023411151791924202459220765586656693,AVAILABLE,1786.0000000000,-1524.0600000000,44.0000000000,17,8,1,0,0,2026-08,-0.072727272727272727272727272727272727272727272727272727272727272727272727272727273,0.066758853288364249578414839797639123102866779089376053962900505902192242833052277,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,0.035971199250884402904542345718703927398449913674853045288088003069823752597532678,0.12217089073134223635895876698552283836564773019622517950277147601562317281380827,0.9995,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,3311,3311,0,0,0,0,0,206,167,167,170,3,1580,1731,0,0.47719722138326789489580187254605859257022047719722138326789489580187254605859257,0.9600000000,-1.0394569612940496822645869439630271519352975158867706528018486424032351242056615,-0.085321655089096949562065841135608577469042585321655089096949562065841135608577469,-1.04000000000,0.84299449786027899738787306174623464680709164675151447785249819374201078197076641,AVAILABLE,1516.8000000000,-1799.3000000000,303.2200000000,17,0,9,0,0,2026-02,-0.15908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.095576259489302967563837129054520358868184955141476880607315389924085576259489303,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.12871288124392024371287871507880712863542030187623175651640290850483093009102144,-0.041577102385830647899106298312151468517511386734519937946534512584735019383352043,0.0002,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,3311,3311,0,0,0,0,0,206,167,167,170,3,1786,1525,0,0.53941407429779522802778616732105104198127453941407429779522802778616732105104198,0.9600000000,-1.0393836065573770491803278688524590163934426229508196721311475409836065573770492,0.039112050739957716701902748414376321353065539112050739957716701902748414376321353,0.96000000000,1.0817003772727846264494719442797118090166933743833041020529191323987735480044919,AVAILABLE,1714.5600000000,-1585.0600000000,57.4400000000,17,7,2,0,0,2026-08,-0.11272727272727272727272727272727272727272727272727272727272727272727272727272727,0.026758853288364249578414839797639123102866779089376053962900505902192242833052277,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.0040288007491155970954576542812960726015500863251469547119119969301762474024673217,0.082170890731342236358958766985522838365647730196225179502771476015623172813808265,0.9608,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,3311,3311,0,0,0,0,0,206,167,167,170,3,1580,1731,0,0.47719722138326789489580187254605859257022047719722138326789489580187254605859257,0.9200000000,-1.0794569612940496822645869439630271519352975158867706528018486424032351242056615,-0.12532165508909694956206584113560857746904258532165508909694956206584113560857747,-1.08000000000,0.77793357380628726171235296006507754717586993053399980733620901880612670855320197,AVAILABLE,1453.6000000000,-1868.5400000000,423.7000000000,17,0,9,0,0,2026-02,-0.19908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.13557625948930296756383712905452035886818495514147688060731538992408557625948930,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.16871288124392024371287871507880712863542030187623175651640290850483093009102144,-0.081577102385830647899106298312151468517511386734519937946534512584735019383352043,0,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,target_first,3311,3311,0,0,0,0,0,206,167,167,170,3,1786,1525,0,0.53941407429779522802778616732105104198127453941407429779522802778616732105104198,0.9200000000,-1.0793836065573770491803278688524590163934426229508196721311475409836065573770492,-0.00088794926004228329809725158562367864693446088794926004228329809725158562367864693,0.92000000000,0.99821391686815790432912530527441284035818864439935360800942857490006439619454941,AVAILABLE,1643.1200000000,-1646.0600000000,70.8800000000,17,3,6,0,0,2026-08,-0.15272727272727272727272727272727272727272727272727272727272727272727272727272727,-0.013241146711635750421585160202360876897133220910623946037099494097807757166947723,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.044028800749115597095457654281296072601550086325146954711911996930176247402467322,0.042170890731342236358958766985522838365647730196225179502771476015623172813808265,0.4824,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1304,2007,0,0.39383871942011476895197825430383569918453639383871942011476895197825430383569918,1.4965030674846625766871165644171779141104294478527607361963190184049079754601227,-0.99923268560039860488290981564524165421026407573492775286497259591429995017438964,-0.016315312594382361824222289338568408335850196315312594382361824222289338568408336,-1.00000000000,0.97306353654523151795598017412463973352747000688121428500194469099358750610832427,AVAILABLE,1951.4400000000,-2005.4600000000,110.5200000000,17,4,5,0,0,2026-08,-0.10227272727272727272727272727272727272727272727272727272727272727272727272727273,-0.030545203588681849551414768806073153899240855762594893029675638371290545203588682,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.066627959053599226752595301225917024817546428625596860681720723664707350400480936,0.034534143974952369822171609967956644987348446345725786067799281946192167723454159,0.2642,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0,target_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1420,1891,0,0.42887345212926608275445484747810329205678042887345212926608275445484747810329206,1.4967887323943661971830985915492957746478873239436619718309859154929577464788732,-0.99918561607615018508725542041248016922263352723426758328926493918561607615018509,0.071271519178495922681969193597100573844759891271519178495922681969193597100573845,-1.00000000000,1.1248928265218633895398685338668190911689054015432980851671906258931123178050872,AVAILABLE,2125.4400000000,-1889.4600000000,54.5000000000,17,8,1,0,0,2026-08,-0.090909090909090909090909090909090909090909090909090909090909090909090909090909091,0.050455311973018549747048903878583473861720067453625632377740303541315345699831366,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,0.018883918898003405045658566785327348707630397771242841665376876644482278285095187,0.12285270066323073448183815527401901398328576415268680314572596045255744235231309,0.9962,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0.01,stop_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1304,2007,0,0.39383871942011476895197825430383569918453639383871942011476895197825430383569918,1.4565030674846625766871165644171779141104294478527607361963190184049079754601227,-1.0392326856003986048829098156452416542102640757349277528649725959142999501743896,-0.056315312594382361824222289338568408335850196315312594382361824222289338568408336,-1.04000000000,0.91060247202431750841427982394737599125490233682050495267866560549253502354080566,AVAILABLE,1899.2800000000,-2085.7400000000,223.1200000000,17,4,5,0,0,2026-08,-0.14227272727272727272727272727272727272727272727272727272727272727272727272727273,-0.070545203588681849551414768806073153899240855762594893029675638371290545203588682,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.10662795905359922675259530122591702481754642862559686068172072366470735040048094,-0.0054658560250476301778283900320433550126515536542742139322007180538078322765458405,0.0149,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0.01,target_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1420,1891,0,0.42887345212926608275445484747810329205678042887345212926608275445484747810329206,1.4567887323943661971830985915492957746478873239436619718309859154929577464788732,-1.0391856160761501850872554204124801692226335272342675832892649391856160761501851,0.031271519178495922681969193597100573844759891271519178495922681969193597100573845,-1.04000000000,1.0526894305633301104269502824283751463029871253371329703322986107577222533204417,AVAILABLE,2068.6400000000,-1965.1000000000,76.9000000000,17,7,2,0,0,2026-08,-0.13090909090909090909090909090909090909090909090909090909090909090909090909090909,0.010455311973018549747048903878583473861720067453625632377740303541315345699831366,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.021116081101996594954341433214672651292369602228757158334623123355517721714904813,0.082852700663230734481838155274019013983285764152686803145725960452557442352313094,0.8759,AVAILABLE,WHOLE_SESSION
