entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,direction,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,LONG,1667,1667,0,0,0,0,0,105,163,163,170,7,812,855,0,0.48710257948410317936412717456508698260347930413917216556688662267546490701859628,1.0000000000,-1.0000000000,-0.025794841031793641271745650869826034793041391721655668866226754649070185962807439,-1.00000000000,0.94970760233918128654970760233918128654970760233918128654970760233918128654970760,AVAILABLE,812.0000000000,-855.0000000000,104.0000000000,21,5,4,0,0,2026-03,-0.17460317460317460317460317460317460317460317460317460317460317460317460317460317,-0.038437303087586641461877756773787019533711405166981726528040327662255828607435413,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,SHORT,1644,1644,0,0,0,0,0,101,163,163,170,7,768,876,0,0.46715328467153284671532846715328467153284671532846715328467153284671532846715328,1.0000000000,-0.99892694063926940639269406392694063926940639269406392694063926940639269406392694,-0.065121654501216545012165450121654501216545012165450121654501216545012165450121655,-1.00000000000,0.87765410371860215299522318469590656640687495714579571686512924828011793477018719,AVAILABLE,768.0000000000,-875.0600000000,130.0600000000,20,2,7,0,0,2026-09,-0.35714285714285714285714285714285714285714285714285714285714285714285714285714286,-0.083720608575380359612724757952973720608575380359612724757952973720608575380359613,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,LONG,1667,1667,0,0,0,0,0,105,163,163,170,7,917,750,0,0.55008998200359928014397120575884823035392921415716856628674265146970605878824235,1.0000000000,-1.0000000000,0.10017996400719856028794241151769646070785842831433713257348530293941211757648470,1.00000000000,1.2226666666666666666666666666666666666666666666666666666666666666666666666666667,AVAILABLE,917.0000000000,-750.0000000000,25.0000000000,11,9,0,0,0,2026-02,0.022988505747126436781609195402298850574712643678160919540229885057471264367816092,0.087103308575286968264686022957461174881836596893990546927751519243754220121539500,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,SHORT,1644,1644,0,0,0,0,0,101,163,163,170,7,869,775,0,0.52858880778588807785888077858880778588807785888077858880778588807785888077858881,1.0000000000,-0.99878709677419354838709677419354838709677419354838709677419354838709677419354839,0.057749391727493917274939172749391727493917274939172749391727493917274939172749392,1.00000000000,1.1226519908017466346278066299770043665865695165749425109164664237914373562772912,AVAILABLE,869.0000000000,-774.0600000000,53.0000000000,20,5,4,0,0,2026-09,-0.35714285714285714285714285714285714285714285714285714285714285714285714285714286,0.032485875706214689265536723163841807909604519774011299435028248587570621468926554,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,LONG,1667,1667,0,0,0,0,0,105,163,163,170,7,812,855,0,0.48710257948410317936412717456508698260347930413917216556688662267546490701859628,0.9600000000,-1.0400000000,-0.065794841031793641271745650869826034793041391721655668866226754649070185962807439,-1.04000000000,0.87665317139001349527665317139001349527665317139001349527665317139001349527665317,AVAILABLE,779.5200000000,-889.2000000000,134.5600000000,21,4,5,0,0,2026-03,-0.21460317460317460317460317460317460317460317460317460317460317460317460317460317,-0.078437303087586641461877756773787019533711405166981726528040327662255828607435413,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,SHORT,1644,1644,0,0,0,0,0,101,163,163,170,7,768,876,0,0.46715328467153284671532846715328467153284671532846715328467153284671532846715328,0.9600000000,-1.0389269406392694063926940639269406392694063926940639269406392694063926940639269,-0.10512165450121654501216545012165450121654501216545012165450121654501216545012165,-1.04000000000,0.81010877925502692011866827821118558400175804856609163828150752664542357982639270,AVAILABLE,737.2800000000,-910.1000000000,187.1400000000,20,1,8,0,0,2026-09,-0.39714285714285714285714285714285714285714285714285714285714285714285714285714286,-0.12372060857538035961272475795297372060857538035961272475795297372060857538035961,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,LONG,1667,1667,0,0,0,0,0,105,163,163,170,7,917,750,0,0.55008998200359928014397120575884823035392921415716856628674265146970605878824235,0.9600000000,-1.0400000000,0.060179964007198560287942411517696460707858428314337132573485302939412117576484703,0.96000000000,1.1286153846153846153846153846153846153846153846153846153846153846153846153846154,AVAILABLE,880.3200000000,-780.0000000000,31.9200000000,11,6,3,0,0,2026-02,-0.017011494252873563218390804597701149425287356321839080459770114942528735632183908,0.047103308575286968264686022957461174881836596893990546927751519243754220121539500,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,SHORT,1644,1644,0,0,0,0,0,101,163,163,170,7,869,775,0,0.52858880778588807785888077858880778588807785888077858880778588807785888077858881,0.9600000000,-1.0387870967741935483870967741935483870967741935483870967741935483870967741935484,0.017749391727493917274939172749391727493917274939172749391727493917274939172749392,0.96000000000,1.0362457456587086676769433334161428961816510570640697587757434228504707723647927,AVAILABLE,834.2400000000,-805.0600000000,66.0800000000,20,4,5,0,0,2026-09,-0.39714285714285714285714285714285714285714285714285714285714285714285714285714286,-0.0075141242937853107344632768361581920903954802259887005649717514124293785310734463,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,LONG,1667,1667,0,0,0,0,0,105,163,163,170,7,812,855,0,0.48710257948410317936412717456508698260347930413917216556688662267546490701859628,0.9200000000,-1.0800000000,-0.10579484103179364127174565086982603479304139172165566886622675464907018596280744,-1.08000000000,0.80901017977041368854234351310374702187567684643708035520901017977041368854234351,AVAILABLE,747.0400000000,-923.4000000000,193.0400000000,21,2,7,0,0,2026-03,-0.25460317460317460317460317460317460317460317460317460317460317460317460317460317,-0.11843730308758664146187775677378701953371140516698172652804032766225582860743541,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.02,stop_first,SHORT,1644,1644,0,0,0,0,0,101,163,163,170,7,768,876,0,0.46715328467153284671532846715328467153284671532846715328467153284671532846715328,0.9200000000,-1.0789269406392694063926940639269406392694063926940639269406392694063926940639269,-0.14512165450121654501216545012165450121654501216545012165450121654501216545012165,-1.08000000000,0.74757178830649427598027805404490340055441521890936792432867088473665277101805024,AVAILABLE,706.5600000000,-945.1400000000,249.6600000000,20,0,9,0,0,2026-09,-0.43714285714285714285714285714285714285714285714285714285714285714285714285714286,-0.16372060857538035961272475795297372060857538035961272475795297372060857538035961,AVAILABLE,AVAILABLE,AVAILABLE
