model,cost_per_share_roundtrip,ambiguity_sensitivity,comparison,natural_primary_mean_r,natural_control_mean_r,common_primary_mean_r,common_control_mean_r,paired_mean_r_difference,population_warning,common_primary_eligible_entries,common_primary_executable_outcomes,common_primary_unavailable_outcomes,common_primary_atr_unavailable,common_primary_path_unavailable,common_primary_entry_unavailable,common_primary_invalid_risk,common_primary_ambiguous_outcomes,common_primary_eligible_sessions,common_primary_contributing_sessions,common_primary_calendar_sessions,common_primary_zero_outcome_sessions,common_primary_wins,common_primary_losses,common_primary_zero_r_outcomes,common_primary_win_rate,common_primary_average_win_r,common_primary_average_loss_r,common_primary_median_r,common_primary_profit_factor,common_primary_profit_factor_status,common_primary_sum_positive_r,common_primary_sum_negative_r,common_primary_event_order_max_drawdown_r,common_primary_longest_losing_streak,common_primary_positive_months,common_primary_negative_months,common_primary_zero_months,common_primary_empty_months,common_primary_worst_month,common_primary_worst_month_mean_r,common_primary_lomo_minimum_mean_r,common_primary_numeric_status,common_primary_average_win_status,common_primary_average_loss_status,common_control_eligible_entries,common_control_executable_outcomes,common_control_unavailable_outcomes,common_control_atr_unavailable,common_control_path_unavailable,common_control_entry_unavailable,common_control_invalid_risk,common_control_ambiguous_outcomes,common_control_eligible_sessions,common_control_contributing_sessions,common_control_calendar_sessions,common_control_zero_outcome_sessions,common_control_wins,common_control_losses,common_control_zero_r_outcomes,common_control_win_rate,common_control_average_win_r,common_control_average_loss_r,common_control_median_r,common_control_profit_factor,common_control_profit_factor_status,common_control_sum_positive_r,common_control_sum_negative_r,common_control_event_order_max_drawdown_r,common_control_longest_losing_streak,common_control_positive_months,common_control_negative_months,common_control_zero_months,common_control_empty_months,common_control_worst_month,common_control_worst_month_mean_r,common_control_lomo_minimum_mean_r,common_control_numeric_status,common_control_average_win_status,common_control_average_loss_status,left_eligible_entries,right_eligible_entries,left_missing_partner,right_missing_partner,common_eligible_identities,common_usable_identities,common_unavailable_attrition,left_common_atr_unavailable,right_common_atr_unavailable,common_contributing_sessions,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
USD025_TARGET_1R,0,stop_first,IMMEDIATE_MINUS_MOMENTUM,-0.045321655089096949562065841135608577469042585321655089096949562065841135608577469,-0.097954714475431606905710491367861885790172642762284196547144754316069057104913679,-0.028660436137071651090342679127725856697819314641744548286604361370716510903426791,-0.090367352024922118380062305295950155763239875389408099688473520249221183800623053,0.061706915887850467289719626168224299065420560747663551401869158878504672897196262,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,200,167,167,170,3,1559,1651,0,0.48566978193146417445482866043613707165109034267912772585669781931464174454828660,1.0000000000,-1.0000000000,-1.00000000000,0.94427619624470018170805572380375529981829194427619624470018170805572380375529982,AVAILABLE,1559.0000000000,-1651.0000000000,138.0000000000,17,4,5,0,0,2026-02,-0.10588235294117647058823529411764705882352941176470588235294117647058823529411765,-0.041281138790035587188612099644128113879003558718861209964412811387900355871886121,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,207,167,167,170,3,1460,1750,0,0.45482866043613707165109034267912772585669781931464174454828660436137071651090343,1.0000000000,-1.0000452571428571428571428571428571428571428571428571428571428571428571428571429,-1.00000000000,0.83424795860667334369781664738372983348410746210800059791579718220752523657215056,AVAILABLE,1460.0000000000,-1750.0792000000,313.0792000000,18,1,8,0,0,2026-07,-0.17004390977443609022556390977443609022556390977443609022556390977443609022556391,-0.10279810276679841897233201581027667984189723320158102766798418972332015810276680,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0058340236824820238831412927238980032058600007782579118590096714954600840424778794,0.11968249883676984558002701065138184670404949692505802630886532176391659020998046,0.9827,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1R,0,target_first,IMMEDIATE_MINUS_MOMENTUM,0.079112050739957716701902748414376321353065539112050739957716701902748414376321353,0.052111686586985391766268260292164674634794156706507304116865869853917662682602922,0.095950155763239875389408099688473520249221183800623052959501557632398753894080997,0.038604610591900311526479750778816199376947040498442367601246105919003115264797508,0.057345545171339563862928348909657320872274143302180685358255451713395638629283489,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,200,167,167,170,3,1759,1451,0,0.54797507788161993769470404984423676012461059190031152647975077881619937694704050,1.0000000000,-1.0000000000,1.00000000000,1.2122674017918676774638180565127498277050310130944176430048242591316333563059959,AVAILABLE,1759.0000000000,-1451.0000000000,30.0000000000,17,8,1,0,0,2026-08,-0.0097087378640776699029126213592233009708737864077669902912621359223300970873786408,0.085535465924895688456189151599443671766342141863699582753824756606397774687065369,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,207,167,167,170,3,1667,1543,0,0.51931464174454828660436137071651090342679127725856697819314641744548286604361371,1.0000000000,-1.0000513285806869734283862605314322747893713545042125729099157485418016850291640,1.00000000000,1.0803074787088050956814141490598797521216020538673582017047472352682869421089987,AVAILABLE,1667.0000000000,-1543.0792000000,34.0000000000,14,6,3,0,0,2026-04,-0.021406727828746177370030581039755351681957186544342507645259938837920489296636086,0.016569486166007905138339920948616600790513833992094861660079051383399209486166008,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0059002362025374120219574972097578753160376284080814522925540395872719404140947088,0.10931559642953246035099918903448868948158313043783815273707795348183464995787972,0.9851,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1R,0.01,stop_first,IMMEDIATE_MINUS_MOMENTUM,-0.085321655089096949562065841135608577469042585321655089096949562065841135608577469,-0.13795471447543160690571049136786188579017264276228419654714475431606905710491368,-0.068660436137071651090342679127725856697819314641744548286604361370716510903426791,-0.13036735202492211838006230529595015576323987538940809968847352024922118380062305,0.061706915887850467289719626168224299065420560747663551401869158878504672897196262,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,200,167,167,170,3,1559,1651,0,0.48566978193146417445482866043613707165109034267912772585669781931464174454828660,0.9600000000,-1.0400000000,-1.04000000000,0.87163956576433862926897451428038950752457717933187345664632157666682197269719983,AVAILABLE,1496.6400000000,-1717.0400000000,252.5600000000,17,1,8,0,0,2026-02,-0.14588235294117647058823529411764705882352941176470588235294117647058823529411765,-0.081281138790035587188612099644128113879003558718861209964412811387900355871886121,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,207,167,167,170,3,1460,1750,0,0.45482866043613707165109034267912772585669781931464174454828660436137071651090343,0.9600000000,-1.0400452571428571428571428571428571428571428571428571428571428571428571428571429,-1.04000000000,0.77007637909383283980169654155709268036248092940131396479889446569138310025190113,AVAILABLE,1401.6000000000,-1820.0792000000,436.9592000000,18,1,8,0,0,2026-07,-0.21004390977443609022556390977443609022556390977443609022556390977443609022556391,-0.14279810276679841897233201581027667984189723320158102766798418972332015810276680,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0058340236824820238831412927238980032058600007782579118590096714954600840424778794,0.11968249883676984558002701065138184670404949692505802630886532176391659020998046,0.9827,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1R,0.01,target_first,IMMEDIATE_MINUS_MOMENTUM,0.039112050739957716701902748414376321353065539112050739957716701902748414376321353,0.012111686586985391766268260292164674634794156706507304116865869853917662682602922,0.055950155763239875389408099688473520249221183800623052959501557632398753894080997,-0.0013953894080996884735202492211838006230529595015576323987538940809968847352024922,0.057345545171339563862928348909657320872274143302180685358255451713395638629283489,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,200,167,167,170,3,1759,1451,0,0.54797507788161993769470404984423676012461059190031152647975077881619937694704050,0.9600000000,-1.0400000000,0.96000000000,1.1190160631924932407358320521656152255738747813179239781582993161215077135132270,AVAILABLE,1688.6400000000,-1509.0400000000,42.8000000000,17,7,2,0,0,2026-08,-0.049708737864077669902912621359223300970873786407766990291262135922330097087378641,0.045535465924895688456189151599443671766342141863699582753824756606397774687065369,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,207,167,167,170,3,1667,1543,0,0.51931464174454828660436137071651090342679127725856697819314641744548286604361371,0.9600000000,-1.0400513285806869734283862605314322747893713545042125729099157485418016850291640,0.96000000000,0.99720887198847058248782776063198436290347103861966032884363352125300162163590311,AVAILABLE,1600.3200000000,-1604.7992000000,67.3592000000,14,4,5,0,0,2026-04,-0.061406727828746177370030581039755351681957186544342507645259938837920489296636086,-0.023430513833992094861660079051383399209486166007905138339920948616600790513833992,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0059002362025374120219574972097578753160376284080814522925540395872719404140947088,0.10931559642953246035099918903448868948158313043783815273707795348183464995787972,0.9851,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1R,0.02,stop_first,IMMEDIATE_MINUS_MOMENTUM,-0.12532165508909694956206584113560857746904258532165508909694956206584113560857747,-0.17795471447543160690571049136786188579017264276228419654714475431606905710491368,-0.10866043613707165109034267912772585669781931464174454828660436137071651090342679,-0.17036735202492211838006230529595015576323987538940809968847352024922118380062305,0.061706915887850467289719626168224299065420560747663551401869158878504672897196262,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,200,167,167,170,3,1559,1651,0,0.48566978193146417445482866043613707165109034267912772585669781931464174454828660,0.9200000000,-1.0800000000,-1.08000000000,0.80438342643067052515871413509208784799335980438342643067052515871413509208784799,AVAILABLE,1434.2800000000,-1783.0800000000,367.6800000000,17,0,9,0,0,2026-02,-0.18588235294117647058823529411764705882352941176470588235294117647058823529411765,-0.12128113879003558718861209964412811387900355871886120996441281138790035587188612,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,207,167,167,170,3,1460,1750,0,0.45482866043613707165109034267912772585669781931464174454828660436137071651090343,0.9200000000,-1.0800452571428571428571428571428571428571428571428571428571428571428571428571429,-1.08000000000,0.71065805073141908550710467582522467841559232015251001122069382066106012912051516,AVAILABLE,1343.2000000000,-1890.0792000000,561.0792000000,18,1,8,0,0,2026-07,-0.25004390977443609022556390977443609022556390977443609022556390977443609022556391,-0.18279810276679841897233201581027667984189723320158102766798418972332015810276680,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0058340236824820238831412927238980032058600007782579118590096714954600840424778794,0.11968249883676984558002701065138184670404949692505802630886532176391659020998046,0.9827,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1R,0.02,target_first,IMMEDIATE_MINUS_MOMENTUM,-0.00088794926004228329809725158562367864693446088794926004228329809725158562367864693,-0.027888313413014608233731739707835325365205843293492695883134130146082337317397078,0.015950155763239875389408099688473520249221183800623052959501557632398753894080997,-0.041395389408099688473520249221183800623052959501557632398753894080996884735202492,0.057345545171339563862928348909657320872274143302180685358255451713395638629283489,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,200,167,167,170,3,1759,1451,0,0.54797507788161993769470404984423676012461059190031152647975077881619937694704050,0.9200000000,-1.0800000000,0.92000000000,1.0326722311560354289506598259182683717487301222656150292263317762973173035199224,AVAILABLE,1618.2800000000,-1567.0800000000,55.6000000000,17,5,4,0,0,2026-08,-0.089708737864077669902912621359223300970873786407766990291262135922330097087378641,0.0055354659248956884561891515994436717663421418636995827538247566063977746870653686,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,207,167,167,170,3,1667,1543,0,0.51931464174454828660436137071651090342679127725856697819314641744548286604361371,0.9200000000,-1.0800513285806869734283862605314322747893713545042125729099157485418016850291640,0.92000000000,0.92026542508481150412188470435864165261342323568789366483146428796019871838260249,AVAILABLE,1533.6400000000,-1666.5192000000,147.0792000000,14,2,7,0,0,2026-04,-0.10140672782874617737003058103975535168195718654434250764525993883792048929663609,-0.063430513833992094861660079051383399209486166007905138339920948616600790513833992,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0059002362025374120219574972097578753160376284080814522925540395872719404140947088,0.10931559642953246035099918903448868948158313043783815273707795348183464995787972,0.9851,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1.5R,0,stop_first,IMMEDIATE_MINUS_MOMENTUM,-0.016315312594382361824222289338568408335850196315312594382361824222289338568408336,-0.058724966799468791500664010624169986719787516600265604249667994687915006640106242,0.0011962616822429906542056074766355140186915887850467289719626168224299065420560748,-0.056491962616822429906542056074766355140186915887850467289719626168224299065420561,0.057688224299065420560747663551401869158878504672897196261682242990654205607476636,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,114,167,167,170,3,1286,1924,0,0.40062305295950155763239875389408099688473520249221183800623052959501557632398754,1.4990979782270606531881804043545878693623639191290824261275272161741835147744946,-1.0000000000,-1.00000000000,1.0019958419958419958419958419958419958419958419958419958419958419958419958419958,AVAILABLE,1927.8400000000,-1924.0000000000,99.5000000000,17,6,3,0,0,2026-02,-0.077205882352941176470588235294117647058823529411764705882352941176470588235294118,-0.015537366548042704626334519572953736654804270462633451957295373665480427046263345,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,99,167,167,170,3,1212,1998,0,0.37757009345794392523364485981308411214953271028037383177570093457943925233644860,1.4989768976897689768976897689768976897689768976897689768976897689768976897689769,-1.0000496496496496496496496496496496496496496496496496496496496496496496496496496,-1.00000000000,0.90924414563601246624792202509264805270929491388615740399675851929673962133611785,AVAILABLE,1816.7600000000,-1998.0992000000,205.3392000000,31,3,6,0,0,2026-07,-0.20126195488721804511278195488721804511278195488721804511278195488721804511278195,-0.073651857707509881422924901185770750988142292490118577075098814229249011857707510,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,-0.0014937000599529652667906954372185946956227463955212214600694354973089879630249965,0.11923396631747602087343268169377171091447253969796794198329803455668719381845265,0.9727,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1.5R,0,target_first,IMMEDIATE_MINUS_MOMENTUM,0.071271519178495922681969193597100573844759891271519178495922681969193597100573845,0.036311553784860557768924302788844621513944223107569721115537848605577689243027888,0.089981308411214953271028037383177570093457943925233644859813084112149532710280374,0.020610841121495327102803738317757009345794392523364485981308411214953271028037383,0.069370467289719626168224299065420560747663551401869158878504672897196261682242991,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,114,167,167,170,3,1400,1810,0,0.43613707165109034267912772585669781931464174454828660436137071651090342679127726,1.4991714285714285714285714285714285714285714285714285714285714285714285714285714,-1.0000000000,-1.00000000000,1.1595801104972375690607734806629834254143646408839779005524861878453038674033149,AVAILABLE,2098.8400000000,-1810.0000000000,46.5000000000,17,8,1,0,0,2026-08,-0.029126213592233009708737864077669902912621359223300970873786407766990291262135922,0.071397774687065368567454798331015299026425591098748261474269819193324061196105702,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,99,167,167,170,3,1311,1899,0,0.40841121495327102803738317757009345794392523364485981308411214953271028037383178,1.4990541571319603356216628527841342486651411136536994660564454614797864225781846,-1.0000522380200105318588730911005792522380200105318588730911005792522380200105319,-1.00000000000,1.0348379905588923422220387434210914311374571691673610309561501579275058406638263,AVAILABLE,1965.2600000000,-1899.0992000000,95.8392000000,28,6,3,0,0,2026-07,-0.084720601503759398496240601503759398496240601503759398496240601503759398496240602,-0.0025056126482213438735177865612648221343873517786561264822134387351778656126482213,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0088688318273131828383308352689504786633545177147914737323487294721752687553938351,0.13145529690566367148350096311979991484686848123542864389932165730723398087595725,0.9881,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1.5R,0.01,stop_first,IMMEDIATE_MINUS_MOMENTUM,-0.056315312594382361824222289338568408335850196315312594382361824222289338568408336,-0.098724966799468791500664010624169986719787516600265604249667994687915006640106242,-0.038803738317757009345794392523364485981308411214953271028037383177570093457943925,-0.096491962616822429906542056074766355140186915887850467289719626168224299065420561,0.057688224299065420560747663551401869158878504672897196261682242990654205607476636,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,114,167,167,170,3,1286,1924,0,0.40062305295950155763239875389408099688473520249221183800623052959501557632398754,1.4590979782270606531881804043545878693623639191290824261275272161741835147744946,-1.0400000000,-1.04000000000,0.93774988005757236526467295698064928834159603390372621141851911082680313449544219,AVAILABLE,1876.4000000000,-2000.9600000000,177.8600000000,17,4,5,0,0,2026-02,-0.11720588235294117647058823529411764705882352941176470588235294117647058823529412,-0.055537366548042704626334519572953736654804270462633451957295373665480427046263345,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,99,167,167,170,3,1212,1998,0,0.37757009345794392523364485981308411214953271028037383177570093457943925233644860,1.4589768976897689768976897689768976897689768976897689768976897689768976897689769,-1.0400496496496496496496496496496496496496496496496496496496496496496496496496496,-1.04000000000,0.85094497683178288246807344224730936076047805525569734870592148522978036006597052,AVAILABLE,1768.2800000000,-2078.0192000000,330.6592000000,31,1,8,0,0,2026-07,-0.24126195488721804511278195488721804511278195488721804511278195488721804511278195,-0.11365185770750988142292490118577075098814229249011857707509881422924901185770751,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,-0.0014937000599529652667906954372185946956227463955212214600694354973089879630249965,0.11923396631747602087343268169377171091447253969796794198329803455668719381845265,0.9727,AVAILABLE,WHOLE_SESSION
USD025_TARGET_1.5R,0.01,target_first,IMMEDIATE_MINUS_MOMENTUM,0.031271519178495922681969193597100573844759891271519178495922681969193597100573845,-0.0036884462151394422310756972111553784860557768924302788844621513944223107569721116,0.049981308411214953271028037383177570093457943925233644859813084112149532710280374,-0.019389158878504672897196261682242990654205607476635514018691588785046728971962617,0.069370467289719626168224299065420560747663551401869158878504672897196261682242991,COMMON_CONTROL_AVAILABILITY_IS_LATER_INFORMATION_NOT_A_PRIMARY_ENTRY_FILTER,3210,3210,0,0,0,0,0,114,167,167,170,3,1400,1810,0,0.43613707165109034267912772585669781931464174454828660436137071651090342679127726,1.4591714285714285714285714285714285714285714285714285714285714285714285714285714,-1.0400000000,-1.04000000000,1.0852316192095197620059498512537186570335741606459838504037399065023374415639609,AVAILABLE,2042.8400000000,-1882.4000000000,60.0600000000,17,7,2,0,0,2026-08,-0.069126213592233009708737864077669902912621359223300970873786407766990291262135922,0.031397774687065368567454798331015299026425591098748261474269819193324061196105702,AVAILABLE,AVAILABLE,AVAILABLE,3210,3210,0,0,0,0,0,99,167,167,170,3,1311,1899,0,0.40841121495327102803738317757009345794392523364485981308411214953271028037383178,1.4590541571319603356216628527841342486651411136536994660564454614797864225781846,-1.0400522380200105318588730911005792522380200105318588730911005792522380200105319,-1.04000000000,0.96848742559210377086418472924760938811353097669173663250195234654232136434188909,AVAILABLE,1912.8200000000,-1975.0592000000,123.3392000000,28,4,5,0,0,2026-07,-0.12472060150375939849624060150375939849624060150375939849624060150375939849624060,-0.042505612648221343873517786561264822134387351778656126482213438735177865612648221,AVAILABLE,AVAILABLE,AVAILABLE,3311,6024,101,2814,3210,3210,0,0,0,167,10000,20260908,10000,0,0.0088688318273131828383308352689504786633545177147914737323487294721752687553938351,0.13145529690566367148350096311979991484686848123542864389932165730723398087595725,0.9881,AVAILABLE,WHOLE_SESSION
