entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,omitted_month,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01,2898,2898,0,0,0,0,0,197,147,147,150,3,1368,1530,0,0.47204968944099378881987577639751552795031055900621118012422360248447204968944099,1.0000000000,-0.99938562091503267973856209150326797385620915032679738562091503267973856209150327,-0.055576259489302967563837129054520358868184955141476880607315389924085576259489303,-1.00000000000,0.89466731194328541718441395367088276457431363059657567394346853622487018168024800,AVAILABLE,1368.0000000000,-1529.0600000000,176.0600000000,17,2,6,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.064841858648965247950019523623584537290121046466224131198750488090589613432253026,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-02,2614,2614,0,0,0,0,0,141,148,148,151,3,1273,1341,0,0.48699311400153022188217291507268553940321346595256312165263963274674827850038256,1.0000000000,-0.99929903057419835943325876211782252050708426547352721849366144668158090976882923,-0.025654169854628921193573068094873756694720734506503442999234889058913542463657230,-1.00000000000,0.94995746459113771025177977105502738683342536901332776144351745444233840275808546,AVAILABLE,1273.0000000000,-1340.0600000000,102.0600000000,17,3,5,0,0,2026-08,-0.081818181818181818181818181818181818181818181818181818181818181818181818181818182,-0.035465697410268059972739663789186733303044070876874148114493412085415720127214902,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-03,2894,2894,0,0,0,0,0,167,145,145,148,3,1384,1510,0,0.47823082239115411195577055977885279889426399447131997235659986178299930891499654,1.0000000000,-1.0000000000,-0.043538355217691776088458880442294402211472011057360055286800276434001382170006911,-1.00000000000,0.91655629139072847682119205298013245033112582781456953642384105960264900662251656,AVAILABLE,1384.0000000000,-1510.0000000000,161.0000000000,17,3,5,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.055219669488109633212414349052801289802498992341797662232970576380491737202740830,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-04,2974,2974,0,0,0,0,0,200,146,146,149,3,1409,1565,0,0.47377269670477471418964357767316745124411566913248150638870208473436449226630800,1.0000000000,-0.99939936102236421725239616613418530351437699680511182108626198083067092651757188,-0.052138533960995292535305985205110961667787491593813046402151983860121049092131809,-1.00000000000,0.90086058079613314067235272304131555055432656036213444497014181041648018618211578,AVAILABLE,1409.0000000000,-1564.0600000000,190.0600000000,17,2,6,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.064841858648965247950019523623584537290121046466224131198750488090589613432253026,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-05,3168,3168,0,0,0,0,0,198,149,149,150,1,1509,1659,0,0.47632575757575757575757575757575757575757575757575757575757575757575757575757576,1.0000000000,-0.99943339361060880048221820373719107896323086196503918022905364677516576250753466,-0.047051767676767676767676767676767676767676767676767676767676767676767676767676768,-1.00000000000,0.91009975513551982437306249472274827207700565721385233344993546675029854166917964,AVAILABLE,1509.0000000000,-1658.0600000000,184.0600000000,17,3,5,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.058098003629764065335753176043557168784029038112522686025408348457350272232304900,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-06,2965,2965,0,0,0,0,0,172,146,146,149,3,1409,1556,0,0.47521079258010118043844856661045531197301854974704890387858347386172006745362563,1.0000000000,-0.99939588688946015424164524421593830334190231362467866323907455012853470437017995,-0.049261382799325463743676222596964586846543001686340640809443507588532883642495784,-1.00000000000,0.90607436369014700397412318495749360153305981762761565470142631152495723637673144,AVAILABLE,1409.0000000000,-1555.0600000000,181.0600000000,17,3,5,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.061543887147335423197492163009404388714733542319749216300940438871473354231974922,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-07,2632,2632,0,0,0,0,0,162,145,145,148,3,1259,1373,0,0.47834346504559270516717325227963525835866261398176291793313069908814589665653495,1.0000000000,-0.99931536780772032046613255644573925710123816460305899490167516387472687545520757,-0.042955927051671732522796352583586626139817629179331306990881458966565349544072948,-1.00000000000,0.91759835575703686427707243123478565077328979782225267116598399486902905120767313,AVAILABLE,1259.0000000000,-1372.0600000000,148.0600000000,17,3,5,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.055908066696710229833258224425416854438936457863902658855340243352861649391617846,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-08,3091,3091,0,0,0,0,0,205,147,147,149,2,1479,1612,0,0.47848592688450339695891297314784859268845033969589129731478485926884503396958913,1.0000000000,-0.99941687344913151364764267990074441687344913151364764267990074441687344913151365,-0.042724037528307990941442898738272403752830799094144289873827240375283079909414429,-1.00000000000,0.91802912368254441175375218800044691072958176604223306394547689099102454284756620,AVAILABLE,1479.0000000000,-1611.0600000000,167.0600000000,16,3,5,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.053420463032113517550410754294249439880507841672890216579536967886482449589245706,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-09,3252,3252,0,0,0,0,0,206,163,163,166,3,1550,1702,0,0.47662976629766297662976629766297662976629766297662976629766297662976629766297663,1.0000000000,-0.99944770857814336075205640423031727379553466509988249118683901292596944770857814,-0.046451414514145141451414514145141451414514145141451414514145141451414514145141451,-1.00000000000,0.91119654803475479994826755082125263071261448743724501193373543555194996061279438,AVAILABLE,1550.0000000000,-1701.0600000000,176.0600000000,16,2,6,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.057083480098626276858048608665022895385699189855582951743571680169073617470940472,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-01,2898,2898,0,0,0,0,0,197,147,147,150,3,1565,1333,0,0.54002760524499654934437543133195307108350586611456176673567977915804002760524500,1.0000000000,-0.99929482370592648162040510127531882970742685671417854463615903975993998499624906,0.080379572118702553485162180814354727398205659075224292615596963423050379572118703,1.00000000000,1.1748720027626383195952134288245274236896235905289551521703226581385222887857904,AVAILABLE,1565.0000000000,-1332.0600000000,44.0000000000,17,7,1,0,0,2026-08,-0.072727272727272727272727272727272727272727272727272727272727272727272727272727273,0.066199059561128526645768025078369905956112852664576802507836990595611285266457680,AVAILABLE,AVAILABLE,AVAILABLE
