entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,206,167,167,170,3,1580,1731,0,0.47719722138326789489580187254605859257022047719722138326789489580187254605859257,1.0000000000,-0.99945696129404968226458694396302715193529751588677065280184864240323512420566147,-0.045321655089096949562065841135608577469042585321655089096949562065841135608577469,-1.00000000000,0.91326312382229518051397061373593979399558396818607447140561599019687178479359097,AVAILABLE,1580.0000000000,-1730.0600000000,185.0600000000,17,3,6,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-0.055576259489302967563837129054520358868184955141476880607315389924085576259489303,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.088712881243920243712878715078807128635420301876231756516402908504830930091021433,-0.0015771023858306478991062983121514685175113867345199379465345125847350193833520427,0.0201,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1304,2007,0,0.39383871942011476895197825430383569918453639383871942011476895197825430383569918,1.4965030674846625766871165644171779141104294478527607361963190184049079754601227,-0.99923268560039860488290981564524165421026407573492775286497259591429995017438964,-0.016315312594382361824222289338568408335850196315312594382361824222289338568408336,-1.00000000000,0.97306353654523151795598017412463973352747000688121428500194469099358750610832427,AVAILABLE,1951.4400000000,-2005.4600000000,110.5200000000,17,4,5,0,0,2026-08,-0.10227272727272727272727272727272727272727272727272727272727272727272727272727273,-0.030545203588681849551414768806073153899240855762594893029675638371290545203588682,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.066627959053599226752595301225917024817546428625596860681720723664707350400480936,0.034534143974952369822171609967956644987348446345725786067799281946192167723454159,0.2642,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,78,167,167,170,3,1099,2212,0,0.33192389006342494714587737843551797040169133192389006342494714587737843551797040,1.9832393084622383985441310282074613284804367606915377616014558689717925386715196,-0.99811030741410488245931283905967450271247739602169981916817359855334538878842676,-0.0085291452733313198429477499244941105406221685291452733313198429477499244941105406,-1.00000000000,0.98720910219130182714170539264976311474667318893750396318540460725964979029087516,AVAILABLE,2179.5800000000,-2207.8200000000,136.0000000000,21,5,4,0,0,2026-08,-0.27727272727272727272727272727272727272727272727272727272727272727272727272727273,-0.025877605917955615332885003362474781439139206455951580363147276395427034297242771,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.065779949139795330108480309960464823642679261736914032207561139057886404405933495,0.048938264099029874786778413261722566369344676985799310297480420581230163131017074,0.3851,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,104,167,167,170,3,881,1815,615,0.26608275445484747810329205678042887345212926608275445484747810329205678042887345,1.9895119182746878547105561861520998864926220204313280363223609534619750283768445,-0.96928352617079889807162534435261707988980716253443526170798898071625344352617080,-0.0019600120809423135004530353367562669888251283600120809423135004530353367562669888,-1.00000000000,0.99631115448313872005427768748675571675559852337041884221545367979620401789490246,AVAILABLE,1752.7600000000,-1759.2496000000,112.1796000000,17,5,4,0,0,2026-08,-0.18145454545454545454545454545454545454545454545454545454545454545454545454545455,-0.015867383994620040349697377269670477471418964357767316745124411566913248150638870,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.057193751687521168551760984987620869449069060760302823586656299045447389887753009,0.054330933025307062001761913357679211428060090193918467536514960063811503041691930,0.479,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1624,1687,0,0.49048625792811839323467230443974630021141649048625792811839323467230443974630021,0.99975369458128078817733990147783251231527093596059113300492610837438423645320197,-0.99905157083580320094842916419679905157083580320094842916419679905157083580320095,-0.018665055874358199939595288432497734823316218665055874358199939595288432497734823,-1.00000000000,0.96333214667141331434674261302954788180847276610893556425774296902812388750444998,AVAILABLE,1623.6000000000,-1685.4000000000000000000000000000000000000000000000000000000000000000000000000000,102.45000000000000000000000000000000000000000000000000000000000000000000000000000,17,3,5,1,0,2026-02,-0.073170731707317073170731707317073170731707317073170731707317073170731707317073171,-0.026725327812284334023464458247066942719116632160110420979986197377501725327812284,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.061947069025041478935753471235103609178958696949736367677297145038919018228093005,0.025723598176529539732590256899122485395126005230867003984258512380533352887976339,0.2007,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1.5R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,63,167,167,170,3,1307,2004,0,0.39474479009362730292962851102385986106916339474479009362730292962851102385986107,1.4953328232593726090283091048201989288446824789594491201224177505738332058148431,-0.99707252162341982701264138389886892880904856952761144377910844976713240186294077,-0.013208496929427161985301520185241115473673613208496929427161985301520185241115474,-1.00000000000,0.97811290537835312958761510743360469771787001201121046309889229947951421326571463,AVAILABLE,1954.3999999999999999999999999999999999999999999999999999999999999999999999999999,-1998.1333333333333333333333333333333333333333333333333333333333333333333333333333,97.016666666666666666666666666666666666666666666666666666666666666666666666666667,18,5,4,0,0,2026-08,-0.11363636363636363636363636363636363636363636363636363636363636363636363636363636,-0.023456998313659359190556492411467116357504215851602023608768971332209106239460371,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.063930817166908042886917408862409772990723637236112195136052356959295586139512566,0.038679325713521117337713669006484234840922335310470375515191208342356331856202454,0.308,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,39,167,167,170,3,1091,2220,0,0.32950770160072485653881002718212020537601932950770160072485653881002718212020538,1.9718301252673388328750381912618392911701802627558814543232508402077604644057437,-0.99738738738738738738738738738738738738738738738738738738738738738738738738738739,-0.019007349239907379442263163193395751535286419007349239907379442263163193395751535,-1.00000000000,0.97157739439376147893896968054677385361153765091982055219341823984584349501701129,AVAILABLE,2151.2666666666666666666666666666666666666666666666666666666666666666666666666664,-2214.2000000000000000000000000000000000000000000000000000000000000000000000000000,179.78333333333333333333333333333333333333333333333333333333333333333333333333334,37,6,3,0,0,2026-07,-0.18176239567992145311732940598919980363279332351497299950908198330878743249877271,-0.035485317193454382425465142344765747590226406635283568706568034073077785249943958,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.080411226297329030768061845582796385662145553427873692038580519513202765673351103,0.042909098593397962638569869830190197338934230410013986564795459580909765742755701,0.2795,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R_BE1R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,60,167,167,170,3,870,1751,690,0.26276049531863485351857444880700694654183026276049531863485351857444880700694654,1.9842528735632183908045977011494252873563218390804597701149425287356321839080457,-0.97329164287074052922139729678279078621739958119169998096325909004378450409289937,0.0066645525017618040873854827343199436222692036645525017618040873854827343199436216,-1.00000000000,1.0129479506038002222308717055818441172288385336830767142455621793646841464032415,AVAILABLE,1726.2999999999999999999999999999999999999999999999999999999999999999999999999998,-1704.2336666666666666666666666666666666666666666666666666666666666666666666666668,105.19600000000000000000000000000000000000000000000000000000000000000000000000000,17,6,3,0,0,2026-07,-0.10139960726558664702994599901816396661757486499754540991654393716249386352479136,-0.0021857206904281551221699170589553911678995740865276843757005155794664873346783248,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.047686946496096227691319715859593160206657139172476595789479225062047147936718488,0.063434910412211071954715867374006793405453297231267845174098198852578276084289400,0.5911,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,68,167,167,170,3,1661,1650,0,0.50166112956810631229235880398671096345514950166112956810631229235880398671096346,0.99601896447922937989163154726068633353401565322095123419626730885009030704394943,-0.99378787878787878787878787878787878787878787878787878787878787878787878787878788,0.0044208698278465720326185442464512231954092419208698278465720326185442464512231954,0.45000000000,1.0089266656502515627382222899832291507851806677847232809879554810184479341363013,AVAILABLE,1654.3875000000,-1639.7500000000,85.3875000000,17,6,3,0,0,2026-07,-0.082971281296023564064801178203240058910162002945508100147275405007363770250368189,-0.011206004140786749482401656314699792960662525879917184265010351966873706004140787,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.036949741828787839995347195025544594701807987715583388095457098577828436034836612,0.046893854902039963134341121362129086814826075802635704580653130255494218362518647,0.5792,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1.5R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,36,167,167,170,3,1352,1959,0,0.40833585019631531259438236182422228933856840833585019631531259438236182422228934,1.4751017011834319526627218934911242603550295857988165680473372781065088757396450,-0.99370852475752935171005615109749872383869321082184788157223072996426748340990301,0.014395197825430383569918453639383871942011476895197825430383569918453639383871942,-1.00000000000,1.0244840561470199185791156715938716015770480434587180705562048107670771957311827,AVAILABLE,1994.3375000000,-1946.6750000000,126.8875000000,22,7,2,0,0,2026-07,-0.12093151693667157584683357879234167893961708394698085419734904270986745213549337,0.00080227743271221532091097308488612836438923395445134575569358178053830227743271222,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.039421952252743588766528217048355752010059825477270129177304424036886026749990473,0.069798477118176379051654490532596972394424493597082503644880518229709059600927040,0.6985,AVAILABLE,WHOLE_SESSION
