entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,month,partial_month,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01,False,413,413,0,0,0,0,0,9,20,20,20,0,212,201,0,0.51331719128329297820823244552058111380145278450363196125907990314769975786924939,1.0000000000,-1.0000000000,0.026634382566585956416464891041162227602905569007263922518159806295399515738498789,1.00000000000,1.0547263681592039800995024875621890547263681592039800995024875621890547263681592,AVAILABLE,212.0000000000,-201.0000000000,24.0000000000,10,1,0,0,0,2026-01,0.026634382566585956416464891041162227602905569007263922518159806295399515738498789,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-02,False,697,697,0,0,0,0,0,65,19,19,19,0,307,390,0,0.44045911047345767575322812051649928263988522238163558106169296987087517934002869,1.0000000000,-1.0000000000,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,-1.00000000000,0.78717948717948717948717948717948717948717948717948717948717948717948717948717949,AVAILABLE,307.0000000000,-390.0000000000,90.0000000000,16,0,1,0,0,2026-02,-0.11908177905308464849354375896700143472022955523672883787661406025824964131994261,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-03,False,417,417,0,0,0,0,0,39,22,22,22,0,196,221,0,0.47002398081534772182254196642685851318944844124700239808153477218225419664268585,1.0000000000,-0.99574660633484162895927601809954751131221719457013574660633484162895927601809955,-0.057697841726618705035971223021582733812949640287769784172661870503597122302158273,-1.00000000000,0.89066618195037716986276470053621739525583931655003180950649822775606652731073344,AVAILABLE,196.0000000000,-220.0600000000,46.0000000000,14,0,1,0,0,2026-03,-0.057697841726618705035971223021582733812949640287769784172661870503597122302158273,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-04,False,337,337,0,0,0,0,0,6,21,21,21,0,171,166,0,0.50741839762611275964391691394658753709198813056379821958456973293768545994065282,1.0000000000,-1.0000000000,0.014836795252225519287833827893175074183976261127596439169139465875370919881305638,1.00000000000,1.0301204819277108433734939759036144578313253012048192771084337349397590361445783,AVAILABLE,171.0000000000,-166.0000000000,27.0000000000,10,1,0,0,0,2026-04,0.014836795252225519287833827893175074183976261127596439169139465875370919881305638,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-05,False,143,143,0,0,0,0,0,8,18,18,20,2,71,72,0,0.49650349650349650349650349650349650349650349650349650349650349650349650349650350,1.0000000000,-1.0000000000,-0.0069930069930069930069930069930069930069930069930069930069930069930069930069930070,-1.00000000000,0.98611111111111111111111111111111111111111111111111111111111111111111111111111111,AVAILABLE,71.0000000000,-72.0000000000,21.0000000000,10,0,1,0,0,2026-05,-0.0069930069930069930069930069930069930069930069930069930069930069930069930069930070,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-06,False,346,346,0,0,0,0,0,34,21,21,21,0,171,175,0,0.49421965317919075144508670520231213872832369942196531791907514450867052023121387,1.0000000000,-1.0000000000,-0.011560693641618497109826589595375722543352601156069364161849710982658959537572254,-1.00000000000,0.97714285714285714285714285714285714285714285714285714285714285714285714285714286,AVAILABLE,171.0000000000,-175.0000000000,27.0000000000,10,0,1,0,0,2026-06,-0.011560693641618497109826589595375722543352601156069364161849710982658959537572254,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-07,False,679,679,0,0,0,0,0,44,22,22,22,0,321,358,0,0.47275405007363770250368188512518409425625920471281296023564064801178203240058910,1.0000000000,-1.0000000000,-0.054491899852724594992636229749631811487481590574374079528718703976435935198821797,-1.00000000000,0.89664804469273743016759776536312849162011173184357541899441340782122905027932961,AVAILABLE,321.0000000000,-358.0000000000,45.0000000000,15,0,1,0,0,2026-07,-0.054491899852724594992636229749631811487481590574374079528718703976435935198821797,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-08,False,220,220,0,0,0,0,0,1,20,20,21,1,101,119,0,0.45909090909090909090909090909090909090909090909090909090909090909090909090909091,1.0000000000,-1.0000000000,-0.081818181818181818181818181818181818181818181818181818181818181818181818181818182,-1.00000000000,0.84873949579831932773109243697478991596638655462184873949579831932773109243697479,AVAILABLE,101.0000000000,-119.0000000000,20.0000000000,8,0,1,0,0,2026-08,-0.081818181818181818181818181818181818181818181818181818181818181818181818181818182,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-09,True,59,59,0,0,0,0,0,0,4,4,4,0,30,29,0,0.50847457627118644067796610169491525423728813559322033898305084745762711864406780,1.0000000000,-1.0000000000,0.016949152542372881355932203389830508474576271186440677966101694915254237288135593,1.00000000000,1.0344827586206896551724137931034482758620689655172413793103448275862068965517241,AVAILABLE,30.0000000000,-29.0000000000,9.0000000000,9,1,0,0,0,2026-09,0.016949152542372881355932203389830508474576271186440677966101694915254237288135593,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-01,False,413,413,0,0,0,0,0,9,20,20,20,0,221,192,0,0.53510895883777239709443099273607748184019370460048426150121065375302663438256659,1.0000000000,-1.0000000000,0.070217917675544794188861985472154963680387409200968523002421307506053268765133172,1.00000000000,1.1510416666666666666666666666666666666666666666666666666666666666666666666666667,AVAILABLE,221.0000000000,-192.0000000000,20.0000000000,8,1,0,0,0,2026-01,0.070217917675544794188861985472154963680387409200968523002421307506053268765133172,,AVAILABLE,AVAILABLE,AVAILABLE
