entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,session_date,eligible_entries,executable_outcomes,unavailable_outcomes,mean_r,sum_r,wins,losses,zero_r_outcomes,status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-02,9,9,0,0.11111111111111111111111111111111111111111111111111111111111111111111111111111111,1.0000000000,5,4,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-05,9,9,0,-0.55555555555555555555555555555555555555555555555555555555555555555555555555555556,-5.0000000000,2,7,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-06,14,14,0,0E-10,0E-10,7,7,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-07,14,14,0,-0.42857142857142857142857142857142857142857142857142857142857142857142857142857143,-6.0000000000,4,10,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-08,34,34,0,0.11764705882352941176470588235294117647058823529411764705882352941176470588235294,4.0000000000,19,15,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-09,10,10,0,0E-10,0E-10,5,5,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-12,13,13,0,0.53846153846153846153846153846153846153846153846153846153846153846153846153846154,7.0000000000,10,3,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-13,8,8,0,0.2500000000,2.0000000000,5,3,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-14,30,30,0,0.2000000000,6.0000000000,18,12,0,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,stop_first,2026-01-15,14,14,0,0E-10,0E-10,7,7,0,AVAILABLE
